Выборы Президента Российской Федерации																																																																										
Дата голосования: 02.03.2008																																																																										
																																																																										
Наименование Избирательной комиссии:    Тогучинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
	Число участковых избирательных комиссий	67																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	67																																																																								
																																																																										
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092					
1	"Число избирателей, включенных в списки избирателей"	43786	206	1609	2037	2169	1214	1725	1663	1452	2138	124	718	650	133	876	188	396	2435	2287	1977	740	367	163	179	814	256	140	656	241	235	529	227	201	124	673	396	808	130	841	501	634	677	532	190	78	554	140	207	686	454	624	329	829	561	446	105	106	619	260	56	249	696	83	106	353	385	1555	54					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40390	227	1470	1840	1800	1090	1560	1500	1300	2000	150	650	600	132	800	180	350	2200	2100	1820	640	320	157	178	750	260	145	600	250	235	490	225	215	125	610	370	770	152	860	490	590	630	490	192	83	500	156	208	600	450	560	317	750	500	380	105	110	590	270	60	273	610	85	105	315	350	1420	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	28691	150	998	1280	1406	578	1049	1012	807	1460	0	511	442	103	420	106	255	1824	1772	1479	528	277	130	167	450	181	94	434	132	161	305	164	104	62	426	236	492	116	556	289	408	459	400	159	59	412	103	134	474	304	421	153	525	310	315	84	77	450	186	40	171	442	77	71	254	264	947	36					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4418	32	148	132	118	156	155	237	104	245	124	27	29	0	114	36	30	139	104	160	88	29	17	3	66	28	16	62	69	15	61	13	67	41	66	49	179	5	115	91	70	83	43	4	12	20	9	21	57	31	28	76	97	105	43	15	23	79	34	14	37	69	2	12	46	40	165	13					
6	Число погашенных избирательных бюллетеней	7281	45	324	428	276	356	356	251	389	295	26	112	129	29	266	38	65	237	224	181	24	14	10	8	234	51	35	104	49	59	124	48	44	22	118	85	99	31	189	110	112	88	47	29	12	68	44	53	69	115	111	88	128	85	22	6	10	61	50	6	65	99	6	22	15	46	308	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4418	32	148	132	118	156	155	237	104	245	124	27	29	0	114	36	30	139	104	160	88	29	17	3	66	28	16	62	69	15	61	13	67	41	66	49	179	5	115	91	70	83	43	4	12	20	9	21	57	31	28	76	97	105	43	15	23	79	34	14	37	69	2	12	46	40	165	13					
