Выборы Президента Российской Федерации																																																																									
Дата голосования: 18.03.2018																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Сводная таблица итогов голосования																																																																									
																																																																									
	Число участковых избирательных комиссий	62																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																							
																																																																									
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075									
1	"Число избирателей, включенных в список избирателей"	44322	178	1953	2171	2155	1326	1742	1934	1465	2243	713	852	150	422	810	399	172	177	2502	2308	2002	705	234	130	637	220	201	534	208	182	113	835	129	856	490	649	724	507	198	568	139	212	729	390	720	381	608	417	803	880	573	524	93	525	214	40	243	700	91	94	267	418	1467									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40372	160	1770	2000	1890	1190	1600	1820	1330	2060	650	770	120	370	730	370	150	160	2270	2080	1820	650	220	110	600	190	180	480	180	170	90	760	100	760	440	590	670	460	180	510	120	190	640	360	690	370	560	290	730	800	510	490	100	500	200	42	230	620	80	90	320	380	1410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25051	103	1010	1205	1356	766	930	1059	804	1148	418	460	87	244	454	226	105	135	1445	1342	1125	429	155	85	343	116	119	279	99	91	44	424	86	480	220	352	413	270	132	265	85	104	448	226	539	255	390	160	498	427	240	405	80	375	121	29	163	363	59	56	227	314	663									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3158	15	64	69	192	107	65	184	85	123	62	98	20	16	50	43	15	17	81	65	67	48	15	11	46	31	13	32	33	39	39	193	6	75	52	49	85	29	11	28	8	11	37	28	36	22	35	105	76	39	48	51	3	31	26	9	15	37	1	6	17	25	219									
6	Число погашенных избирательных бюллетеней	12163	42	696	726	342	317	605	577	441	789	170	212	13	110	226	101	30	8	744	673	628	173	50	14	211	43	48	169	48	40	7	143	8	205	168	189	172	161	37	217	27	75	155	106	115	93	135	25	156	334	222	34	17	94	53	4	52	220	20	28	76	41	528									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3158	15	64	69	192	107	65	184	85	123	62	98	20	16	50	43	15	17	81	65	67	48	15	11	46	31	13	32	33	39	39	193	6	75	52	49	85	29	11	28	8	11	37	28	36	22	35	105	76	39	48	51	3	31	26	9	15	37	1	6	17	25	219									
8	Число бюллетеней в стационарных ящиках для голосования	25050	103	1010	1204	1356	766	930	1059	804	1148	418	460	87	244	454	226	105	135	1445	1342	1125	429	155	85	343	116	119	279	99	91	44	424	86	480	220	352	413	270	132	265	85	104	448	226	539	255	390	160	498	427	240	405	80	375	121	29	163	363	59	56	227	314	663									
9	Число недействительных избирательных бюллетеней	420	3	21	28	19	22	25	15	12	26	7	6	1	2	5	6	5	0	22	31	29	5	2	1	3	8	0	2	0	2	0	5	0	9	1	2	8	3	0	4	0	3	6	3	3	2	4	5	9	5	2	1	0	5	3	0	2	1	1	0	5	1	19									
10	Число действительных избирательных бюллетеней	27788	115	1053	1245	1529	851	970	1228	877	1245	473	552	106	258	499	263	115	152	1504	1376	1163	472	168	95	386	139	132	309	132	128	83	612	92	546	271	399	490	296	143	289	93	112	479	251	572	275	421	260	565	461	286	455	83	401	144	38	176	399	59	62	239	338	863									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
