Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Убинская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1104	УИК №1105	УИК №1106	УИК №1107									
1	"Число избирателей, включенных в список избирателей"	11953	1613	1739	1443	61	288	74	363	54	282	154	1024	300	130	94	407	355	265	125	237	227	187	707	119	78	110	745	97	273	402									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11735	1500	1700	1400	60	290	70	350	55	280	155	1025	300	130	95	405	355	265	120	235	225	185	705	120	75	110	750	95	275	405									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6800	790	984	754	33	182	54	178	41	171	89	483	172	52	49	232	237	162	82	164	145	126	482	79	61	54	417	78	189	260									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	680	62	29	74	10	32	5	30	2	19	10	78	30	22	4	59	11	16	11	18	12	2	24	10	3	15	33	7	15	37									
6	Число погашенных избирательных бюллетеней	4255	648	687	572	17	76	11	142	12	90	56	464	98	56	42	114	107	87	27	53	68	57	199	31	11	41	300	10	71	108									
7	Число избирательных бюллетеней в переносных ящиках для голосования	680	62	29	74	10	32	5	30	2	19	10	78	30	22	4	59	11	16	11	18	12	2	24	10	3	15	33	7	15	37									
8	Число бюллетеней в стационарных ящиках для голосования	6800	790	984	754	33	182	54	178	41	171	89	483	172	52	49	232	237	162	82	164	145	126	482	79	61	54	417	78	189	260									
9	Число недействительных избирательных бюллетеней	100	8	21	14	0	0	0	5	0	2	4	10	2	1	0	3	4	1	1	1	5	4	3	0	0	1	4	0	2	4									
10	Число действительных избирательных бюллетеней	7380	844	992	814	43	214	59	203	43	188	95	551	200	73	53	288	244	177	92	181	152	124	503	89	64	68	446	85	202	293									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	53	6	7	1	1	0	0	6	0	1	0	2	4	0	1	5	1	2	0	2	1	1	2	2	0	0	3	1	1	3									
		0.71%	0.70%	0.69%	0.12%	2.33%	0.00%	0.00%	2.88%	0.00%	0.53%	0.00%	0.36%	1.98%	0.00%	1.89%	1.72%	0.40%	1.12%	0.00%	1.10%	0.64%	0.78%	0.40%	2.25%	0.00%	0.00%	0.67%	1.18%	0.49%	1.01%									
14	Грудинин Павел Николаевич	1053	144	176	185	12	14	7	33	3	29	6	74	35	5	10	63	18	10	6	5	13	27	55	6	1	8	63	8	12	25									
		14.08%	16.90%	17.37%	22.34%	27.91%	6.54%	11.86%	15.87%	6.98%	15.26%	6.06%	13.19%	17.33%	6.76%	18.87%	21.65%	7.26%	5.62%	6.45%	2.75%	8.28%	21.09%	10.87%	6.74%	1.56%	11.59%	14.00%	9.41%	5.88%	8.42%									
15	Жириновский Владимир Вольфович	575	64	66	61	7	19	3	16	6	13	10	52	18	5	4	17	22	11	3	22	11	15	36	10	5	2	30	3	16	28									
		7.69%	7.51%	6.52%	7.37%	16.28%	8.88%	5.08%	7.69%	13.95%	6.84%	10.10%	9.27%	8.91%	6.76%	7.55%	5.84%	8.87%	6.18%	3.23%	12.09%	7.01%	11.72%	7.11%	11.24%	7.81%	2.90%	6.67%	3.53%	7.84%	9.43%									
16	Путин Владимир Владимирович	5568	606	734	551	23	180	49	145	34	143	78	414	141	62	37	196	199	150	78	146	122	81	404	69	54	57	343	73	167	232									
		74.44%	71.13%	72.46%	66.55%	53.49%	84.11%	83.05%	69.71%	79.07%	75.26%	78.79%	73.80%	69.80%	83.78%	69.81%	67.35%	80.24%	84.27%	83.87%	80.22%	77.71%	63.28%	79.84%	77.53%	84.38%	82.61%	76.22%	85.88%	81.86%	78.11%									
17	Собчак Ксения Анатольевна	47	7	3	4	0	1	0	2	0	1	1	4	0	1	0	3	2	1	2	2	3	0	1	1	1	0	2	0	4	1									
		0.63%	0.82%	0.30%	0.48%	0.00%	0.47%	0.00%	0.96%	0.00%	0.53%	1.01%	0.71%	0.00%	1.35%	0.00%	1.03%	0.81%	0.56%	2.15%	1.10%	1.91%	0.00%	0.20%	1.12%	1.56%	0.00%	0.44%	0.00%	1.96%	0.34%									
18	Сурайкин Максим Александрович	41	5	3	4	0	0	0	0	0	1	0	2	1	0	0	3	2	2	3	4	1	0	3	0	0	1	3	0	1	2									
		0.55%	0.59%	0.30%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.36%	0.50%	0.00%	0.00%	1.03%	0.81%	1.12%	3.23%	2.20%	0.64%	0.00%	0.59%	0.00%	0.00%	1.45%	0.67%	0.00%	0.49%	0.67%									
19	Титов Борис Юрьевич	22	7	1	5	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0									
		0.29%	0.82%	0.10%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.34%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.69%	0.00%	0.22%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	21	5	2	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	1	0	1	2									
		0.28%	0.59%	0.20%	0.36%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.40%	1.12%	0.00%	0.00%	0.22%	0.00%	0.49%	0.67%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
