Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Чистоозерная																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236					
1	"Число избирателей, внесенных в список"	15675	374	1055	1217	1322	1152	1080	134	64	400	69	292	795	516	463	146	34	548	31	217	403	390	132	456	140	73	437	71	467	559	388	73	303	115	241	48	349	528	107	51	243	70	98	24					
2	Число полученных избирательных бюллетеней	15657	377	1054	1231	1217	1160	1149	134	71	401	69	295	792	510	458	149	34	547	31	216	413	394	132	455	140	73	435	71	459	564	389	73	303	115	239	48	342	522	109	52	243	70	97	24					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10567	255	557	666	625	578	652	93	57	285	56	247	568	414	327	123	34	359	25	152	249	282	87	332	140	48	356	70	331	463	280	61	271	96	204	45	268	407	92	47	194	66	81	24					
5	"Число избирательных бюллетеней, выданных вне помещения"	445	11	17	68	85	42	38	7	7	18	4	0	21	6	0	2	0	34	0	0	22	0	11	0	0	0	5	0	0	10	19	0	18	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	4645	111	480	497	507	540	459	34	7	98	9	48	203	90	131	24	0	154	6	64	142	112	34	123	0	25	74	1	128	91	90	12	14	19	35	3	74	115	17	5	49	4	16	0					
7	Число избирательных бюллетеней в переносных ящиках	445	11	17	68	85	42	38	7	7	18	4	0	21	6	0	2	0	34	0	0	22	0	11	0	0	0	5	0	0	10	19	0	18	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10567	255	557	666	625	578	652	93	57	285	56	247	568	414	327	123	34	359	25	152	249	282	87	332	140	48	356	70	331	463	280	61	271	96	204	45	268	407	92	47	194	66	81	24					
9	Число недействительных избирательных бюллетеней	128	2	13	12	14	13	10	3	0	0	0	1	5	3	2	1	0	1	0	1	9	4	1	3	0	0	4	0	1	6	2	0	4	1	1	1	5	4	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	10884	264	561	722	696	607	680	97	64	303	60	246	584	417	325	124	34	392	25	151	262	278	97	329	140	48	357	70	330	467	297	61	285	95	203	44	263	403	92	47	193	66	81	24					
