Выборы Президента Российской Федерации																																																		
Дата голосования: 18.03.2018																																																		
																																																		
Наименование Избирательной комиссии:    Кормиловская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																																
																																																		
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875									
1	"Число избирателей, включенных в список избирателей"	19438	486	793	1291	791	972	2422	584	888	874	124	118	580	150	130	569	255	453	629	296	461	649	71	514	116	287	972	149	942	73	155	56	496	567	176	769	74	130	104	272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19797	500	800	1300	800	970	2500	600	900	900	130	120	600	160	130	550	250	450	670	300	420	650	75	520	115	290	1000	165	950	90	165	65	500	550	185	800	75	140	112	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11468	286	488	769	480	558	1449	323	498	499	57	42	349	93	81	342	130	256	411	194	306	397	41	325	78	146	534	89	545	65	82	36	303	342	102	428	35	70	73	166									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	962	16	17	55	20	78	67	10	15	46	21	17	24	4	4	25	19	29	35	16	21	50	6	36	2	24	57	12	39	8	4	4	30	28	11	50	5	12	2	43									
6	Число погашенных избирательных бюллетеней	7367	198	295	476	300	334	984	267	387	355	52	61	227	63	45	183	101	165	224	90	93	203	28	159	35	120	409	64	366	17	79	25	167	180	72	322	35	58	37	91									
7	Число избирательных бюллетеней в переносных ящиках для голосования	962	16	17	55	20	78	67	10	15	46	21	17	24	4	4	25	19	29	35	16	21	50	6	36	2	24	57	12	39	8	4	4	30	28	11	50	5	12	2	43									
8	Число бюллетеней в стационарных ящиках для голосования	11467	286	488	769	480	558	1449	323	498	499	57	42	349	93	81	342	130	256	411	194	306	397	41	325	78	146	534	89	545	65	82	36	303	342	101	428	35	70	73	166									
9	Число недействительных избирательных бюллетеней	198	6	6	9	8	9	35	5	10	5	1	1	5	0	1	5	0	3	9	1	6	9	2	1	2	2	19	1	4	0	1	0	4	3	6	14	0	2	1	2									
10	Число действительных избирательных бюллетеней	12231	296	499	815	492	627	1481	328	503	540	77	58	368	97	84	362	149	282	437	209	321	438	45	360	78	168	572	100	580	73	85	40	329	367	106	464	40	80	74	207									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
13	Бабурин Сергей Николаевич	76	6	3	7	4	5	8	1	3	2	0	0	5	0	0	1	0	2	1	1	2	4	0	2	0	1	3	1	3	0	0	1	2	1	1	1	0	2	0	3									
		0.61%	1.99%	0.59%	0.85%	0.80%	0.79%	0.53%	0.30%	0.58%	0.37%	0.00%	0.00%	1.34%	0.00%	0.00%	0.27%	0.00%	0.70%	0.22%	0.48%	0.61%	0.89%	0.00%	0.55%	0.00%	0.59%	0.51%	0.99%	0.51%	0.00%	0.00%	2.50%	0.60%	0.27%	0.89%	0.21%	0.00%	2.44%	0.00%	1.44%									
14	Грудинин Павел Николаевич	1750	44	100	161	84	140	274	68	64	44	6	1	53	9	11	49	20	34	63	11	39	43	10	47	5	13	68	7	87	16	17	0	24	34	16	45	5	8	11	19									
		14.08%	14.57%	19.80%	19.54%	16.80%	22.01%	18.07%	20.42%	12.48%	8.07%	7.69%	1.69%	14.21%	9.28%	12.94%	13.35%	13.42%	11.93%	14.13%	5.24%	11.93%	9.62%	21.28%	13.02%	6.25%	7.65%	11.51%	6.93%	14.90%	21.92%	19.77%	0.00%	7.21%	9.19%	14.29%	9.41%	12.50%	9.76%	14.67%	9.09%									
15	Жириновский Владимир Вольфович	986	26	20	41	35	45	130	31	33	52	5	4	17	24	8	35	12	9	33	20	42	34	6	30	10	24	55	11	34	12	7	4	32	29	8	30	1	10	8	19									
		7.93%	8.61%	3.96%	4.98%	7.00%	7.08%	8.58%	9.31%	6.43%	9.54%	6.41%	6.78%	4.56%	24.74%	9.41%	9.54%	8.05%	3.16%	7.40%	9.52%	12.84%	7.61%	12.77%	8.31%	12.50%	14.12%	9.31%	10.89%	5.82%	16.44%	8.14%	10.00%	9.61%	7.84%	7.14%	6.28%	2.50%	12.20%	10.67%	9.09%									
16	Путин Владимир Владимирович	9166	213	366	587	360	423	1033	222	387	429	66	52	290	63	63	269	112	233	334	176	228	348	29	275	60	127	439	79	449	44	58	35	266	291	78	377	34	59	53	159									
		73.75%	70.53%	72.48%	71.24%	72.00%	66.51%	68.14%	66.67%	75.44%	78.72%	84.62%	88.14%	77.75%	64.95%	74.12%	73.30%	75.17%	81.75%	74.89%	83.81%	69.72%	77.85%	61.70%	76.18%	75.00%	74.71%	74.28%	78.22%	76.88%	60.27%	67.44%	87.50%	79.88%	78.65%	69.64%	78.87%	85.00%	71.95%	70.67%	76.08%									
17	Собчак Ксения Анатольевна	122	5	5	8	3	5	14	4	9	7	0	1	0	1	1	3	4	3	3	0	5	7	0	5	0	1	3	1	3	1	3	0	4	6	0	2	0	1	0	4									
		0.98%	1.66%	0.99%	0.97%	0.60%	0.79%	0.92%	1.20%	1.75%	1.28%	0.00%	1.69%	0.00%	1.03%	1.18%	0.82%	2.68%	1.05%	0.67%	0.00%	1.53%	1.57%	0.00%	1.39%	0.00%	0.59%	0.51%	0.99%	0.51%	1.37%	3.49%	0.00%	1.20%	1.62%	0.00%	0.42%	0.00%	1.22%	0.00%	1.91%									
18	Сурайкин Максим Александрович	65	0	1	6	4	8	6	0	5	4	0	0	3	0	0	2	0	1	3	1	3	1	0	0	1	1	1	1	2	0	0	0	0	4	1	4	0	0	1	1									
		0.52%	0.00%	0.20%	0.73%	0.80%	1.26%	0.40%	0.00%	0.97%	0.73%	0.00%	0.00%	0.80%	0.00%	0.00%	0.54%	0.00%	0.35%	0.67%	0.48%	0.92%	0.22%	0.00%	0.00%	1.25%	0.59%	0.17%	0.99%	0.34%	0.00%	0.00%	0.00%	0.00%	1.08%	0.89%	0.84%	0.00%	0.00%	1.33%	0.48%									
19	Титов Борис Юрьевич	28	2	3	2	1	0	5	2	1	2	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	1									
		0.23%	0.66%	0.59%	0.24%	0.20%	0.00%	0.33%	0.60%	0.19%	0.37%	0.00%	0.00%	0.00%	0.00%	1.18%	0.54%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.59%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.42%	0.00%	0.00%	0.00%	0.48%									
20	Явлинский Григорий Алексеевич	38	0	1	3	1	1	11	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	2	0	2	0	2	0	0	0	1	2	1	3	0	0	1	1									
		0.31%	0.00%	0.20%	0.36%	0.20%	0.16%	0.73%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.67%	0.00%	0.00%	0.00%	0.31%	0.22%	0.00%	0.28%	2.50%	0.00%	0.34%	0.00%	0.34%	0.00%	0.00%	0.00%	0.30%	0.54%	0.89%	0.63%	0.00%	0.00%	1.33%	0.48%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
