Выборы Президента Российской Федерации																																																																										
Дата голосования: 04.03.2012																																																																										
																																																																										
Наименование Избирательной комиссии:    Любинская																																																																										
																																																																										
Сводная таблица итогов голосования																																																																										
																																																																										
	Число участковых избирательных комиссий	63																																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	63																																																																								
																																																																										
		Сумма	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944									
1	Число избирателей, включенных в список избирателей	30776	1060	146	367	523	59	98	752	150	397	154	88	95	538	148	132	152	232	598	396	299	1098	260	271	1791	1282	1406	1216	991	943	1358	1085	941	714	556	755	259	839	231	316	987	252	513	233	111	357	81	33	390	200	204	1196	204	527	142	532	186	179	840	124	82	125	410	172									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	30642	1000	156	355	559	76	106	763	157	402	156	90	99	550	166	152	172	240	600	400	300	1110	260	280	1800	1280	1380	1200	1000	950	1300	1000	950	700	550	600	250	845	230	308	955	254	520	230	115	400	112	57	370	200	210	1200	200	510	141	540	182	181	850	131	91	130	390	181									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	18812	620	62	224	317	46	74	466	100	214	58	64	62	387	119	97	115	140	413	257	229	704	169	193	1008	826	803	823	623	555	821	593	581	398	328	420	147	530	140	148	531	146	299	163	80	271	68	25	252	138	146	742	135	288	76	332	113	109	486	84	48	80	228	98									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2314	98	40	35	47	8	16	73	4	49	27	5	15	33	8	10	10	19	27	29	13	89	6	21	98	70	72	62	56	44	82	34	37	46	26	131	23	70	19	75	63	19	88	8	6	52	9	8	35	15	16	64	10	26	16	20	6	12	128	8	28	15	24	11									
6	Число погашенных избирательных бюллетеней	9515	282	54	96	195	22	16	224	53	139	71	21	22	130	39	45	47	81	160	114	58	317	85	66	694	384	505	314	321	351	397	373	332	256	196	49	80	245	71	85	361	89	133	59	29	77	35	24	83	47	48	394	55	196	49	188	63	60	236	39	15	35	138	72									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2314	98	40	35	47	8	16	73	4	49	27	5	15	33	8	10	10	19	27	29	13	89	6	21	98	70	72	62	56	44	82	34	37	46	26	131	23	70	19	75	63	19	88	8	6	52	9	8	35	15	16	64	10	26	16	20	6	12	128	8	28	15	24	11									
8	Число бюллетеней в стационарных ящиках для голосования	18810	620	62	224	317	46	74	466	100	214	58	64	62	387	119	97	115	140	413	257	229	704	169	193	1008	826	803	823	623	555	820	593	581	398	328	420	147	530	140	148	530	146	299	163	80	271	68	25	252	138	146	742	135	288	76	332	113	109	486	84	48	80	228	98									
9	Число недействительных избирательных бюллетеней	242	6	0	6	8	0	0	2	3	2	2	0	0	4	0	2	0	2	4	3	4	9	1	1	13	12	10	13	5	10	7	0	9	7	4	5	0	12	2	1	5	0	7	2	0	1	3	0	5	0	2	16	4	0	1	5	2	0	11	4	0	2	2	1									
10	Число действительных избирательных бюллетеней	20882	712	102	253	356	54	90	537	101	261	83	69	77	416	127	105	125	157	436	283	238	784	174	213	1093	884	865	872	674	589	895	627	609	437	350	546	170	588	157	222	588	165	380	169	86	322	74	33	282	153	160	790	141	314	91	347	117	121	603	88	76	93	250	108									
11	Число полученных открепительных  удостоверений	851	28	7	2	26	15	12	31	10	5	3	2	3	25	15	15	17	14	8	10	12	45	16	15	15	20	13	27	16	26	31	11	20	10	10	17	7	10	2	2	15	2	15	2	2	60	28	21	15	2	6	20	10	5	2	10	2	2	26	2	7	4	10	10									
