Выборы Президента Российской Федерации																																																								
Дата голосования: 02.03.2008																																																								
																																																								
Наименование Избирательной комиссии:    Черлакская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
	Число участковых избирательных комиссий	49																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																						
																																																								
		Сумма	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882					
1	"Число избирателей, включенных в списки избирателей"	22042	211	1647	1322	1351	2189	1414	152	1176	253	244	154	959	215	125	232	1915	195	247	167	184	974	138	137	56	191	121	299	45	52	726	113	90	1050	334	224	171	194	171	920	119	77	132	159	110	652	81	166	34	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22410	200	1800	1200	1350	2300	1450	150	1150	250	250	160	950	240	140	225	1900	220	250	175	180	900	150	140	70	220	140	230	50	70	730	130	100	1000	330	230	160	200	170	970	150	90	150	180	130	700	100	180	50	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	16789	179	1182	790	955	1499	1040	118	883	175	187	142	820	188	125	185	1399	162	203	135	156	663	115	122	52	187	115	184	44	48	612	100	74	804	240	208	136	160	156	733	109	77	125	143	109	547	81	151	33	138					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1532	5	72	139	103	97	96	4	95	38	11	7	52	9	0	19	189	18	12	16	11	107	13	9	3	3	5	38	0	4	57	11	8	42	24	0	17	22	2	77	8	0	5	14	0	54	0	3	1	12					
6	Число погашенных избирательных бюллетеней	4089	16	546	271	292	704	314	28	172	37	52	11	78	43	15	21	312	40	35	24	13	130	22	9	15	30	20	8	6	18	61	19	18	154	66	22	7	18	12	160	33	13	20	23	21	99	19	26	16	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1532	5	72	139	103	97	96	4	95	38	11	7	52	9	0	19	189	18	12	16	11	107	13	9	3	3	5	38	0	4	57	11	8	42	24	0	17	22	2	77	8	0	5	14	0	54	0	3	1	12					
8	Число бюллетеней в стационарных ящиках для голосования	16789	179	1182	790	955	1499	1040	118	883	175	187	142	820	188	125	185	1399	162	203	135	156	663	115	122	52	187	115	184	44	48	612	100	74	804	240	208	136	160	156	733	109	77	125	143	109	547	81	151	33	138					
9	Число недействительных избирательных бюллетеней	219	5	17	18	9	29	17	1	9	1	6	2	14	6	0	4	20	1	5	0	1	3	1	0	0	1	2	2	0	1	8	2	0	7	4	1	0	0	2	8	0	1	0	1	2	7	0	0	0	1					
10	Число действительных избирательных бюллетеней	18102	179	1237	911	1049	1567	1119	121	969	212	192	147	858	191	125	200	1568	179	210	151	166	767	127	131	55	189	118	220	44	51	661	109	82	839	260	207	153	182	156	802	117	76	130	156	107	594	81	154	34	149					
11	Число полученных открепительных  удостоверений	800	10	30	20	30	40	20	15	20	10	10	10	30	20	10	10	40	15	10	10	10	30	10	10	10	30	10	30	10	10	30	10	10	30	10	10	10	10	10	30	10	10	10	10	10	30	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	398	3	21	9	21	31	16	14	12	6	1	10	20	13	2	3	40	15	2	10	2	11	7	4	0	5	0	10	0	3	23	0	9	11	4	1	3	1	3	19	1	1	8	5	0	14	0	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	8	11	7	32	18	13	2	6	0	0	5	6	4	4	3	12	3	2	2	3	7	3	1	2	1	1	1	3	1	1	0	1	6	3	4	2	1	2	5	1	5	5	2	0	10	0	4	1	1					
14	Число неиспользованных открепительных удостоверений	402	7	9	11	9	9	4	1	8	4	9	0	10	7	8	7	0	0	8	0	8	19	3	6	10	25	10	20	10	7	7	10	1	19	6	9	7	9	7	11	9	9	2	5	10	16	10	7	10	9					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	72	0	8	4	9	21	5	0	2	0	0	0	1	0	0	0	7	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
