Выборы Президента Российской Федерации																																																	
Дата голосования: 02.03.2008																																																	
																																																	
Наименование Избирательной комиссии:    Адамовская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
	Число участковых избирательных комиссий	42																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	42																																															
																																																	
		Сумма	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, включенных в списки избирателей"	21171	1505	1630	1147	1444	78	425	40	733	200	269	740	148	204	157	274	193	352	45	201	979	292	165	1170	73	51	775	199	293	462	564	165	685	251	1065	581	298	299	200	1239	673	600	307					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20956	1480	1530	1120	1410	80	420	42	730	200	265	745	145	200	157	270	195	350	44	195	980	280	164	1180	75	49	760	200	295	480	570	165	690	250	1055	560	295	300	195	1240	680	610	305					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14277	877	885	661	812	53	339	35	515	166	195	538	115	160	141	181	143	285	42	125	637	266	132	741	60	49	584	175	236	237	473	133	522	165	762	393	229	236	164	702	398	487	228					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1141	95	141	24	23	11	0	0	46	8	8	79	18	17	5	0	0	0	0	0	46	0	3	103	6	0	43	0	2	35	9	0	38	21	48	43	12	5	21	109	102	20	0					
6	Число погашенных избирательных бюллетеней	5538	508	504	435	575	16	81	7	169	26	62	128	12	23	11	89	52	65	2	70	297	14	29	336	9	0	133	25	57	208	88	32	130	64	245	124	54	59	10	429	180	103	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1141	95	141	24	23	11	0	0	46	8	8	79	18	17	5	0	0	0	0	0	46	0	3	103	6	0	43	0	2	35	9	0	38	21	48	43	12	5	21	109	102	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	14277	877	885	661	812	53	339	35	515	166	195	538	115	160	141	181	143	285	42	125	637	266	132	741	60	49	584	175	236	237	473	133	522	165	762	393	229	236	164	702	398	487	228					
9	Число недействительных избирательных бюллетеней	142	15	12	12	11	0	7	0	4	0	1	5	0	3	0	0	0	2	0	2	5	2	1	3	1	0	0	4	0	3	7	0	9	0	4	3	3	2	4	4	4	6	3					
10	Число действительных избирательных бюллетеней	15276	957	1014	673	824	64	332	35	557	174	202	612	133	174	146	181	143	283	42	123	678	264	134	841	65	49	627	171	238	269	475	133	551	186	806	433	238	239	181	807	496	501	225					
11	Число полученных открепительных  удостоверений	227	16	17	10	10	1	4	1	8	2	1	10	1	1	1	2	1	1	0	1	10	1	1	36	1	1	10	2	0	9	11	0	7	2	10	9	1	1	1	7	9	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	222	16	17	10	10	1	4	0	8	2	1	10	1	1	1	2	1	1	0	1	10	1	1	36	0	0	10	2	0	9	11	0	7	1	10	9	1	1	0	7	9	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	5	5	3	2	0	2	0	1	1	1	2	1	1	1	1	1	2	1	0	0	1	1	5	1	2	1	1	1	1	0	1	2	1	8	1	1	2	1	5	0	0	1					
14	Число неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	22	2	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	3	0	1	1	0	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	Богданов Андрей Владимирович	126	7	9	3	12	1	3	0	6	2	2	2	1	0	0	0	0	0	0	0	6	0	0	8	2	0	3	2	4	3	1	2	3	0	9	1	4	2	3	11	3	6	5					
		0.82%	0.72%	0.88%	0.44%	1.44%	1.56%	0.88%	0.00%	1.07%	1.15%	0.99%	0.32%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.95%	3.03%	0.00%	0.48%	1.14%	1.68%	1.10%	0.21%	1.50%	0.54%	0.00%	1.11%	0.23%	1.66%	0.83%	1.62%	1.36%	0.60%	1.18%	2.19%					
19	Жириновский Владимир Вольфович	1376	77	81	53	86	4	33	1	79	20	40	41	4	6	6	18	16	5	0	5	46	5	2	102	8	1	54	4	4	41	38	10	46	22	109	70	9	8	15	79	56	59	13					
		8.92%	7.92%	7.89%	7.74%	10.30%	6.25%	9.73%	2.86%	14.08%	11.49%	19.70%	6.65%	3.01%	3.39%	4.11%	9.94%	11.19%	1.75%	0.00%	4.00%	6.73%	1.88%	1.48%	12.09%	12.12%	2.04%	8.61%	2.29%	1.68%	15.07%	7.88%	7.52%	8.21%	11.83%	13.46%	16.06%	3.73%	3.32%	8.11%	9.74%	11.20%	11.64%	5.70%					
20	Зюганов Геннадий Андреевич	3511	266	285	222	197	24	67	10	150	32	30	161	81	18	10	37	31	55	12	35	138	41	32	86	1	16	122	35	101	81	140	30	169	41	151	67	40	29	23	224	126	72	23					
		22.77%	27.37%	27.78%	32.41%	23.59%	37.50%	19.76%	28.57%	26.74%	18.39%	14.78%	26.09%	60.90%	10.17%	6.85%	20.44%	21.68%	19.30%	28.57%	28.00%	20.20%	15.41%	23.70%	10.19%	1.52%	32.65%	19.46%	20.00%	42.44%	29.78%	29.05%	22.56%	30.18%	22.04%	18.64%	15.37%	16.60%	12.03%	12.43%	27.62%	25.20%	14.20%	10.09%					
21	Медведев Дмитрий Анатольевич	10263	607	639	395	529	35	229	24	322	120	130	408	47	150	130	126	96	223	30	83	488	218	100	645	54	32	448	130	129	144	296	91	333	123	537	295	185	200	140	493	311	364	184					
