Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Беляевская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218									
1	"Число избирателей, включенных в список избирателей"	13093	265	453	288	349	916	308	617	335	252	790	92	252	558	141	365	490	160	146	179	373	199	381	395	361	306	1293	1358	1471									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14250	290	760	300	360	990	310	660	340	280	835	110	270	630	170	415	550	190	150	190	410	220	440	390	380	340	1320	1420	1530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8164	130	390	166	192	561	185	345	212	177	435	46	145	436	91	226	334	91	98	116	236	121	230	284	216	201	728	842	930									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	904	13	63	28	10	56	26	43	13	5	82	13	8	28	8	19	35	20	5	13	26	26	54	23	36	22	93	80	56									
6	Число погашенных избирательных бюллетеней	5182	147	307	106	158	373	99	272	115	98	318	51	117	166	71	170	181	79	47	61	148	73	156	83	128	117	499	498	544									
7	Число избирательных бюллетеней в переносных ящиках для голосования	904	13	63	28	10	56	26	43	13	5	82	13	8	28	8	19	35	20	5	13	26	26	54	23	36	22	93	80	56									
8	Число бюллетеней в стационарных ящиках для голосования	8163	130	390	166	192	560	185	345	212	177	435	46	145	436	91	226	334	91	98	116	236	121	230	284	216	201	728	842	930									
9	Число недействительных избирательных бюллетеней	78	4	5	1	2	3	4	2	2	1	4	0	0	6	1	0	2	1	0	0	0	1	1	5	3	3	8	12	7									
10	Число действительных избирательных бюллетеней	8989	139	448	193	200	613	207	386	223	181	513	59	153	458	98	245	367	110	103	129	262	146	283	302	249	220	813	910	979									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	39	0	0	1	3	5	1	1	0	0	3	0	0	0	1	2	2	2	1	0	0	0	0	1	1	0	3	4	8									
		0.43%	0.00%	0.00%	0.52%	1.49%	0.81%	0.47%	0.26%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	1.01%	0.82%	0.54%	1.80%	0.97%	0.00%	0.00%	0.00%	0.00%	0.33%	0.40%	0.00%	0.37%	0.43%	0.81%									
14	Грудинин Павел Николаевич	1097	6	64	13	14	67	18	51	10	27	68	7	7	52	2	12	54	10	21	14	33	8	29	30	18	24	128	126	184									
		12.10%	4.20%	14.13%	6.70%	6.93%	10.88%	8.53%	13.14%	4.44%	14.84%	13.15%	11.86%	4.58%	11.21%	2.02%	4.90%	14.63%	9.01%	20.39%	10.85%	12.60%	5.44%	10.21%	9.77%	7.14%	10.76%	15.59%	13.67%	18.66%									
