Выборы Президента Российской Федерации																																						
Дата голосования: 18.03.2018																																						
																																						
Наименование Избирательной комиссии:    Пономаревская																																						
																																						
Сводная таблица итогов голосования																																						
																																						
	Число участковых избирательных комиссий	27																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	27																																				
																																						
		Сумма	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1447	УИК №1448									
1	"Число избирателей, включенных в список избирателей"	11463	166	285	405	103	459	494	252	84	350	228	670	636	134	186	1451	619	722	1422	97	475	83	309	266	954	393	83	137									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11725	163	293	443	109	469	509	249	83	349	238	695	705	146	196	1456	587	702	1472	94	507	89	319	276	941	415	82	138									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7719	104	209	225	50	402	337	189	50	222	157	428	422	80	94	882	409	461	951	77	387	35	227	214	777	215	48	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1202	14	24	82	40	13	36	27	18	55	49	60	68	32	48	166	48	67	67	0	32	22	42	14	108	49	8	13									
6	Число погашенных избирательных бюллетеней	2804	45	60	136	19	54	136	33	15	72	32	207	215	34	54	408	130	174	454	17	88	32	50	48	56	151	26	58									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1202	14	24	82	40	13	36	27	18	55	49	60	68	32	48	166	48	67	67	0	32	22	42	14	108	49	8	13									
8	Число бюллетеней в стационарных ящиках для голосования	7719	104	209	225	50	402	337	189	50	222	157	428	422	80	94	882	409	461	951	77	387	35	227	214	777	215	48	67									
9	Число недействительных избирательных бюллетеней	79	1	0	0	0	0	5	0	1	0	0	5	0	0	1	6	3	0	13	1	7	0	0	0	32	3	1	0									
10	Число действительных избирательных бюллетеней	8842	117	233	307	90	415	368	216	67	277	206	483	490	112	141	1042	454	528	1005	76	412	57	269	228	853	261	55	80									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
13	Бабурин Сергей Николаевич	66	1	0	8	0	0	3	2	0	0	4	1	2	1	1	11	5	3	12	2	1	0	3	2	2	0	1	1									
		0.74%	0.85%	0.00%	2.61%	0.00%	0.00%	0.80%	0.93%	0.00%	0.00%	1.94%	0.20%	0.41%	0.89%	0.70%	1.05%	1.09%	0.57%	1.18%	2.60%	0.24%	0.00%	1.12%	0.88%	0.23%	0.00%	1.79%	1.25%									
14	Грудинин Павел Николаевич	886	21	5	71	3	3	28	29	2	34	24	22	79	6	13	87	76	71	123	17	48	2	20	28	8	44	7	15									
		9.93%	17.80%	2.15%	23.13%	3.33%	0.72%	7.51%	13.43%	2.94%	12.27%	11.65%	4.51%	16.12%	5.36%	9.15%	8.30%	16.63%	13.45%	12.08%	22.08%	11.46%	3.51%	7.43%	12.28%	0.90%	16.67%	12.50%	18.75%									
15	Жириновский Владимир Вольфович	463	3	3	25	10	2	9	11	10	8	14	6	11	12	8	64	28	37	75	10	22	2	26	29	8	20	7	3									
		5.19%	2.54%	1.29%	8.14%	11.11%	0.48%	2.41%	5.09%	14.71%	2.89%	6.80%	1.23%	2.24%	10.71%	5.63%	6.11%	6.13%	7.01%	7.37%	12.99%	5.25%	3.51%	9.67%	12.72%	0.90%	7.58%	12.50%	3.75%									
16	Путин Владимир Владимирович	7258	92	225	199	76	408	310	172	53	230	162	451	383	89	118	856	333	398	776	45	332	51	215	164	829	192	40	59									
		81.36%	77.97%	96.57%	64.82%	84.44%	98.31%	83.11%	79.63%	77.94%	83.03%	78.64%	92.42%	78.16%	79.46%	83.10%	81.68%	72.87%	75.38%	76.23%	58.44%	79.24%	89.47%	79.93%	71.93%	93.67%	72.73%	71.43%	73.75%									
17	Собчак Ксения Анатольевна	55	0	0	2	1	2	3	2	0	2	1	1	6	1	0	11	5	4	5	0	0	1	1	4	3	0	0	0									
		0.62%	0.00%	0.00%	0.65%	1.11%	0.48%	0.80%	0.93%	0.00%	0.72%	0.49%	0.20%	1.22%	0.89%	0.00%	1.05%	1.09%	0.76%	0.49%	0.00%	0.00%	1.75%	0.37%	1.75%	0.34%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	70	0	0	2	0	0	6	0	2	1	0	2	7	3	1	8	3	7	8	1	8	1	1	0	3	4	0	2									
		0.78%	0.00%	0.00%	0.65%	0.00%	0.00%	1.61%	0.00%	2.94%	0.36%	0.00%	0.41%	1.43%	2.68%	0.70%	0.76%	0.66%	1.33%	0.79%	1.30%	1.91%	1.75%	0.37%	0.00%	0.34%	1.52%	0.00%	2.50%									
19	Титов Борис Юрьевич	26	0	0	0	0	0	4	0	0	2	1	0	2	0	0	2	3	5	2	0	0	0	3	1	0	1	0	0									
		0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.72%	0.49%	0.00%	0.41%	0.00%	0.00%	0.19%	0.66%	0.95%	0.20%	0.00%	0.00%	0.00%	1.12%	0.44%	0.00%	0.38%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	1	3	4	1	1	0	0	0	0	0	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.22%	0.57%	0.39%	1.30%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
