Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Сорочинская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
1	"Число избирателей, внесенных в список"	23486	2122	2017	3594	1805	1675	3473	1602	2573	1654	2971					
2	Число полученных избирательных бюллетеней	22593	1988	1819	3538	1765	1596	3377	1602	2444	1590	2874					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11149	1077	836	1908	843	730	1544	755	1276	867	1313					
5	"Число избирательных бюллетеней, выданных вне помещения"	467	22	33	55	109	52	78	47	16	12	43					
6	Число погашенных избирательных бюллетеней	10977	889	950	1575	813	814	1755	800	1152	711	1518					
7	Число избирательных бюллетеней в переносных ящиках	467	22	33	55	109	52	78	47	16	12	43					
8	Число бюллетеней в стационарных ящиках для голосования	10982	1077	836	1908	843	678	1472	755	1276	867	1270					
9	Число недействительных избирательных бюллетеней	124	14	15	24	11	11	17	8	11	3	10					
10	Число действительных избирательных бюллетеней	11325	1085	854	1939	941	719	1533	794	1281	876	1303					
11	Число полученных открепительных  удостоверений	397	40	40	40	40	35	35	40	40	40	47					
12	Число выданных открепительных удостоверений	87	5	7	7	8	7	13	6	15	8	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	7	3	5	6	4	3	0	5	0	2					
14	Число неиспользованных открепительных удостоверений	310	35	33	33	32	28	22	34	25	32	36					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	806	91	56	97	49	54	107	39	110	110	93					
		7.04%	8.28%	6.44%	4.94%	5.15%	7.40%	6.90%	4.86%	8.51%	12.51%	7.08%					
19	. Малышкин Олег Александрович	537	41	28	69	54	31	89	43	64	39	79					
		4.69%	3.73%	3.22%	3.52%	5.67%	4.25%	5.74%	5.36%	4.95%	4.44%	6.02%					
20	. Миронов Сергей Михайлович	107	19	7	12	4	6	17	10	9	8	15					
		0.93%	1.73%	0.81%	0.61%	0.42%	0.82%	1.10%	1.25%	0.70%	0.91%	1.14%					
21	. Путин Владимир Владимирович	5329	516	408	1046	469	371	664	357	578	373	547					
		46.55%	46.95%	46.95%	53.29%	49.26%	50.82%	42.84%	44.51%	44.74%	42.43%	41.66%					
22	. Хакамада Ирина Муцуовна	249	17	16	29	12	16	33	25	45	22	34					
		2.17%	1.55%	1.84%	1.48%	1.26%	2.19%	2.13%	3.12%	3.48%	2.50%	2.59%					
23	. Харитонов Николай Михайлович	3949	365	307	650	328	224	598	289	408	291	489					
		34.49%	33.21%	35.33%	33.11%	34.45%	30.68%	38.58%	36.03%	31.58%	33.11%	37.24%					
																	
24	Против всех	348	36	32	36	25	17	25	31	67	33	46					
		3.04%	3.28%	3.68%	1.83%	2.63%	2.33%	1.61%	3.87%	5.19%	3.75%	3.50%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
