Выборы Президента Российской Федерации																																																								
Дата голосования: 18.03.2018																																																								
																																																								
Наименование Избирательной комиссии:    Тоцкая																																																								
																																																								
Сводная таблица итогов голосования																																																								
																																																								
	Число участковых избирательных комиссий	45																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	45																																																						
																																																								
		Сумма	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777									
1	"Число избирателей, включенных в список избирателей"	25717	1203	1042	1164	1166	1318	145	1809	1490	1283	1251	1292	1406	1685	1149	1026	301	184	199	136	485	105	264	423	86	273	58	41	231	170	164	145	338	241	166	175	152	752	96	263	257	281	582	218	175	327									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25375	1190	1000	1200	1190	1300	135	1700	1390	1250	1270	1380	1350	1535	1140	990	290	190	190	130	500	100	270	440	85	270	50	40	230	170	170	145	350	245	160	170	150	765	95	265	260	280	610	230	180	325									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16823	778	592	653	657	721	88	1267	979	861	818	881	1060	1273	723	622	200	122	132	103	271	67	186	290	71	222	36	28	192	117	133	60	180	158	97	112	97	483	63	158	219	217	369	139	115	213									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2163	224	209	224	140	120	10	36	53	36	47	35	38	34	61	125	36	15	25	10	103	19	18	46	4	22	6	6	28	16	7	7	34	18	14	14	6	77	14	30	14	15	73	28	18	48									
6	Число погашенных избирательных бюллетеней	6389	188	199	323	393	459	37	397	358	353	405	464	252	228	356	243	54	53	33	17	126	14	66	104	10	26	8	6	10	37	30	78	136	69	49	44	47	205	18	77	27	48	168	63	47	64									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2163	224	209	224	140	120	10	36	53	36	47	35	38	34	61	125	36	15	25	10	103	19	18	46	4	22	6	6	28	16	7	7	34	18	14	14	6	77	14	30	14	15	73	28	18	48									
8	Число бюллетеней в стационарных ящиках для голосования	16823	778	592	653	657	721	88	1267	979	861	818	881	1060	1273	723	622	200	122	132	103	271	67	186	290	71	222	36	28	192	117	133	60	180	158	97	112	97	483	63	158	219	217	369	139	115	213									
9	Число недействительных избирательных бюллетеней	213	10	6	7	13	12	1	23	17	9	14	14	24	8	8	9	4	0	0	0	2	0	1	2	0	0	0	0	3	0	1	0	1	2	1	1	1	3	0	1	1	6	3	4	0	1									
10	Число действительных избирательных бюллетеней	18773	992	795	870	784	829	97	1280	1015	888	851	902	1074	1299	776	738	232	137	157	113	372	86	203	334	75	244	42	34	217	133	139	67	213	174	110	125	102	557	77	187	232	226	439	163	133	260									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
13	Бабурин Сергей Николаевич	82	3	7	1	2	0	1	7	4	3	4	2	8	3	3	1	0	0	3	2	4	0	0	3	0	0	0	1	6	0	0	0	1	1	0	0	3	2	0	0	0	2	3	1	0	1									
		0.43%	0.30%	0.87%	0.11%	0.25%	0.00%	1.02%	0.54%	0.39%	0.33%	0.46%	0.22%	0.73%	0.23%	0.38%	0.13%	0.00%	0.00%	1.91%	1.77%	1.07%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	2.94%	2.73%	0.00%	0.00%	0.00%	0.47%	0.57%	0.00%	0.00%	2.91%	0.36%	0.00%	0.00%	0.00%	0.86%	0.68%	0.60%	0.00%	0.38%									
14	Грудинин Павел Николаевич	2496	117	99	162	143	149	7	150	118	105	107	86	146	149	116	80	19	6	24	11	60	14	26	36	5	6	13	4	27	15	21	21	45	33	16	9	12	99	9	32	21	40	63	31	16	28									
		13.15%	11.68%	12.36%	18.47%	17.94%	17.72%	7.14%	11.51%	11.43%	11.71%	12.37%	9.39%	13.30%	11.40%	14.80%	10.71%	8.05%	4.38%	15.29%	9.73%	16.04%	16.28%	12.75%	10.71%	6.67%	2.46%	30.95%	11.76%	12.27%	11.28%	15.00%	31.34%	21.03%	18.75%	14.41%	7.14%	11.65%	17.68%	11.69%	17.02%	9.01%	17.24%	14.25%	18.56%	12.03%	10.73%									
