Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Знаменская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748					
1	"Число избирателей, внесенных в список"	4483	409	399	251	1605	227	205	121	120	300	383	242	221					
2	Число полученных избирательных бюллетеней	4507	426	414	243	1590	229	208	122	122	307	382	246	218					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3256	262	269	222	1216	162	133	57	95	222	304	146	168					
5	"Число избирательных бюллетеней, выданных вне помещения"	937	144	115	21	154	62	72	63	22	75	72	89	48					
6	Число погашенных избирательных бюллетеней	314	20	30	0	220	5	3	2	5	10	6	11	2					
7	Число избирательных бюллетеней в переносных ящиках	937	144	115	21	154	62	72	63	22	75	72	89	48					
8	Число бюллетеней в стационарных ящиках для голосования	3256	262	269	222	1216	162	133	57	95	222	304	146	168					
9	Число недействительных избирательных бюллетеней	74	51	4	0	12	0	0	0	1	4	1	0	1					
10	Число действительных избирательных бюллетеней	4119	355	380	243	1358	224	205	120	116	293	375	235	215					
11	Число полученных открепительных  удостоверений	94	5	5	5	35	7	5	5	5	7	5	5	5					
12	Число выданных открепительных удостоверений	62	5	5	0	31	3	4	0	1	6	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	4	0	6	23	2	2	1	4	1	7	6	5					
14	Число неиспользованных открепительных удостоверений	32	0	0	5	4	4	1	5	4	1	1	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	102	3	5	0	44	4	3	4	1	11	20	4	3					
		2.43%	0.74%	1.30%	0.00%	3.21%	1.79%	1.46%	3.33%	0.85%	3.70%	5.32%	1.70%	1.39%					
19	. Малышкин Олег Александрович	88	7	4	3	32	11	1	1	0	5	15	2	7					
		2.10%	1.72%	1.04%	1.23%	2.34%	4.91%	0.49%	0.83%	0.00%	1.68%	3.99%	0.85%	3.24%					
20	. Миронов Сергей Михайлович	18	1	0	0	12	1	0	0	2	0	0	0	2					
		0.43%	0.25%	0.00%	0.00%	0.88%	0.45%	0.00%	0.00%	1.71%	0.00%	0.00%	0.00%	0.93%					
21	. Путин Владимир Владимирович	2780	267	276	191	879	149	136	92	73	221	235	118	143					
		66.30%	65.76%	71.88%	78.60%	64.16%	66.52%	66.34%	76.67%	62.39%	74.41%	62.50%	50.21%	66.20%					
22	. Хакамада Ирина Муцуовна	58	2	9	3	22	2	1	2	2	3	6	4	2					
		1.38%	0.49%	2.34%	1.23%	1.61%	0.89%	0.49%	1.67%	1.71%	1.01%	1.60%	1.70%	0.93%					
23	. Харитонов Николай Михайлович	974	65	82	43	319	57	63	20	36	51	81	102	55					
		23.23%	16.01%	21.35%	17.70%	23.28%	25.45%	30.73%	16.67%	30.77%	17.17%	21.54%	43.40%	25.46%					
																			
24	Против всех	99	10	4	3	50	0	1	1	2	2	18	5	3					
		2.36%	2.46%	1.04%	1.23%	3.65%	0.00%	0.49%	0.83%	1.71%	0.67%	4.79%	2.13%	1.39%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
