Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Орловская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
1	"Число избирателей, внесенных в список"	48122	418	402	117	542	316	522	192	496	2281	703	410	694	808	1405	767	1420	1715	716	706	2478	2515	2262	2377	461	249	579	668	408	1000	732	280	609	1180	531	1457	512	225	215	863	545	356	339	1986	1261	1811	184	398	843	635	401	709	678	1193	854	1291	407					
2	Число полученных избирательных бюллетеней	48130	421	408	123	554	324	514	195	488	2300	705	419	676	814	1350	757	1400	1650	710	708	2500	2600	2300	2400	453	244	587	674	404	1040	761	285	621	1150	532	1400	501	225	217	849	536	351	339	2000	1250	1800	189	402	876	628	427	710	680	1100	860	1300	423					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32522	223	238	91	370	232	398	62	357	1608	411	326	508	423	759	498	1204	1211	566	549	1780	1679	1566	1733	277	74	330	374	292	721	343	183	323	834	299	1221	243	135	148	673	465	289	244	1430	672	930	156	171	525	386	206	432	616	783	613	1049	293					
5	"Число избирательных бюллетеней, выданных вне помещения"	5981	120	113	14	75	15	34	113	81	98	119	29	30	137	134	17	17	254	72	73	109	123	95	50	47	138	152	135	85	122	243	59	172	228	185	3	106	43	21	43	0	41	47	425	246	205	0	171	109	176	157	212	23	200	145	55	65					
6	Число погашенных избирательных бюллетеней	9627	78	57	18	109	77	82	20	50	594	175	64	138	254	457	242	179	185	72	86	611	798	639	617	129	32	105	165	27	197	175	43	126	88	48	176	152	47	48	133	71	21	48	145	332	665	33	60	242	66	64	66	41	117	102	196	65					
7	Число избирательных бюллетеней в переносных ящиках	5981	120	113	14	75	15	34	113	81	98	119	29	30	137	134	17	17	254	72	73	109	123	95	50	47	138	152	135	85	122	243	59	172	228	185	3	106	43	21	43	0	41	47	425	246	205	0	171	109	176	157	212	23	200	145	55	65					
8	Число бюллетеней в стационарных ящиках для голосования	32494	223	238	91	370	232	398	62	357	1608	411	326	508	423	759	497	1204	1211	566	549	1780	1654	1566	1733	277	74	330	374	292	720	342	183	323	834	299	1221	243	135	148	673	465	289	244	1430	672	930	156	171	525	386	206	432	616	783	613	1049	293					
9	Число недействительных избирательных бюллетеней	294	4	3	0	6	4	6	0	4	11	4	7	4	5	3	3	9	8	3	5	7	14	30	29	0	0	1	4	4	5	3	2	6	9	2	8	1	5	3	4	5	2	1	11	9	8	2	0	8	0	1	0	0	5	7	7	2					
10	Число действительных избирательных бюллетеней	38181	339	348	105	439	243	426	175	434	1695	526	348	534	555	890	511	1212	1457	635	617	1882	1763	1631	1754	324	212	481	505	373	837	582	240	489	1053	482	1216	348	173	166	712	460	328	290	1844	909	1127	154	342	626	562	362	644	639	978	751	1097	356					
