Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Хотынецкая																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734					
1	"Число избирателей, внесенных в список"	8839	572	209	254	392	562	223	305	544	250	331	218	408	437	313	494	851	899	1577					
2	Число полученных избирательных бюллетеней	8583	547	203	247	390	535	224	309	545	250	320	202	398	413	300	470	830	860	1540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6050	415	102	193	291	401	86	212	512	154	246	130	261	296	235	369	491	650	1006					
5	"Число избирательных бюллетеней, выданных вне помещения"	1873	132	101	54	84	134	137	83	28	96	74	72	134	115	65	99	188	93	184					
6	Число погашенных избирательных бюллетеней	660	0	0	0	15	0	1	14	5	0	0	0	3	2	0	2	151	117	350					
7	Число избирательных бюллетеней в переносных ящиках	1873	132	101	54	84	134	137	83	28	96	74	72	134	115	65	99	188	93	184					
8	Число бюллетеней в стационарных ящиках для голосования	6048	415	102	193	291	401	86	212	512	154	246	130	261	296	235	369	489	650	1006					
9	Число недействительных избирательных бюллетеней	56	6	0	0	5	4	0	2	1	2	0	1	0	5	1	0	10	4	15					
10	Число действительных избирательных бюллетеней	7865	541	203	247	370	531	223	293	539	248	320	201	395	406	299	468	667	739	1175					
11	Число полученных открепительных  удостоверений	100	4	3	3	3	4	2	3	4	2	3	2	3	3	3	4	16	16	22					
12	Число выданных открепительных удостоверений	61	4	3	1	1	4	0	2	0	0	1	0	2	2	0	4	8	13	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	1	2	0	4	5	2	3	3	5	0	4	0	2	4	2	4	9	12					
14	Число неиспользованных открепительных удостоверений	39	0	0	2	2	0	2	1	4	2	2	2	1	1	3	0	8	3	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	161	11	1	15	11	13	0	0	7	0	2	4	3	3	4	5	26	19	37					
		2.03%	2.01%	0.49%	6.07%	2.93%	2.43%	0.00%	0.00%	1.30%	0.00%	0.62%	1.98%	0.76%	0.73%	1.33%	1.07%	3.84%	2.56%	3.11%					
19	. Малышкин Олег Александрович	151	6	5	11	9	22	2	3	4	2	5	4	6	13	7	2	12	15	23					
		1.91%	1.10%	2.46%	4.45%	2.40%	4.11%	0.90%	1.02%	0.74%	0.80%	1.56%	1.98%	1.52%	3.16%	2.33%	0.43%	1.77%	2.02%	1.93%					
20	. Миронов Сергей Михайлович	67	13	0	2	0	8	0	1	0	5	0	2	4	0	7	3	10	5	7					
		0.85%	2.38%	0.00%	0.81%	0.00%	1.50%	0.00%	0.34%	0.00%	2.00%	0.00%	0.99%	1.01%	0.00%	2.33%	0.64%	1.48%	0.67%	0.59%					
21	. Путин Владимир Владимирович	4938	409	119	145	255	348	140	206	267	151	257	119	283	289	201	373	363	395	618					
		62.34%	74.77%	58.62%	58.70%	68.00%	65.05%	62.78%	69.83%	49.44%	60.40%	80.31%	58.91%	71.65%	70.32%	67.00%	79.70%	53.62%	53.16%	51.93%					
22	. Хакамада Ирина Муцуовна	141	8	3	8	15	11	5	2	7	1	3	1	3	5	9	2	13	13	32					
		1.78%	1.46%	1.48%	3.24%	4.00%	2.06%	2.24%	0.68%	1.30%	0.40%	0.94%	0.50%	0.76%	1.22%	3.00%	0.43%	1.92%	1.75%	2.69%					
23	. Харитонов Николай Михайлович	2157	88	72	57	70	109	74	66	249	84	47	70	81	89	55	79	213	247	407					
		27.23%	16.09%	35.47%	23.08%	18.67%	20.37%	33.18%	22.37%	46.11%	33.60%	14.69%	34.65%	20.51%	21.65%	18.33%	16.88%	31.46%	33.24%	34.20%					
																									
24	Против всех	250	6	3	9	10	20	2	15	5	5	6	1	15	7	16	4	30	45	51					
		3.16%	1.10%	1.48%	3.64%	2.67%	3.74%	0.90%	5.08%	0.93%	2.00%	1.88%	0.50%	3.80%	1.70%	5.33%	0.85%	4.43%	6.06%	4.29%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
