Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Башмаковская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300									
1	"Число избирателей, включенных в список избирателей"	15280	657	1190	826	1861	726	1003	1305	139	667	278	134	266	81	394	831	275	167	516	248	282	291	819	191	906	330	300	362	101	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17129	735	1249	872	1984	779	1089	1384	147	734	322	140	306	91	449	972	334	200	597	313	346	332	984	226	1062	426	354	444	103	155									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11101	406	875	619	1417	541	747	1045	95	555	171	83	195	49	332	552	213	134	339	166	178	224	538	130	590	269	226	229	72	111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1963	116	148	79	168	91	100	158	16	31	45	18	30	23	19	171	29	17	106	50	26	39	124	38	137	32	34	85	21	12									
6	Число погашенных избирательных бюллетеней	4065	213	226	174	399	147	242	181	36	148	106	39	81	19	98	249	92	49	152	97	142	69	322	58	335	125	94	130	10	32									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1963	116	148	79	168	91	100	158	16	31	45	18	30	23	19	171	29	17	106	50	26	39	124	38	137	32	34	85	21	12									
8	Число бюллетеней в стационарных ящиках для голосования	11101	406	875	619	1417	541	747	1045	95	555	171	83	195	49	332	552	213	134	339	166	178	224	538	130	590	269	226	229	72	111									
9	Число недействительных избирательных бюллетеней	264	56	25	26	24	5	10	7	0	3	0	7	5	0	0	4	1	0	0	10	2	13	10	3	11	41	0	0	1	0									
10	Число действительных избирательных бюллетеней	12800	466	998	672	1561	627	837	1196	111	583	216	94	220	72	351	719	241	151	445	206	202	250	652	165	716	260	260	314	92	123									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	75	2	5	6	9	4	8	7	0	1	0	0	1	0	1	3	1	2	5	1	0	0	5	1	3	2	4	3	1	0									
		0.57%	0.38%	0.49%	0.86%	0.57%	0.63%	0.94%	0.58%	0.00%	0.17%	0.00%	0.00%	0.44%	0.00%	0.28%	0.41%	0.41%	1.32%	1.12%	0.46%	0.00%	0.00%	0.76%	0.60%	0.41%	0.66%	1.54%	0.96%	1.08%	0.00%									
14	Грудинин Павел Николаевич	1166	51	136	64	101	82	118	86	3	31	32	11	35	2	18	68	38	4	48	9	13	7	38	14	70	14	23	39	9	2									
		8.93%	9.77%	13.29%	9.17%	6.37%	12.97%	13.93%	7.15%	2.70%	5.29%	14.81%	10.89%	15.56%	2.78%	5.13%	9.41%	15.70%	2.65%	10.79%	4.17%	6.37%	2.66%	5.74%	8.33%	9.63%	4.65%	8.85%	12.42%	9.68%	1.63%									
15	Жириновский Владимир Вольфович	832	24	75	33	127	54	67	38	5	39	15	10	14	3	12	50	19	4	19	10	21	8	69	6	45	9	23	12	12	9									
		6.37%	4.60%	7.33%	4.73%	8.01%	8.54%	7.91%	3.16%	4.50%	6.66%	6.94%	9.90%	6.22%	4.17%	3.42%	6.92%	7.85%	2.65%	4.27%	4.63%	10.29%	3.04%	10.42%	3.57%	6.19%	2.99%	8.85%	3.82%	12.90%	7.32%									
16	Путин Владимир Владимирович	10501	383	752	561	1285	468	619	1050	100	504	168	70	168	65	313	592	180	141	367	185	165	233	529	140	589	228	208	256	70	112									
		80.38%	73.37%	73.51%	80.37%	81.07%	74.05%	73.08%	87.28%	90.09%	86.01%	77.78%	69.31%	74.67%	90.28%	89.17%	81.88%	74.38%	93.38%	82.47%	85.65%	80.88%	88.59%	79.91%	83.33%	81.02%	75.75%	80.00%	81.53%	75.27%	91.06%									
17	Собчак Ксения Анатольевна	75	3	7	2	12	4	7	4	1	4	1	1	1	0	2	3	2	0	4	0	3	1	7	2	0	3	1	0	0	0									
		0.57%	0.57%	0.68%	0.29%	0.76%	0.63%	0.83%	0.33%	0.90%	0.68%	0.46%	0.99%	0.44%	0.00%	0.57%	0.41%	0.83%	0.00%	0.90%	0.00%	1.47%	0.38%	1.06%	1.19%	0.00%	0.99%	0.38%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	62	2	7	3	8	7	6	4	2	3	0	2	1	1	2	1	1	0	2	1	0	1	3	2	2	0	1	0	0	0									
		0.47%	0.38%	0.68%	0.43%	0.50%	1.11%	0.71%	0.33%	1.80%	0.51%	0.00%	1.98%	0.44%	1.39%	0.57%	0.14%	0.41%	0.00%	0.45%	0.46%	0.00%	0.38%	0.45%	1.19%	0.28%	0.00%	0.38%	0.00%	0.00%	0.00%									
19	Титов Борис Юрьевич	43	1	4	3	10	4	7	3	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	5	1	0	1	0	0									
		0.33%	0.19%	0.39%	0.43%	0.63%	0.63%	0.83%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.57%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.33%	0.00%	0.32%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	46	0	12	0	9	4	5	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	3	0	3	0	0									
		0.35%	0.00%	1.17%	0.00%	0.57%	0.63%	0.59%	0.33%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.28%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.28%	0.99%	0.00%	0.96%	0.00%	0.00%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
