Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Бессоновская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313					
1	"Число избирателей, внесенных в список"	33127	350	1005	1356	1303	1118	1204	1066	1347	706	358	1394	436	874	865	782	767	855	930	740	1028	1332	550	523	692	900	416	183	302	1513	993	641	903	311	2092	2071	615	606					
2	Число полученных избирательных бюллетеней	33288	350	1030	1390	1310	1100	1230	1070	1340	700	340	1390	440	880	870	780	750	850	930	740	1060	1390	510	520	690	900	420	188	320	1520	990	650	900	300	2130	2100	610	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16914	195	513	611	590	518	571	496	537	306	79	771	246	387	437	371	360	332	465	368	497	1101	393	303	418	392	194	122	261	773	469	279	442	151	1237	1034	334	361					
5	"Число избирательных бюллетеней, выданных вне помещения"	3592	53	135	153	96	123	100	86	215	129	177	79	63	149	72	111	109	191	123	82	89	20	0	52	63	120	74	31	0	81	179	74	99	50	57	210	86	61					
6	Число погашенных избирательных бюллетеней	12782	102	382	626	624	459	559	488	588	265	84	540	131	344	361	298	281	327	342	290	474	269	117	165	209	388	152	35	59	666	342	297	359	99	836	856	190	178					
7	Число избирательных бюллетеней в переносных ящиках	3592	53	135	153	96	123	100	86	215	129	177	79	63	149	72	111	109	191	123	82	89	20	0	52	63	120	74	31	0	81	179	74	99	50	57	210	86	61					
8	Число бюллетеней в стационарных ящиках для голосования	16912	195	513	610	590	518	571	496	537	306	79	771	246	387	437	371	360	332	465	368	497	1101	393	303	418	392	194	122	261	773	469	278	442	151	1237	1034	334	361					
9	Число недействительных избирательных бюллетеней	246	0	2	10	11	5	11	10	8	5	1	11	7	6	1	4	7	11	2	6	11	19	4	2	2	6	3	4	2	12	4	9	11	1	12	13	3	10					
10	Число действительных избирательных бюллетеней	20258	248	646	753	675	636	660	572	744	430	255	839	302	530	508	478	462	512	586	444	575	1102	389	353	479	506	265	149	259	842	644	343	530	200	1282	1231	417	412					
11	Число полученных открепительных  удостоверений	340	5	10	20	10	10	20	10	10	10	5	20	5	10	10	5	5	5	5	10	10	10	5	10	5	5	5	5	5	15	5	5	10	5	30	15	5	5					
12	Число выданных открепительных удостоверений	214	0	8	12	2	9	11	9	4	7	3	11	3	6	8	3	4	1	3	7	8	9	2	6	0	3	0	0	0	15	0	5	5	0	30	15	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	155	4	7	1	5	3	3	4	6	2	0	8	5	2	1	4	5	2	1	3	4	1	0	2	6	6	2	0	0	15	1	4	2	7	18	10	4	7					
