Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Вадинская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в список"	8343	320	251	103	750	782	535	941	571	294	403	77	316	276	309	557	105	276	544	295	122	319	76	121					
2	Число полученных избирательных бюллетеней	8837	339	272	115	797	799	557	1005	605	312	426	76	360	292	319	584	109	312	572	320	126	338	79	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4885	177	129	28	453	459	314	619	317	178	218	62	149	169	169	373	59	139	289	191	72	207	46	68					
5	"Число избирательных бюллетеней, выданных вне помещения"	1806	81	77	53	119	56	70	113	97	73	130	8	131	82	100	111	39	102	137	69	30	66	27	35					
6	Число погашенных избирательных бюллетеней	2146	81	66	34	225	284	173	273	191	61	78	6	80	41	50	100	11	71	146	60	24	65	6	20					
7	Число избирательных бюллетеней в переносных ящиках	1806	81	77	53	119	56	70	113	97	73	130	8	131	82	100	111	39	102	137	69	30	66	27	35					
8	Число бюллетеней в стационарных ящиках для голосования	4885	177	129	28	453	459	314	619	317	178	218	62	149	169	169	373	59	139	289	191	72	207	46	68					
9	Число недействительных избирательных бюллетеней	81	1	3	0	3	11	2	7	6	9	1	3	1	1	3	2	3	11	7	2	0	3	1	1					
10	Число действительных избирательных бюллетеней	6610	257	203	81	569	504	382	725	408	242	347	67	279	250	266	482	95	230	419	258	102	270	72	102					
11	Число полученных открепительных  удостоверений	543	25	15	13	86	31	28	38	41	15	25	0	45	15	14	25	3	34	33	31	3	22	1	0					
12	Число выданных открепительных удостоверений	513	25	14	13	70	29	24	38	41	15	25	0	45	15	14	25	3	34	31	28	3	20	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	5	0	0	28	5	5	3	7	0	3	1	3	1	3	1	0	0	3	2	2	2	0	0					
14	Число неиспользованных открепительных удостоверений	30	0	1	0	16	2	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	1	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	141	10	2	1	15	11	8	9	5	5	10	0	18	4	3	10	1	7	3	1	2	12	2	2					
		2.11%	3.88%	0.97%	1.23%	2.62%	2.14%	2.08%	1.23%	1.21%	1.99%	2.87%	0.00%	6.43%	1.59%	1.12%	2.07%	1.02%	2.90%	0.70%	0.38%	1.96%	4.40%	2.74%	1.94%					
19	. Малышкин Олег Александрович	175	11	7	6	16	8	5	21	13	4	18	1	11	6	0	9	1	4	12	3	6	8	0	5					
		2.62%	4.26%	3.40%	7.41%	2.80%	1.55%	1.30%	2.87%	3.14%	1.59%	5.17%	1.43%	3.93%	2.39%	0.00%	1.86%	1.02%	1.66%	2.82%	1.15%	5.88%	2.93%	0.00%	4.85%					
20	. Миронов Сергей Михайлович	48	3	3	2	5	1	3	3	7	0	2	0	2	3	0	4	0	0	5	1	2	2	0	0					
		0.72%	1.16%	1.46%	2.47%	0.87%	0.19%	0.78%	0.41%	1.69%	0.00%	0.57%	0.00%	0.71%	1.20%	0.00%	0.83%	0.00%	0.00%	1.17%	0.38%	1.96%	0.73%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4796	194	145	48	438	384	305	569	315	189	230	50	173	163	211	333	52	161	253	194	72	182	62	73					
		71.68%	75.19%	70.39%	59.26%	76.57%	74.56%	79.43%	77.73%	76.09%	75.30%	66.09%	71.43%	61.79%	64.94%	78.44%	68.80%	53.06%	66.80%	59.39%	74.62%	70.59%	66.67%	84.93%	70.87%					
22	. Хакамада Ирина Муцуовна	84	6	4	1	11	11	4	13	2	0	4	0	3	3	4	4	2	0	1	5	1	2	2	1					
		1.26%	2.33%	1.94%	1.23%	1.92%	2.14%	1.04%	1.78%	0.48%	0.00%	1.15%	0.00%	1.07%	1.20%	1.49%	0.83%	2.04%	0.00%	0.23%	1.92%	0.98%	0.73%	2.74%	0.97%					
23	. Харитонов Николай Михайлович	1272	30	38	22	72	77	53	105	61	40	78	16	69	65	43	118	36	51	140	52	19	61	6	20					
		19.01%	11.63%	18.45%	27.16%	12.59%	14.95%	13.80%	14.34%	14.73%	15.94%	22.41%	22.86%	24.64%	25.90%	15.99%	24.38%	36.73%	21.16%	32.86%	20.00%	18.63%	22.34%	8.22%	19.42%					
																														
24	Против всех	94	3	4	1	12	12	4	5	5	4	5	0	3	6	5	4	3	7	5	2	0	3	0	1					
		1.40%	1.16%	1.94%	1.23%	2.10%	2.33%	1.04%	0.68%	1.21%	1.59%	1.44%	0.00%	1.07%	2.39%	1.86%	0.83%	3.06%	2.90%	1.17%	0.77%	0.00%	1.10%	0.00%	0.97%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
