Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Земетчинская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479									
1	"Число избирателей, включенных в список избирателей"	18280	1258	1262	1252	1266	1164	1236	1688	863	188	70	311	383	235	198	675	327	570	956	237	363	180	405	181	423	176	476	703	385	849									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19360	1350	1350	1320	1330	1200	1290	1770	930	200	70	310	420	240	200	720	340	600	1040	240	380	180	430	180	470	180	520	760	420	920									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11573	743	594	717	668	586	915	826	632	111	50	147	301	183	156	540	214	409	667	158	244	103	319	130	279	136	266	521	279	679									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2688	122	211	167	170	147	160	292	66	43	17	63	56	29	29	83	67	101	155	49	56	57	36	30	92	34	138	85	37	96									
6	Число погашенных избирательных бюллетеней	5099	485	545	436	492	467	215	652	232	46	3	100	63	28	15	97	59	90	218	33	80	20	75	20	99	10	116	154	104	145									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2688	122	211	167	170	147	160	292	66	43	17	63	56	29	29	83	67	101	155	49	56	57	36	30	92	34	138	85	37	96									
8	Число бюллетеней в стационарных ящиках для голосования	11573	743	594	717	668	586	915	826	632	111	50	147	301	183	156	540	214	409	667	158	244	103	319	130	279	136	266	521	279	679									
9	Число недействительных избирательных бюллетеней	120	6	7	6	6	8	6	22	23	1	0	0	0	0	0	6	0	4	6	0	6	0	0	0	2	0	0	10	1	0									
10	Число действительных избирательных бюллетеней	14141	859	798	878	832	725	1069	1096	675	153	67	210	357	212	185	617	281	506	816	207	294	160	355	160	369	170	404	596	315	775									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	81	10	4	8	8	6	5	4	5	1	0	3	0	0	0	4	4	2	5	2	2	0	2	1	2	0	0	1	1	1									
		0.57%	1.16%	0.50%	0.90%	0.95%	0.82%	0.47%	0.36%	0.72%	0.65%	0.00%	1.43%	0.00%	0.00%	0.00%	0.64%	1.42%	0.39%	0.61%	0.97%	0.67%	0.00%	0.56%	0.63%	0.54%	0.00%	0.00%	0.17%	0.32%	0.13%									
14	Грудинин Павел Николаевич	1805	128	128	126	137	123	212	164	90	34	2	32	38	19	4	30	8	61	78	12	10	5	24	10	54	10	30	83	93	60									
		12.66%	14.80%	15.90%	14.25%	16.35%	16.78%	19.72%	14.67%	12.89%	22.08%	2.99%	15.24%	10.64%	8.96%	2.16%	4.82%	2.85%	11.96%	9.49%	5.80%	3.33%	3.13%	6.76%	6.25%	14.56%	5.88%	7.43%	13.70%	29.43%	7.74%									
15	Жириновский Владимир Вольфович	681	61	51	33	55	38	57	71	26	6	3	13	23	14	10	15	11	19	45	17	11	1	7	6	21	1	7	19	13	27									
		4.78%	7.05%	6.34%	3.73%	6.56%	5.18%	5.30%	6.35%	3.72%	3.90%	4.48%	6.19%	6.44%	6.60%	5.41%	2.41%	3.91%	3.73%	5.47%	8.21%	3.67%	0.63%	1.97%	3.75%	5.66%	0.59%	1.73%	3.14%	4.11%	3.48%									
16	Путин Владимир Владимирович	11364	653	595	692	612	538	776	830	543	109	62	158	290	179	170	565	255	417	680	176	268	151	315	143	291	159	362	491	205	679									
		79.69%	75.49%	73.91%	78.28%	73.03%	73.40%	72.19%	74.24%	77.79%	70.78%	92.54%	75.24%	81.23%	84.43%	91.89%	90.69%	90.75%	81.76%	82.73%	85.02%	89.33%	94.38%	88.73%	89.38%	78.44%	93.53%	89.60%	81.02%	64.87%	87.61%									
17	Собчак Ксения Анатольевна	68	6	1	10	3	6	6	14	3	0	0	2	1	0	0	0	0	5	0	0	1	2	3	0	0	0	0	0	2	3									
		0.48%	0.69%	0.12%	1.13%	0.36%	0.82%	0.56%	1.25%	0.43%	0.00%	0.00%	0.95%	0.28%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.33%	1.25%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.39%									
18	Сурайкин Максим Александрович	77	1	11	4	11	8	6	3	7	1	0	1	1	0	1	0	1	2	3	0	2	1	2	0	1	0	5	1	0	4									
		0.54%	0.12%	1.37%	0.45%	1.31%	1.09%	0.56%	0.27%	1.00%	0.65%	0.00%	0.48%	0.28%	0.00%	0.54%	0.00%	0.36%	0.39%	0.36%	0.00%	0.67%	0.63%	0.56%	0.00%	0.27%	0.00%	1.24%	0.17%	0.00%	0.52%									
19	Титов Борис Юрьевич	41	0	6	3	2	4	6	6	0	2	0	1	2	0	0	2	2	0	2	0	0	0	1	0	0	0	0	0	1	1									
		0.29%	0.00%	0.75%	0.34%	0.24%	0.55%	0.56%	0.54%	0.00%	1.30%	0.00%	0.48%	0.56%	0.00%	0.00%	0.32%	0.71%	0.00%	0.24%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.13%									
20	Явлинский Григорий Алексеевич	24	0	2	2	4	2	1	4	1	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	0									
		0.17%	0.00%	0.25%	0.23%	0.48%	0.27%	0.09%	0.36%	0.14%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.16%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
