Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Камешкирская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816					
1	"Число избирателей, внесенных в список"	11344	709	79	154	329	387	252	89	312	426	361	474	151	733	797	807	1577	947	904	403	164	181	313	727	68					
2	Число полученных избирательных бюллетеней	11485	707	82	153	331	389	253	92	311	435	363	476	156	744	796	822	1594	946	944	405	167	180	312	755	72					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8723	671	79	153	226	315	236	66	263	381	329	410	134	583	776	414	938	623	663	335	134	116	246	574	58					
5	"Число избирательных бюллетеней, выданных вне помещения"	889	10	0	0	54	47	0	11	35	18	8	25	13	96	11	96	87	83	36	47	23	46	25	109	9					
6	Число погашенных избирательных бюллетеней	1873	26	3	0	51	27	17	15	13	36	26	41	9	65	9	312	569	240	245	23	10	18	41	72	5					
7	Число избирательных бюллетеней в переносных ящиках	889	10	0	0	54	47	0	11	35	18	8	25	13	96	11	96	87	83	36	47	23	46	25	109	9					
8	Число бюллетеней в стационарных ящиках для голосования	8722	671	79	153	226	315	236	66	262	381	329	410	134	583	776	414	938	623	663	335	134	116	246	574	58					
9	Число недействительных избирательных бюллетеней	133	17	0	5	3	2	2	0	3	6	2	1	0	1	48	6	9	11	5	1	0	0	1	10	0					
10	Число действительных избирательных бюллетеней	9478	664	79	148	277	360	234	77	294	393	335	434	147	678	739	504	1016	695	694	381	157	162	270	673	67					
11	Число полученных открепительных  удостоверений	165	9	2	3	4	5	3	2	4	6	5	6	2	10	11	13	30	13	13	5	2	2	4	10	1					
12	Число выданных открепительных удостоверений	71	6	0	0	1	0	1	0	2	0	0	0	2	10	1	7	16	8	11	3	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	1	0	0	0	1	1	0	1	0	2	0	0	1	2	1	9	2	2	1	0	5	0	3	1					
14	Число неиспользованных открепительных удостоверений	94	3	2	3	3	5	2	2	2	6	5	6	0	0	10	6	14	5	2	2	2	2	4	7	1					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	179	2	0	0	5	9	3	1	6	2	4	8	6	16	2	14	26	20	26	12	1	2	6	8	0					
		1.86%	0.29%	0.00%	0.00%	1.79%	2.49%	1.27%	1.30%	2.02%	0.50%	1.19%	1.84%	4.08%	2.36%	0.25%	2.75%	2.54%	2.83%	3.72%	3.14%	0.64%	1.23%	2.21%	1.17%	0.00%					
19	. Малышкин Олег Александрович	207	0	0	0	5	12	5	2	7	5	5	2	1	16	16	13	26	26	28	8	4	4	12	10	0					
		2.15%	0.00%	0.00%	0.00%	1.79%	3.31%	2.12%	2.60%	2.36%	1.25%	1.48%	0.46%	0.68%	2.36%	2.03%	2.55%	2.54%	3.68%	4.01%	2.09%	2.55%	2.47%	4.43%	1.46%	0.00%					
20	. Миронов Сергей Михайлович	44	1	0	0	5	3	1	0	1	0	0	1	1	2	0	2	14	6	0	1	1	0	1	4	0					
		0.46%	0.15%	0.00%	0.00%	1.79%	0.83%	0.42%	0.00%	0.34%	0.00%	0.00%	0.23%	0.68%	0.29%	0.00%	0.39%	1.37%	0.85%	0.00%	0.26%	0.64%	0.00%	0.37%	0.59%	0.00%					
21	. Путин Владимир Владимирович	6917	582	73	119	153	270	157	58	215	283	245	359	118	522	581	365	661	469	453	246	119	112	178	524	55					
		71.97%	85.46%	92.41%	77.78%	54.64%	74.59%	66.53%	75.32%	72.39%	70.93%	72.70%	82.53%	80.27%	76.88%	73.82%	71.57%	64.49%	66.43%	64.81%	64.40%	75.80%	69.14%	65.68%	76.72%	82.09%					
22	. Хакамада Ирина Муцуовна	131	3	3	2	3	2	2	2	8	6	3	2	2	7	5	6	33	11	11	6	0	2	1	11	0					
		1.36%	0.44%	3.80%	1.31%	1.07%	0.55%	0.85%	2.60%	2.69%	1.50%	0.89%	0.46%	1.36%	1.03%	0.64%	1.18%	3.22%	1.56%	1.57%	1.57%	0.00%	1.23%	0.37%	1.61%	0.00%					
23	. Харитонов Николай Михайлович	1868	73	3	27	100	59	61	14	55	94	78	59	19	104	131	90	234	148	164	102	31	42	57	111	12					
		19.44%	10.72%	3.80%	17.65%	35.71%	16.30%	25.85%	18.18%	18.52%	23.56%	23.15%	13.56%	12.93%	15.32%	16.65%	17.65%	22.83%	20.96%	23.46%	26.70%	19.75%	25.93%	21.03%	16.25%	17.91%					
																															
24	Против всех	132	3	0	0	6	5	5	0	2	3	0	3	0	11	4	14	22	15	12	6	1	0	15	5	0					
		1.37%	0.44%	0.00%	0.00%	2.14%	1.38%	2.12%	0.00%	0.67%	0.75%	0.00%	0.69%	0.00%	1.62%	0.51%	2.75%	2.15%	2.12%	1.72%	1.57%	0.64%	0.00%	5.54%	0.73%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
