Выборы Президента Российской Федерации																																																	
Дата голосования: 18.03.2018																																																	
																																																	
Наименование Избирательной комиссии:    Кузнецкая																																																	
																																																	
Сводная таблица итогов голосования																																																	
																																																	
	Число участковых избирательных комиссий	38																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	38																																															
																																																	
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646									
1	"Число избирателей, включенных в список избирателей"	28318	117	399	209	116	547	70	267	1277	1315	1156	1140	392	376	531	1523	544	256	1369	1336	160	192	970	656	1405	410	403	203	779	999	481	148	130	1209	982	1694	1866	1561	1130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28690	110	400	200	110	560	70	270	1350	1300	1200	1200	390	390	550	1600	550	250	1400	1400	150	200	1000	650	1450	400	400	200	800	1000	500	150	140	1200	950	1600	1900	1600	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20001	66	323	152	74	415	64	184	977	1033	729	768	278	334	440	969	399	164	1171	1057	102	150	793	442	924	314	213	150	629	726	334	117	90	1005	880	961	856	1151	567									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2832	32	50	30	22	94	3	29	58	77	230	189	48	21	43	193	64	49	70	113	35	16	56	129	259	43	25	28	56	155	80	11	20	20	15	145	92	101	131									
6	Число погашенных избирательных бюллетеней	5856	12	27	18	14	51	3	57	315	190	241	243	63	35	67	438	87	37	159	230	13	34	151	79	267	43	162	22	115	119	86	22	30	175	55	494	952	348	402									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2832	32	50	30	22	94	3	29	58	77	230	189	48	21	43	193	64	49	70	113	35	16	56	129	259	43	25	28	56	155	80	11	20	20	15	145	92	101	131									
8	Число бюллетеней в стационарных ящиках для голосования	20000	66	322	152	74	415	64	184	977	1033	729	768	278	334	440	969	399	164	1171	1057	102	150	793	442	924	314	213	150	629	726	334	117	90	1005	880	961	856	1151	567									
9	Число недействительных избирательных бюллетеней	104	0	1	0	1	1	0	1	7	11	2	8	1	0	0	7	1	0	9	0	0	0	4	1	4	0	0	1	1	10	2	0	1	0	0	9	10	11	0									
10	Число действительных избирательных бюллетеней	22728	98	371	182	95	508	67	212	1028	1099	957	949	325	355	483	1155	462	213	1232	1170	137	166	845	570	1179	357	238	177	684	871	412	128	109	1025	895	1097	938	1241	698									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
13	Бабурин Сергей Николаевич	101	0	0	0	0	3	1	0	1	2	3	9	5	2	0	8	3	0	2	6	0	0	3	3	4	4	0	1	3	8	2	2	0	2	0	5	5	9	5									
		0.44%	0.00%	0.00%	0.00%	0.00%	0.59%	1.49%	0.00%	0.10%	0.18%	0.31%	0.94%	1.53%	0.56%	0.00%	0.69%	0.65%	0.00%	0.16%	0.51%	0.00%	0.00%	0.35%	0.53%	0.34%	1.12%	0.00%	0.56%	0.44%	0.91%	0.48%	1.56%	0.00%	0.20%	0.00%	0.45%	0.53%	0.72%	0.72%									
14	Грудинин Павел Николаевич	1952	8	15	8	7	43	0	11	71	90	91	85	24	29	14	125	53	20	72	191	10	3	62	35	96	20	36	8	104	76	24	14	14	67	59	114	113	81	59									
		8.55%	8.16%	4.03%	4.40%	7.29%	8.45%	0.00%	5.16%	6.86%	8.11%	9.49%	8.88%	7.36%	8.17%	2.90%	10.76%	11.45%	9.39%	5.80%	16.32%	7.30%	1.81%	7.30%	6.13%	8.11%	5.60%	15.13%	4.49%	15.18%	8.63%	5.80%	10.94%	12.73%	6.54%	6.59%	10.31%	11.92%	6.47%	8.45%									
15	Жириновский Владимир Вольфович	1121	5	18	24	4	37	3	17	42	56	51	30	20	13	28	53	41	4	30	60	7	22	51	11	56	16	23	7	50	47	8	6	12	38	14	36	55	71	55									
		4.91%	5.10%	4.84%	13.19%	4.17%	7.27%	4.48%	7.98%	4.06%	5.05%	5.32%	3.13%	6.13%	3.66%	5.80%	4.56%	8.86%	1.88%	2.42%	5.13%	5.11%	13.25%	6.01%	1.93%	4.73%	4.48%	9.66%	3.93%	7.30%	5.33%	1.93%	4.69%	10.91%	3.71%	1.56%	3.25%	5.80%	5.67%	7.88%									
16	Путин Владимир Владимирович	19120	84	335	148	79	410	63	182	897	940	795	805	271	296	432	947	357	187	1117	885	111	138	722	518	1002	311	174	159	509	716	376	102	80	902	809	911	736	1052	562									
		83.74%	85.71%	90.05%	81.32%	82.29%	80.55%	94.03%	85.45%	86.67%	84.68%	82.90%	84.12%	83.13%	83.38%	89.44%	81.50%	77.11%	87.79%	90.01%	75.64%	81.02%	83.13%	85.04%	90.72%	84.70%	87.11%	73.11%	89.33%	74.31%	81.27%	90.82%	79.69%	72.73%	88.00%	90.39%	82.37%	77.64%	84.03%	80.52%									
17	Собчак Ксения Анатольевна	123	0	1	2	1	1	0	0	9	2	4	7	0	0	1	3	1	0	4	13	3	2	2	1	5	2	2	1	2	6	0	0	3	7	5	12	8	10	3									
		0.54%	0.00%	0.27%	1.10%	1.04%	0.20%	0.00%	0.00%	0.87%	0.18%	0.42%	0.73%	0.00%	0.00%	0.21%	0.26%	0.22%	0.00%	0.32%	1.11%	2.19%	1.20%	0.24%	0.18%	0.42%	0.56%	0.84%	0.56%	0.29%	0.68%	0.00%	0.00%	2.73%	0.68%	0.56%	1.08%	0.84%	0.80%	0.43%									
18	Сурайкин Максим Александрович	191	0	2	0	3	11	0	1	6	4	10	9	4	9	3	15	2	1	4	8	1	0	2	1	9	3	3	1	9	10	2	2	0	7	8	14	11	8	8									
		0.84%	0.00%	0.54%	0.00%	3.13%	2.16%	0.00%	0.47%	0.58%	0.36%	1.04%	0.94%	1.23%	2.54%	0.62%	1.29%	0.43%	0.47%	0.32%	0.68%	0.73%	0.00%	0.24%	0.18%	0.76%	0.84%	1.26%	0.56%	1.31%	1.14%	0.48%	1.56%	0.00%	0.68%	0.89%	1.27%	1.16%	0.64%	1.15%									
19	Титов Борис Юрьевич	71	0	0	0	0	2	0	1	0	2	2	2	1	5	2	3	4	1	2	7	0	1	3	0	4	1	0	0	4	5	0	2	0	2	0	3	4	4	4									
		0.31%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.47%	0.00%	0.18%	0.21%	0.21%	0.31%	1.41%	0.41%	0.26%	0.86%	0.47%	0.16%	0.60%	0.00%	0.60%	0.35%	0.00%	0.34%	0.28%	0.00%	0.00%	0.58%	0.57%	0.00%	1.56%	0.00%	0.20%	0.00%	0.27%	0.42%	0.32%	0.57%									
20	Явлинский Григорий Алексеевич	49	1	0	0	1	1	0	0	2	3	1	2	0	1	3	1	1	0	1	0	5	0	0	1	3	0	0	0	3	3	0	0	0	0	0	2	6	6	2									
		0.21%	1.02%	0.00%	0.00%	1.04%	0.20%	0.00%	0.00%	0.19%	0.27%	0.10%	0.21%	0.00%	0.28%	0.62%	0.09%	0.22%	0.00%	0.08%	0.00%	3.65%	0.00%	0.00%	0.18%	0.25%	0.00%	0.00%	0.00%	0.44%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.63%	0.48%	0.29%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
