Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Пензенская 																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №557	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964									
1	"Число избирателей, включенных в список избирателей"	50757	2772	2341	1319	494	238	1928	2243	322	134	664	1146	517	713	1270	1938	910	926	597	166	501	141	2739	2251	767	2173	1222	1180	461	316	266	329	135	481	157	419	428	388	1122	397	2192	2760	2051	601	211	388	309	334	286	183	943	395	1080	1243	1270									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49412	2388	2051	1335	436	237	1951	2119	322	138	670	1169	530	749	1237	1977	947	948	612	143	505	141	2612	2139	798	2027	1215	1211	459	329	273	352	130	476	160	430	443	403	1113	390	1985	2517	1986	599	199	381	316	339	282	187	963	402	1090	1292	1309									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36099	1914	1606	1083	394	174	1707	1255	188	71	493	813	450	532	863	1692	810	763	268	112	446	113	1541	1182	646	937	975	600	395	262	232	253	81	413	131	285	376	341	801	339	1842	2211	1394	483	141	289	215	254	234	131	807	304	628	828	801									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5698	470	220	125	41	57	86	43	24	13	105	216	38	155	179	149	63	95	56	30	19	24	85	138	57	475	125	349	38	32	13	37	46	32	12	76	29	27	198	16	50	300	355	60	44	41	68	69	23	21	93	46	320	109	106									
6	Число погашенных избирательных бюллетеней	7615	4	225	127	1	6	158	821	110	54	72	140	42	62	195	136	74	90	288	1	40	4	986	819	95	615	115	262	26	35	28	62	3	31	17	69	38	35	114	35	93	6	237	56	14	51	33	16	25	35	63	52	142	355	402									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5698	470	220	125	41	57	86	43	24	13	105	216	38	155	179	149	63	95	56	30	19	24	85	138	57	475	125	349	38	32	13	37	46	32	12	76	29	27	198	16	50	300	355	60	44	41	68	69	23	21	93	46	320	109	106									
8	Число бюллетеней в стационарных ящиках для голосования	36099	1914	1606	1083	394	174	1707	1255	188	71	493	813	450	532	863	1692	810	763	268	112	446	113	1541	1182	646	937	975	600	395	262	232	253	81	413	131	285	376	341	801	339	1842	2211	1394	483	141	289	215	254	234	131	807	304	628	828	801									
9	Число недействительных избирательных бюллетеней	184	0	0	8	1	3	11	4	3	2	4	0	2	0	5	18	3	5	3	0	0	0	0	9	4	14	3	7	4	1	1	4	0	3	0	0	0	1	8	0	16	0	2	0	0	0	0	0	0	0	12	0	4	10	9									
10	Число действительных избирательных бюллетеней	41613	2384	1826	1200	434	228	1782	1294	209	82	594	1029	486	687	1037	1823	870	853	321	142	465	137	1626	1311	699	1398	1097	942	429	293	244	286	127	442	143	361	405	367	991	355	1876	2511	1747	543	185	330	283	323	257	152	888	350	944	927	898									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
13	Бабурин Сергей Николаевич	177	12	3	7	0	0	6	7	0	1	0	4	3	6	4	7	3	1	0	0	0	0	8	5	2	8	9	13	4	2	0	2	0	0	0	0	2	1	4	3	5	8	6	4	0	1	1	0	0	1	5	0	5	11	3									
