Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Березовская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №401	УИК №402	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №442					
1	"Число избирателей, внесенных в список"	12951	833	148	955	1792	1801	322	220	255	112	159	94	227	469	94	73	377	82	133	135	207	142	213	307	112	101	358	183	143	140	445	207	226	164	256	190	285	101	132	346	412					
2	Число полученных избирательных бюллетеней	11710	705	148	850	1580	1595	290	195	230	110	159	94	200	415	91	74	345	83	135	133	185	136	195	270	116	104	325	182	137	140	380	201	200	165	230	177	255	101	124	285	370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8783	536	114	607	1148	1264	221	127	186	68	129	68	161	271	79	67	303	69	99	76	115	98	170	199	107	70	267	163	117	85	276	150	154	93	180	150	185	71	83	197	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	1336	66	16	60	71	61	48	42	29	32	7	10	20	85	0	2	25	9	24	30	47	23	20	66	4	15	56	7	8	13	81	31	12	39	33	21	61	22	25	75	40					
6	Число погашенных избирательных бюллетеней	1591	103	18	183	361	270	21	26	15	10	23	16	19	59	12	5	17	5	12	27	23	15	5	5	5	19	2	12	12	42	23	20	34	33	17	6	9	8	16	13	70					
7	Число избирательных бюллетеней в переносных ящиках	1336	66	16	60	71	61	48	42	29	32	7	10	20	85	0	2	25	9	24	30	47	23	20	66	4	15	56	7	8	13	81	31	12	39	33	21	61	22	25	75	40					
8	Число бюллетеней в стационарных ящиках для голосования	8783	536	114	607	1148	1264	221	127	186	68	129	68	161	271	79	67	303	69	99	76	115	98	170	199	107	70	267	163	117	85	276	150	154	93	180	150	185	71	83	197	260					
9	Число недействительных избирательных бюллетеней	54	6	0	0	6	4	2	4	2	0	0	2	2	0	0	0	1	0	0	0	2	1	0	1	1	1	4	0	3	0	0	0	1	0	3	1	2	0	3	0	2					
10	Число действительных избирательных бюллетеней	10065	596	130	667	1213	1321	267	165	213	100	136	76	179	356	79	69	327	78	123	106	160	120	190	264	110	84	319	170	122	98	357	181	165	132	210	170	244	93	105	272	298					
11	Число полученных открепительных  удостоверений	294	15	4	14	33	40	4	4	8	3	5	3	5	7	2	2	17	2	4	2	2	8	4	13	7	3	8	2	2	2	14	7	6	2	6	3	12	2	3	8	6					
12	Число выданных открепительных удостоверений	203	5	3	14	27	29	4	1	5	0	2	0	3	0	0	2	17	2	3	2	1	5	3	9	5	2	6	2	0	0	14	4	4	2	2	0	8	1	2	8	6					
