Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Карагайская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326					
1	"Число избирателей, внесенных в список"	17185	298	159	1629	193	377	445	280	1010	247	405	1413	1521	1494	500	179	1170	1098	890	561	647	615	330	853	193	438	240					
2	Число полученных избирательных бюллетеней	17800	300	150	1780	180	400	450	270	1000	250	420	1450	1450	1500	500	200	1250	1200	950	600	650	620	320	920	230	500	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8456	156	94	904	89	206	135	125	472	81	144	827	842	711	290	144	594	579	280	190	216	347	196	345	112	233	144					
5	"Число избирательных бюллетеней, выданных вне помещения"	2766	48	44	65	20	110	175	53	167	79	120	61	97	180	68	17	34	32	313	111	247	146	73	255	45	159	47					
6	Число погашенных избирательных бюллетеней	6578	96	12	811	71	84	140	92	361	90	156	562	511	609	142	39	622	589	357	299	187	127	51	320	73	108	69					
7	Число избирательных бюллетеней в переносных ящиках	2766	48	44	65	20	110	175	53	167	79	120	61	97	180	68	17	34	32	313	111	247	146	73	255	45	159	47					
8	Число бюллетеней в стационарных ящиках для голосования	8456	156	94	904	89	206	135	125	472	81	144	827	842	711	290	144	594	579	280	190	216	347	196	345	112	233	144					
9	Число недействительных избирательных бюллетеней	85	8	1	8	0	0	1	3	3	2	5	6	10	5	3	0	4	0	5	2	1	3	2	10	1	2	0					
10	Число действительных избирательных бюллетеней	11137	196	137	961	109	316	309	175	636	158	259	882	929	886	355	161	624	611	588	299	462	490	267	590	156	390	191					
11	Число полученных открепительных  удостоверений	274	5	5	25	5	5	5	10	10	5	5	15	15	15	10	10	15	20	15	5	24	15	5	10	10	5	5					
12	Число выданных открепительных удостоверений	177	2	0	23	1	5	3	5	3	2	3	9	8	6	5	6	12	20	15	1	14	10	2	7	6	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	0	1	8	1	2	0	4	2	0	4	3	10	6	3	4	7	4	5	3	2	6	2	5	1	1	0					
14	Число неиспользованных открепительных удостоверений	97	3	5	2	4	0	2	5	7	3	2	6	7	9	5	4	3	0	0	4	10	5	3	3	4	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	221	3	2	44	0	4	8	0	4	0	5	17	29	14	5	3	11	15	5	6	9	10	4	5	2	2	14					
		1.97%	1.47%	1.45%	4.54%	0.00%	1.27%	2.58%	0.00%	0.63%	0.00%	1.89%	1.91%	3.09%	1.57%	1.40%	1.86%	1.75%	2.45%	0.84%	1.99%	1.94%	2.03%	1.49%	0.83%	1.27%	0.51%	7.33%					
19	. Малышкин Олег Александрович	279	3	3	22	4	4	9	9	19	5	8	29	20	19	9	19	26	9	8	8	12	8	5	10	3	4	4					
		2.49%	1.47%	2.17%	2.27%	3.67%	1.27%	2.90%	5.06%	2.97%	3.12%	3.03%	3.27%	2.13%	2.13%	2.51%	11.80%	4.14%	1.47%	1.35%	2.66%	2.59%	1.62%	1.86%	1.67%	1.91%	1.02%	2.09%					
20	. Миронов Сергей Михайлович	103	1	1	6	0	2	3	1	8	1	3	6	12	8	3	1	3	2	4	4	8	3	6	6	4	5	2					
		0.92%	0.49%	0.72%	0.62%	0.00%	0.63%	0.97%	0.56%	1.25%	0.62%	1.14%	0.68%	1.28%	0.90%	0.84%	0.62%	0.48%	0.33%	0.67%	1.33%	1.73%	0.61%	2.23%	1.00%	2.55%	1.28%	1.05%					
21	. Путин Владимир Владимирович	8904	156	109	721	92	289	237	147	533	131	213	678	711	679	283	110	467	480	509	257	379	421	207	485	129	347	134					
		79.34%	76.47%	78.99%	74.41%	84.40%	91.46%	76.45%	82.58%	83.41%	81.88%	80.68%	76.35%	75.72%	76.21%	79.05%	68.32%	74.36%	78.56%	85.83%	85.38%	81.86%	85.40%	76.95%	80.83%	82.17%	88.52%	70.16%					
22	. Хакамада Ирина Муцуовна	294	5	1	24	2	3	10	4	19	5	6	29	40	32	10	4	26	23	9	1	10	7	2	13	4	4	1					
