Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Куединская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841					
1	"Число избирателей, внесенных в список"	21819	1062	1019	1026	1104	685	327	350	210	434	462	369	141	382	151	463	475	686	145	118	1073	198	434	291	393	931	465	672	127	615	1289	272	304	547	284	323	681	185	355	1125	970	676					
2	Число полученных избирательных бюллетеней	21700	1000	1000	1000	1000	690	340	360	230	450	450	380	150	380	180	480	500	680	170	130	1000	190	440	250	410	900	450	700	120	600	1300	300	320	550	300	350	650	190	360	1100	1000	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	1045	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	65	158	0	0	0	0	74	0	0	0	0	52	0	107	70	74	0	68	0	50	101	0	130	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11891	576	494	509	515	324	156	173	123	235	264	148	86	186	109	308	202	321	107	88	662	146	249	179	321	556	315	381	85	332	728	96	232	312	201	190	329	114	176	519	471	373					
5	"Число избирательных бюллетеней, выданных вне помещения"	1928	24	44	41	76	75	85	39	48	82	64	42	21	117	22	64	90	51	17	18	99	7	19	29	17	85	23	38	8	72	78	69	33	31	18	15	77	36	24	52	39	39					
6	Число погашенных избирательных бюллетеней	6836	400	462	450	409	291	99	148	59	133	122	94	43	77	49	108	143	150	46	24	239	37	98	42	72	259	112	229	27	89	424	61	55	139	81	95	143	40	30	529	490	238					
7	Число избирательных бюллетеней в переносных ящиках	2973	24	44	41	76	75	85	39	48	82	64	138	21	117	22	64	155	209	17	18	99	7	93	29	17	85	23	90	8	179	148	143	33	99	18	65	178	36	154	52	39	39					
8	Число бюллетеней в стационарных ящиках для голосования	11888	576	494	509	515	324	156	173	123	235	263	148	86	186	109	308	202	321	107	88	662	146	249	179	321	556	315	381	85	332	728	96	232	312	201	188	329	114	176	519	471	373					
9	Число недействительных избирательных бюллетеней	149	5	6	2	6	3	1	2	1	3	1	2	1	3	0	8	8	3	1	1	9	2	11	3	4	5	2	10	0	4	11	1	4	5	1	4	6	5	1	2	0	2					
10	Число действительных избирательных бюллетеней	14712	595	532	548	585	396	240	210	170	314	326	284	106	300	131	364	349	527	123	105	752	151	331	205	334	636	336	461	93	507	865	238	261	406	218	249	501	145	329	569	510	410					
11	Число полученных открепительных  удостоверений	294	14	10	16	10	8	3	3	3	5	7	5	3	6	4	14	5	7	5	3	12	2	5	7	5	8	10	7	2	6	10	3	5	17	4	4	8	2	7	16	10	13					
12	Число выданных открепительных удостоверений	196	9	6	13	6	4	1	3	0	2	5	4	1	5	1	11	0	2	3	3	10	0	5	6	0	5	10	2	0	5	7	1	4	17	4	3	2	1	4	13	9	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	3	11	7	5	1	3	2	2	2	21	1	2	4	1	1	16	3	0	0	4	3	1	2	1	1	1	3	0	1	1	1	2	6	3	2	3	1	1	3	0	1					
14	Число неиспользованных открепительных удостоверений	98	5	4	3	4	4	2	0	3	3	2	1	2	1	3	3	5	5	2	0	2	2	0	1	5	3	0	5	2	1	3	2	1	0	0	1	6	1	3	3	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3					
