Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Ординская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321	УИК  2322	УИК  2323					
1	"Число избирателей, внесенных в список"	11924	1425	1270	1099	741	260	866	248	374	325	90	753	276	144	1175	158	712	99	733	100	388	275	122	291					
2	Число полученных избирательных бюллетеней	12573	1460	1305	1115	817	295	932	265	410	360	98	785	295	169	1250	184	725	100	750	100	424	280	121	333					
3	"Число избирательных бюллетеней, выданных  досрочно"	378	0	46	0	122	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	34					
4	"Число избирательных бюллетеней, выданных в день голосования"	7224	904	676	650	402	188	368	171	236	215	51	507	184	71	699	113	533	57	455	64	248	188	62	182					
5	"Число избирательных бюллетеней, выданных вне помещения"	1156	89	93	76	56	33	186	19	62	24	19	41	21	40	139	19	21	11	68	16	28	26	46	23					
6	Число погашенных избирательных бюллетеней	3815	467	490	389	237	74	263	75	112	121	28	237	90	58	412	52	171	32	227	20	87	66	13	94					
7	Число избирательных бюллетеней в переносных ящиках	1534	89	139	76	178	33	301	19	62	24	19	41	21	40	139	19	21	11	68	16	89	26	46	57					
8	Число бюллетеней в стационарных ящиках для голосования	7224	904	676	650	402	188	368	171	236	215	51	507	184	71	699	113	533	57	455	64	248	188	62	182					
9	Число недействительных избирательных бюллетеней	72	5	4	5	6	3	10	0	2	2	1	13	2	2	6	0	2	0	1	0	3	1	0	4					
10	Число действительных избирательных бюллетеней	8686	988	811	721	574	218	659	190	296	237	69	535	203	109	832	132	552	68	522	80	334	213	108	235					
11	Число полученных открепительных  удостоверений	249	20	20	15	15	13	22	2	10	5	2	15	20	5	20	7	10	3	17	1	15	5	2	5					
12	Число выданных открепительных удостоверений	203	18	10	10	10	13	20	2	9	3	0	11	20	5	20	6	10	2	15	0	12	2	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	13	11	8	3	1	4	3	1	1	0	2	6	2	4	1	13	0	2	1	1	4	1	1					
14	Число неиспользованных открепительных удостоверений	46	2	10	5	5	0	2	0	1	2	2	4	0	0	0	1	0	1	2	1	3	3	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	201	37	21	21	11	4	6	5	7	7	1	15	5	4	15	7	10	4	6	2	5	6	0	2					
		2.30%	3.73%	2.58%	2.89%	1.90%	1.81%	0.90%	2.63%	2.35%	2.93%	1.43%	2.74%	2.44%	3.60%	1.79%	5.30%	1.81%	5.88%	1.15%	2.50%	1.48%	2.80%	0.00%	0.84%					
19	. Малышкин Олег Александрович	307	21	27	22	24	10	33	8	16	2	2	18	5	5	13	4	13	8	16	22	16	6	3	13					
		3.51%	2.11%	3.31%	3.03%	4.14%	4.52%	4.93%	4.21%	5.37%	0.84%	2.86%	3.28%	2.44%	4.50%	1.55%	3.03%	2.35%	11.76%	3.06%	27.50%	4.75%	2.80%	2.78%	5.44%					
20	. Миронов Сергей Михайлович	78	14	9	5	4	1	5	3	2	2	0	6	1	1	7	1	7	2	2	2	3	0	0	1					
		0.89%	1.41%	1.10%	0.69%	0.69%	0.45%	0.75%	1.58%	0.67%	0.84%	0.00%	1.09%	0.49%	0.90%	0.84%	0.76%	1.26%	2.94%	0.38%	2.50%	0.89%	0.00%	0.00%	0.42%					
21	. Путин Владимир Владимирович	6461	757	623	541	471	152	499	62	184	186	59	287	153	91	686	96	363	43	424	45	267	172	99	201					
		73.77%	76.23%	76.44%	74.52%	81.21%	68.78%	74.59%	32.63%	61.74%	77.82%	84.29%	52.37%	74.63%	81.98%	81.86%	72.73%	65.52%	63.24%	81.07%	56.25%	79.23%	80.37%	91.67%	84.10%					
22	. Хакамада Ирина Муцуовна	225	33	32	22	14	12	9	2	2	12	0	19	8	0	13	3	14	3	16	0	4	4	0	3					
		2.57%	3.32%	3.93%	3.03%	2.41%	5.43%	1.35%	1.05%	0.67%	5.02%	0.00%	3.47%	3.90%	0.00%	1.55%	2.27%	2.53%	4.41%	3.06%	0.00%	1.19%	1.87%	0.00%	1.26%					
23	. Харитонов Николай Михайлович	1230	93	85	85	46	34	93	106	82	23	7	181	18	7	84	20	138	5	48	8	28	23	3	13					
		14.04%	9.37%	10.43%	11.71%	7.93%	15.38%	13.90%	55.79%	27.52%	9.62%	10.00%	33.03%	8.78%	6.31%	10.02%	15.15%	24.91%	7.35%	9.18%	10.00%	8.31%	10.75%	2.78%	5.44%					
																														
24	Против всех	184	33	14	25	4	5	14	4	3	5	0	9	13	1	14	1	7	3	10	1	11	2	3	2					
		2.10%	3.32%	1.72%	3.44%	0.69%	2.26%	2.09%	2.11%	1.01%	2.09%	0.00%	1.64%	6.34%	0.90%	1.67%	0.76%	1.26%	4.41%	1.91%	1.25%	3.26%	0.93%	2.78%	0.84%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
