Выборы Президента Российской Федерации																																																			
Дата голосования: 04.03.2012																																																			
																																																			
Наименование Избирательной комиссии:    Краснокамская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	40																																																	
																																																			
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740									
1	Число избирателей, включенных в список избирателей	56845	777	2374	2038	1561	1285	1719	1458	1782	1929	1696	2045	2115	1597	1769	1713	1275	1015	1706	1805	2460	1060	1980	2481	1279	490	1845	1988	2180	2274	457	540	956	325	364	184	1134	1273	125	405	1386									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	54540	750	2300	2000	1500	1200	1700	1400	1700	1900	1600	1900	2000	1600	1700	1700	1200	1000	1600	1700	2300	1000	1900	2400	1200	450	1800	2000	2100	2200	450	500	900	300	350	170	1100	1200	120	350	1300									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	27793	316	1085	1122	799	708	1006	863	1068	1059	765	974	1082	904	933	939	618	369	830	951	1241	481	807	1115	501	144	876	776	1238	1181	163	208	412	150	141	72	445	564	63	177	647									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1581	19	23	31	25	29	23	27	29	35	50	209	24	30	39	57	35	37	51	40	26	18	63	39	5	8	74	118	38	39	23	33	41	31	27	12	34	79	13	16	31									
6	Число погашенных избирательных бюллетеней	25166	415	1192	847	676	463	671	510	603	806	785	717	894	666	728	704	547	594	719	709	1033	501	1030	1246	694	298	850	1106	824	980	264	259	447	119	182	86	621	557	44	157	622									
