Выборы Президента Российской Федерации																																																																
Дата голосования: 18.03.2018																																																																
																																																																
Наименование Избирательной комиссии:    Лысьвенская городская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																														
																																																																
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053									
1	"Число избирателей, включенных в список избирателей"	59448	1397	1395	1758	1071	1049	1137	1548	1243	1666	1528	1477	1693	1372	1785	1599	1413	1525	1834	1183	1467	1606	1682	1548	1602	1484	1669	1482	1377	1370	1983	274	580	749	211	322	250	596	354	191	1391	638	163	200	199	202	820	390	370	476	1491	1792	1323	1523									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52310	1200	1200	1600	900	900	900	1300	1000	1500	1400	1300	1500	1200	1600	1400	1200	1300	1600	1000	1300	1400	1500	1300	1500	1300	1500	1300	1200	1100	1700	250	500	650	180	300	220	600	330	180	1250	610	160	180	210	170	770	350	350	450	1300	1600	1200	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35679	843	887	1059	607	529	597	960	715	982	948	930	1013	843	1238	1024	803	1016	1237	723	953	1011	1036	933	872	832	1105	994	842	748	1154	137	323	388	107	185	118	314	164	95	679	330	97	114	106	70	468	216	181	225	983	1211	789	945									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2824	57	39	66	25	24	47	32	27	35	51	52	91	44	43	49	57	45	45	39	86	72	76	49	71	52	32	35	24	146	65	46	56	52	68	45	38	72	96	45	89	51	16	37	34	46	70	67	83	71	61	25	47	33									
6	Число погашенных избирательных бюллетеней	13807	300	274	475	268	347	256	308	258	483	401	318	396	313	319	327	340	239	318	238	261	317	388	318	557	416	363	271	334	206	481	67	121	210	5	70	64	214	70	40	482	229	47	29	70	54	232	67	86	154	256	364	364	422									
