Выборы Президента Российской Федерации																																																								
Дата голосования: 02.03.2008																																																								
																																																								
Наименование Избирательной комиссии:    Лысьвенская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
	Число участковых избирательных комиссий	49																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																						
																																																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049					
1	"Число избирателей, включенных в списки избирателей"	67023	1385	1499	1770	1117	1181	1201	1844	1091	1592	2391	1953	2617	2493	2548	1630	1896	2175	2634	1800	1844	2005	2127	1184	1256	2231	1683	1862	2903	2844	2527	459	570	736	220	441	369	668	534	216	1462	626	236	231	251	192	1082	480	427	540					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63610	1300	1400	1700	1050	1100	1100	1700	1050	1500	2200	1900	2500	2400	2400	1500	1800	2000	2500	1700	1700	1900	1950	1100	1150	2100	1550	1800	2700	2600	2400	420	530	700	190	410	350	640	500	210	1400	700	290	270	350	230	1050	500	500	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	25					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	32878	687	705	828	518	524	435	857	532	668	1130	957	1407	1351	1270	747	962	1263	1484	1049	940	1113	1162	559	592	910	897	978	1402	1266	1312	180	246	317	79	226	134	351	217	115	696	314	127	138	128	96	424	233	164	188					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2728	48	56	50	29	28	67	34	21	36	52	32	52	46	46	48	45	32	38	27	81	49	44	35	31	83	27	49	43	189	41	121	112	59	54	31	54	72	82	43	67	69	28	45	56	10	123	72	105	66					
6	Число погашенных избирательных бюллетеней	27930	565	639	822	503	548	598	809	497	796	1018	911	1041	1003	1084	705	793	705	978	624	679	738	744	506	527	1107	626	773	1255	1145	1047	119	172	324	57	153	162	217	152	52	637	317	135	87	166	124	503	195	231	341					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2802	48	56	50	29	28	67	34	21	36	52	32	52	46	46	48	45	32	38	27	81	49	44	35	31	83	27	49	43	189	41	121	112	59	54	31	54	72	131	43	67	69	28	45	56	10	123	72	105	91					
8	Число бюллетеней в стационарных ящиках для голосования	32812	687	705	778	518	524	435	856	532	668	1130	956	1407	1351	1270	746	962	1263	1484	1049	939	1113	1153	559	592	910	897	977	1402	1265	1311	180	246	317	79	226	134	351	217	115	696	314	127	138	128	96	424	233	164	188					
9	Число недействительных избирательных бюллетеней	478	7	13	13	3	6	4	12	6	6	19	8	14	14	24	8	11	21	27	16	16	18	22	5	7	20	15	10	19	32	25	8	2	6	1	5	1	3	6	1	7	5	1	4	0	1	3	2	0	1					
10	Число действительных избирательных бюллетеней	35136	728	748	815	544	546	498	878	547	698	1163	980	1445	1383	1292	786	996	1274	1495	1060	1004	1144	1175	589	616	973	909	1016	1426	1422	1327	293	356	370	132	252	187	420	342	157	756	378	154	179	184	105	544	303	269	278					
11	Число полученных открепительных  удостоверений	890	15	20	20	15	10	10	15	15	10	15	25	40	25	30	15	25	20	35	20	25	30	15	15	15	25	15	20	25	35	30	5	8	7	5	15	10	20	15	15	20	15	10	15	15	15	20	12	18	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	544	3	3	8	5	4	3	9	10	10	8	11	22	23	15	13	17	15	18	20	13	13	15	12	4	11	8	20	15	19	28	3	2	5	1	12	5	20	5	15	11	5	1	12	15	7	6	6	18	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	364	10	7	8	3	7	6	17	4	3	4	11	7	6	8	6	6	8	16	7	36	18	14	6	7	9	5	3	14	17	5	9	3	5	13	5	5	3	3	1	11	7	3	3	4	1	5	2	2	1					
14	Число неиспользованных открепительных удостоверений	346	12	17	12	10	6	7	6	5	0	7	14	18	2	15	2	8	5	17	0	12	17	0	3	11	14	7	0	10	16	2	2	6	2	4	3	5	0	10	0	9	10	9	3	0	8	14	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	105	2	3	8	5	5	2	2	1	2	2	2	4	1	4	6	2	1	5	5	1	5	2	0	1	4	3	2	4	5	3	0	4	2	0	1	0	0	0	0	4	0	0	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
