Выборы Президента Российской Федерации																																																	
Дата голосования: 18.03.2018																																																	
																																																	
Наименование Избирательной комиссии:    Нытвенская																																																	
																																																	
Сводная таблица итогов голосования																																																	
																																																	
	Число участковых избирательных комиссий	38																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	38																																															
																																																	
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138									
1	"Число избирателей, включенных в список избирателей"	34385	1122	1928	2118	1663	394	1814	166	1950	1034	1031	1211	561	183	951	225	567	165	819	1093	824	1571	1674	1576	1253	371	928	423	469	1521	963	302	1197	669	244	375	346	351	333									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29300	950	1600	1750	1350	350	1500	150	1600	900	850	1000	500	150	800	200	450	150	700	900	700	1400	1400	1350	1050	300	850	450	450	1250	850	300	1050	550	200	350	350	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19313	703	1193	1273	1020	216	1075	81	1152	567	551	649	264	119	483	128	302	114	409	527	374	900	1085	1026	677	203	607	244	271	667	445	139	651	336	110	203	175	184	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2191	52	63	95	81	13	67	28	79	47	63	63	61	12	52	18	37	11	72	72	55	33	59	36	25	8	40	73	76	136	153	37	136	74	41	69	68	49	37									
6	Число погашенных избирательных бюллетеней	7796	195	344	382	249	121	358	41	369	286	236	288	175	19	265	54	111	25	219	301	271	467	256	288	348	89	203	133	103	447	252	124	263	140	49	78	107	67	73									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2191	52	63	95	81	13	67	28	79	47	63	63	61	12	52	18	37	11	72	72	55	33	59	36	25	8	40	73	76	136	153	37	136	74	41	69	68	49	37									
8	Число бюллетеней в стационарных ящиках для голосования	19312	703	1193	1273	1020	216	1075	81	1151	567	551	649	264	119	483	128	302	114	409	527	374	900	1085	1026	677	203	607	244	271	667	445	139	651	336	110	203	175	184	190									
9	Число недействительных избирательных бюллетеней	250	12	12	17	18	3	23	1	13	11	8	6	2	4	9	1	2	1	4	8	5	12	11	9	7	3	6	4	6	7	4	0	9	3	0	1	2	4	2									
10	Число действительных избирательных бюллетеней	21253	743	1244	1351	1083	226	1119	108	1217	603	606	706	323	127	526	145	337	124	477	591	424	921	1133	1053	695	208	641	313	341	796	594	176	778	407	151	271	241	229	225									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
13	Бабурин Сергей Николаевич	141	8	7	13	7	0	8	1	19	7	2	3	3	0	2	0	5	1	1	2	2	6	1	9	5	2	2	2	1	3	4	0	5	4	0	0	0	0	6									
		0.66%	1.06%	0.56%	0.95%	0.64%	0.00%	0.70%	0.92%	1.54%	1.14%	0.33%	0.42%	0.92%	0.00%	0.37%	0.00%	1.47%	0.80%	0.21%	0.33%	0.47%	0.64%	0.09%	0.85%	0.71%	0.95%	0.31%	0.63%	0.29%	0.37%	0.67%	0.00%	0.64%	0.98%	0.00%	0.00%	0.00%	0.00%	2.64%									
14	Грудинин Павел Николаевич	2057	73	107	112	95	29	92	8	120	49	60	81	12	15	60	9	36	3	43	73	40	106	150	121	104	45	43	22	14	85	74	10	84	30	12	10	9	12	9									
		9.57%	9.67%	8.52%	8.19%	8.63%	12.66%	8.06%	7.34%	9.76%	7.98%	9.77%	11.38%	3.69%	11.45%	11.21%	6.16%	10.62%	2.40%	8.94%	12.19%	9.32%	11.36%	13.11%	11.39%	14.81%	21.33%	6.65%	6.94%	4.03%	10.59%	12.37%	5.68%	10.67%	7.32%	7.95%	3.68%	3.70%	5.15%	3.96%									
15	Жириновский Владимир Вольфович	1352	42	69	92	56	15	86	7	70	55	48	50	18	6	48	8	23	5	24	35	31	62	52	62	51	10	27	21	25	58	32	14	49	28	14	9	11	24	15									
		6.29%	5.56%	5.49%	6.73%	5.09%	6.55%	7.53%	6.42%	5.69%	8.96%	7.82%	7.02%	5.54%	4.58%	8.97%	5.48%	6.78%	4.00%	4.99%	5.84%	7.23%	6.65%	4.55%	5.84%	7.26%	4.74%	4.17%	6.62%	7.20%	7.22%	5.35%	7.95%	6.23%	6.83%	9.27%	3.31%	4.53%	10.30%	6.61%									
16	Путин Владимир Владимирович	16919	578	1015	1086	876	172	874	89	960	465	470	553	281	103	397	124	261	115	393	458	341	710	885	823	511	145	550	266	291	627	450	148	606	331	120	250	215	188	192									
		78.68%	76.56%	80.81%	79.39%	79.56%	75.11%	76.53%	81.65%	78.05%	75.73%	76.55%	77.67%	86.46%	78.63%	74.21%	84.93%	76.99%	92.00%	81.70%	76.46%	79.49%	76.10%	77.36%	77.50%	72.79%	68.72%	85.01%	83.91%	83.86%	78.08%	75.25%	84.09%	77.00%	80.73%	79.47%	91.91%	88.48%	80.69%	84.58%									
17	Собчак Ксения Анатольевна	286	19	20	16	23	1	18	1	16	13	11	11	3	1	5	0	3	0	5	8	3	10	17	16	8	2	11	0	5	8	11	1	8	4	1	1	2	3	1									
		1.33%	2.52%	1.59%	1.17%	2.09%	0.44%	1.58%	0.92%	1.30%	2.12%	1.79%	1.54%	0.92%	0.76%	0.93%	0.00%	0.88%	0.00%	1.04%	1.34%	0.70%	1.07%	1.49%	1.51%	1.14%	0.95%	1.70%	0.00%	1.44%	0.99%	1.84%	0.57%	1.02%	0.98%	0.66%	0.37%	0.82%	1.29%	0.44%									
18	Сурайкин Максим Александрович	166	5	7	15	5	2	16	0	8	5	5	4	1	1	2	2	4	0	6	4	3	3	7	8	7	0	2	1	2	9	12	3	9	2	4	0	1	1	0									
		0.77%	0.66%	0.56%	1.10%	0.45%	0.87%	1.40%	0.00%	0.65%	0.81%	0.81%	0.56%	0.31%	0.76%	0.37%	1.37%	1.18%	0.00%	1.25%	0.67%	0.70%	0.32%	0.61%	0.75%	0.99%	0.00%	0.31%	0.32%	0.58%	1.12%	2.01%	1.70%	1.14%	0.49%	2.65%	0.00%	0.41%	0.43%	0.00%									
19	Титов Борис Юрьевич	175	10	5	10	9	4	18	1	10	3	9	4	5	1	6	0	2	0	2	4	1	13	11	7	6	4	1	1	2	5	3	0	10	3	0	0	2	1	2									
		0.81%	1.32%	0.40%	0.73%	0.82%	1.75%	1.58%	0.92%	0.81%	0.49%	1.47%	0.56%	1.54%	0.76%	1.12%	0.00%	0.59%	0.00%	0.42%	0.67%	0.23%	1.39%	0.96%	0.66%	0.85%	1.90%	0.15%	0.32%	0.58%	0.62%	0.50%	0.00%	1.27%	0.73%	0.00%	0.00%	0.82%	0.43%	0.88%									
20	Явлинский Григорий Алексеевич	157	8	14	7	12	3	7	1	14	6	1	0	0	0	6	2	3	0	3	7	3	11	10	7	3	0	5	0	1	1	8	0	7	5	0	1	1	0	0									
		0.73%	1.06%	1.11%	0.51%	1.09%	1.31%	0.61%	0.92%	1.14%	0.98%	0.16%	0.00%	0.00%	0.00%	1.12%	1.37%	0.88%	0.00%	0.62%	1.17%	0.70%	1.18%	0.87%	0.66%	0.43%	0.00%	0.77%	0.00%	0.29%	0.12%	1.34%	0.00%	0.89%	1.22%	0.00%	0.37%	0.41%	0.00%	0.00%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
