Выборы Президента Российской Федерации																																																																											
Дата голосования: 04.03.2012																																																																											
																																																																											
Наименование Избирательной комиссии:    Пермь, Дзержинская																																																																											
																																																																											
Сводная таблица итогов голосования																																																																											
																																																																											
	Число участковых избирательных комиссий	64																																																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	64																																																																									
																																																																											
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864									
1	Число избирателей, включенных в список избирателей	122670	2458	2107	1971	2275	2045	1107	1598	1804	1665	1508	2062	1764	1497	1706	2473	1809	1332	1625	2061	1961	1582	1728	1617	2027	1735	2377	2283	2073	1805	2406	2254	1730	2386	2298	2723	2178	2149	2314	1867	2580	1941	2289	2158	2181	2865	2327	2613	1915	1870	1575	1925	1819	2437	2278	2200	229	121	393	1595	1998	2519	1838	2419	225									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	90200	1800	1500	1400	1600	1500	1000	1200	1300	1200	1100	1500	1300	1100	1200	1800	1300	1000	1200	1500	1400	1100	1300	1200	1500	1200	1700	1700	1500	1300	1700	1600	1300	1800	1600	2000	1600	1600	1700	1400	2000	1400	1600	1500	1600	2000	1600	2000	1400	1400	1200	1400	1300	1800	1700	1500	300	300	500	1200	1500	1800	1300	1700	500									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	67353	1466	1216	1238	1329	1115	626	878	806	906	867	933	994	808	921	1447	1055	740	912	1117	1146	688	934	880	1127	857	1172	1006	1195	982	1360	1330	1022	1398	1319	1506	1286	1146	1300	1106	1548	1117	1246	1088	1022	1789	1385	1414	1021	856	689	963	966	1255	1101	1179	218	121	364	778	1118	1504	881	1371	225									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1727	35	33	26	35	16	19	23	26	12	23	30	39	26	29	58	44	26	47	67	41	2	24	29	26	36	25	42	24	33	32	17	35	48	22	60	14	17	19	22	17	16	40	52	23	20	25	21	40	46	14	33	31	28	31	12	0	0	0	19	11	26	14	26	0									
6	Число погашенных избирательных бюллетеней	21120	299	251	136	236	369	355	299	468	282	210	537	267	266	250	295	201	234	241	316	213	410	342	291	347	307	503	652	281	285	308	253	243	354	259	434	300	437	381	272	435	267	314	360	555	191	190	565	339	498	497	404	303	517	568	309	82	179	136	403	371	270	405	303	275									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1727	35	33	26	35	16	19	23	26	12	23	30	39	26	29	58	44	26	47	67	41	2	24	29	26	36	25	42	24	33	32	17	35	48	22	60	14	17	19	22	17	16	40	52	23	20	25	21	40	46	14	33	31	28	31	12	0	0	0	19	11	26	14	26	0									
8	Число бюллетеней в стационарных ящиках для голосования	67292	1464	1215	1235	1329	1114	626	878	806	906	867	933	994	808	921	1442	1054	740	912	1114	1146	688	933	880	1117	857	1171	1005	1195	982	1360	1330	1022	1398	1317	1506	1285	1146	1299	1104	1548	1117	1246	1088	1022	1789	1362	1414	1021	856	689	963	966	1255	1101	1179	218	121	364	777	1118	1503	881	1370	225									
9	Число недействительных избирательных бюллетеней	1109	25	20	16	29	22	10	16	20	19	11	16	15	14	20	17	17	10	14	22	19	8	22	14	19	13	13	18	15	14	23	23	13	23	26	22	28	20	29	12	19	19	14	17	24	29	20	17	13	32	12	14	18	21	23	9	8	4	9	11	16	22	11	15	5									
10	Число действительных избирательных бюллетеней	67910	1474	1228	1245	1335	1108	635	885	812	899	879	947	1018	820	930	1483	1081	756	945	1159	1168	682	935	895	1124	880	1183	1029	1204	1001	1369	1324	1044	1423	1313	1544	1271	1143	1289	1114	1546	1114	1272	1123	1021	1780	1367	1418	1048	870	691	982	979	1262	1109	1182	210	117	355	785	1113	1507	884	1381	220									
11	Число полученных открепительных  удостоверений	2066	40	45	30	35	40	25	25	25	30	25	35	30	25	40	40	45	35	30	35	40	30	30	30	35	30	35	35	35	30	35	35	35	35	35	45	40	35	40	30	35	30	35	35	35	50	41	40	30	30	35	30	35	40	40	40	0	0	0	30	30	30	30	35	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1644	36	37	27	26	34	13	14	15	18	25	28	12	16	36	37	40	28	22	27	33	29	23	20	30	13	35	32	32	22	27	30	30	30	21	44	40	25	28	28	23	24	28	14	17	50	41	32	19	25	27	28	31	40	25	30	0	0	0	13	30	25	24	35	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1795	9	17	36	18	14	7	25	16	6	9	19	11	20	27	21	40	32	20	12	21	22	25	32	19	21	30	11	23	14	21	23	43	21	42	27	71	25	15	18	33	15	32	17	5	54	39	17	24	22	25	34	12	20	11	26	60	19	74	16	11	35	17	69	225									
14	Число неиспользованных открепительных удостоверений	422	4	8	3	9	6	12	11	10	12	0	7	18	9	4	3	5	7	8	8	7	1	7	10	5	17	0	3	3	8	8	5	5	5	14	1	0	10	12	2	12	6	7	21	18	0	0	8	11	5	8	2	4	0	15	10	0	0	0	17	0	5	6	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	20	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	Жириновский Владимир Вольфович	2788	62	56	52	45	50	20	33	43	44	45	50	38	29	35	38	30	44	29	36	33	32	31	49	45	37	62	49	47	35	48	44	29	52	43	63	49	33	40	36	58	42	47	50	45	66	67	61	52	51	30	65	40	49	62	75	11	8	13	41	51	57	47	50	14									
		4.04%	4.14%	4.49%	4.12%	3.30%	4.42%	3.10%	3.66%	5.17%	4.79%	5.06%	5.19%	3.68%	3.48%	3.68%	2.53%	2.73%	5.74%	3.02%	3.05%	2.78%	4.64%	3.24%	5.39%	3.94%	4.14%	5.18%	4.68%	3.86%	3.45%	3.45%	3.27%	2.74%	3.60%	3.21%	4.02%	3.77%	2.84%	3.03%	3.20%	3.71%	3.71%	3.65%	4.39%	4.31%	3.65%	4.83%	4.25%	4.90%	5.65%	4.27%	6.53%	4.01%	3.82%	5.48%	6.30%	5.05%	6.61%	3.57%	5.15%	4.52%	3.73%	5.25%	3.58%	6.22%									
20	Зюганов Геннадий Андреевич	11117	246	194	197	221	169	103	143	114	118	127	166	156	151	177	234	185	128	148	185	208	123	178	166	198	166	196	154	204	176	247	225	168	242	237	257	192	193	215	191	213	189	202	198	148	293	215	220	162	128	107	147	143	199	146	211	52	14	68	128	188	274	119	201	54									
		16.11%	16.41%	15.54%	15.62%	16.20%	14.96%	15.97%	15.87%	13.70%	12.85%	14.27%	17.24%	15.10%	18.11%	18.63%	15.60%	16.85%	16.71%	15.43%	15.66%	17.52%	17.83%	18.60%	18.26%	17.32%	18.59%	16.39%	14.71%	16.74%	17.34%	17.74%	16.70%	15.89%	16.74%	17.70%	16.41%	14.78%	16.60%	16.31%	16.96%	13.61%	16.68%	15.71%	17.37%	14.16%	16.20%	15.50%	15.33%	15.27%	14.19%	15.22%	14.76%	14.34%	15.51%	12.90%	17.72%	23.85%	11.57%	18.68%	16.08%	16.65%	17.92%	13.30%	14.40%	24.00%									
21	Миронов Сергей Михайлович	3349	72	70	66	68	51	35	57	44	39	49	27	49	48	50	81	53	43	48	62	56	38	48	48	67	46	65	62	59	53	58	63	54	69	55	90	64	55	65	61	67	52	60	55	61	69	48	60	43	27	34	51	55	63	57	50	7	5	19	40	60	72	30	66	10									
		4.85%	4.80%	5.61%	5.23%	4.99%	4.51%	5.43%	6.33%	5.29%	4.25%	5.51%	2.80%	4.74%	5.76%	5.26%	5.40%	4.83%	5.61%	5.01%	5.25%	4.72%	5.51%	5.02%	5.28%	5.86%	5.15%	5.43%	5.92%	4.84%	5.22%	4.17%	4.68%	5.11%	4.77%	4.11%	5.75%	4.93%	4.73%	4.93%	5.42%	4.28%	4.59%	4.67%	4.82%	5.84%	3.81%	3.46%	4.18%	4.05%	2.99%	4.84%	5.12%	5.52%	4.91%	5.04%	4.20%	3.21%	4.13%	5.22%	5.03%	5.31%	4.71%	3.35%	4.73%	4.44%									
22	Прохоров Михаил Дмитриевич	11553	238	202	237	276	256	95	150	169	156	166	140	213	120	178	342	291	145	177	249	241	205	193	140	221	130	171	169	187	160	227	240	168	235	218	267	218	186	268	192	298	196	218	134	126	276	247	225	171	87	89	113	126	197	120	167	10	12	41	86	162	261	161	168	26									
		16.74%	15.88%	16.19%	18.79%	20.23%	22.65%	14.73%	16.65%	20.31%	16.99%	18.65%	14.54%	20.62%	14.39%	18.74%	22.80%	26.50%	18.93%	18.46%	21.08%	20.30%	29.71%	20.17%	15.40%	19.34%	14.56%	14.30%	16.14%	15.34%	15.76%	16.31%	17.82%	15.89%	16.25%	16.28%	17.05%	16.78%	15.99%	20.33%	17.05%	19.04%	17.30%	16.95%	11.75%	12.06%	15.26%	17.81%	15.68%	16.12%	9.65%	12.66%	11.35%	12.64%	15.35%	10.60%	14.02%	4.59%	9.92%	11.26%	10.80%	14.35%	17.07%	17.99%	12.03%	11.56%									
23	Путин Владимир Владимирович	39103	856	706	693	725	582	382	502	442	542	492	564	562	472	490	788	522	396	543	627	630	284	485	492	593	501	689	595	707	577	789	752	625	825	760	867	748	676	701	634	910	635	745	686	641	1076	790	852	620	577	431	606	615	754	724	679	130	78	214	490	652	843	527	896	116									
		56.66%	57.10%	56.57%	54.96%	53.15%	51.50%	59.22%	55.72%	53.13%	59.04%	55.28%	58.57%	54.40%	56.59%	51.58%	52.53%	47.54%	51.70%	56.62%	53.09%	53.07%	41.16%	50.68%	54.13%	51.88%	56.10%	57.61%	56.83%	57.99%	56.85%	56.68%	55.83%	59.13%	57.05%	56.76%	55.36%	57.58%	58.13%	53.19%	56.31%	58.15%	56.05%	57.93%	60.18%	61.34%	59.48%	56.96%	59.37%	58.44%	63.97%	61.31%	60.84%	61.69%	58.77%	63.96%	57.01%	59.63%	64.46%	58.79%	61.56%	57.75%	55.13%	58.88%	64.18%	51.56%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
