Выборы Президента Российской Федерации																																																																																																																																																																																						
Дата голосования: 18.03.2018																																																																																																																																																																																						
																																																																																																																																																																																						
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																																																						
																																																																																																																																																																																						
Сводная таблица итогов голосования																																																																																																																																																																																						
																																																																																																																																																																																						
	Число участковых избирательных комиссий	171																																																																																																																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	171																																																																																																																																																																																				
																																																																																																																																																																																						
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5808	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825	УИК №5826	УИК №5827	УИК №5828	УИК №5829	УИК №5830	УИК №5831	УИК №5832	УИК №5833	УИК №5835	УИК №5836	УИК №5837	УИК №5838	УИК №5839	УИК №5840	УИК №5841	УИК №5843	УИК №5844	УИК №5845	УИК №5846	УИК №5847	УИК №5848	УИК №5849	УИК №5850	УИК №5851	УИК №5853	УИК №5854	УИК №5855	УИК №5856	УИК №5857	УИК №5858	УИК №5859	УИК №5860	УИК №5861	УИК №5862	УИК №5863	УИК №5864	УИК №5865	УИК №5866	УИК №5867	УИК №5868	УИК №5869	УИК №5870	УИК №5871	УИК №5872	УИК №5873	УИК №5874	УИК №5875	УИК №5876	УИК №5877	УИК №5878	УИК №5879	УИК №5880	УИК №5881	УИК №5882	УИК №5883	УИК №5884	УИК №5885	УИК №5886	УИК №5887	УИК №5888	УИК №5889	УИК №5890	УИК №5892	УИК №5893	УИК №5894	УИК №5895	УИК №5896	УИК №5898	УИК №5899	УИК №5901	УИК №5902	УИК №5903	УИК №5904	УИК №5905	УИК №5906	УИК №5907	УИК №5908	УИК №5909	УИК №5910	УИК №5911	УИК №5912	УИК №5913	УИК №5914	УИК №5915	УИК №5916	УИК №5917	УИК №5918	УИК №5919	УИК №5920	УИК №5921	УИК №5922	УИК №5923	УИК №5924	УИК №5925	УИК №5926	УИК №5927	УИК №5928	УИК №5929	УИК №5930	УИК №5931	УИК №5933	УИК №5934	УИК №5936	УИК №5937	УИК №5938	УИК №5939	УИК №5940	УИК №5941	УИК №5942	УИК №5943	УИК №5944	УИК №5945	УИК №5946	УИК №5947									
1	"Число избирателей, включенных в список избирателей"	50351	2988	2726	2375	2269	2232	2096	1430	1174	1118	939	911	1496	1108	2215	1535	1337	1406	1929	950	1838	1820	2149	638	1491	1447	291	307	250	1126	1074	628	441	26	22	39	22	20	18	14	13	17	22	20	20	20	93	129	108	94	92	88	30	38	109	96	109	30	46	22	30	26	28	94	8	18	29	20	23	23	22	31	89	32	29	20	18	23	21	21	21	21	74	73	27	24	26	26	26	35	18	28	9	13	27	26	28	26	26	27	27	29	27	33	35	33	28	17	19	18	13	15	14	23	24	24	27	22	29	27	12	12	18	18	18	12	23	23	23	22	37	49	58	35	101	340	19	14	17	23	14	14	14	14	14	14	14	21	23	25	20	23	23	21	24	28	29	20	21	22	15	14	12	15	16	19	26	17	28	72	22	62									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43061	2500	2000	2000	2000	2000	2000	1000	1000	1000	800	800	1000	750	2000	1500	1200	1000	1400	650	1300	1500	2000	500	1100	1000	290	350	250	1200	1100	750	500	26	22	39	22	20	18	14	13	17	22	20	20	20	93	129	108	94	92	88	30	38	109	96	109	30	46	22	30	26	28	94	8	18	29	20	23	23	22	31	89	32	29	20	18	23	21	21	21	21	74	73	27	24	26	26	26	35	18	28	9	13	27	26	28	26	26	27	27	29	27	33	35	33	28	17	19	20	13	15	14	23	24	24	27	22	29	27	12	12	18	18	18	12	23	23	23	22	37	49	58	35	101	340	19	14	17	24	14	14	14	14	14	14	14	21	23	25	20	23	23	21	24	28	29	20	21	22	15	14	12	15	16	19	26	17	29	72	22	62									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31008	1680	1462	1252	1293	1151	1246	839	604	579	474	680	708	706	1239	925	755	852	1138	545	965	1071	1104	305	580	789	251	167	235	1000	937	494	402	26	22	39	22	20	18	14	13	17	22	20	20	20	93	129	108	93	86	88	30	38	109	96	109	30	46	22	30	26	25	94	8	18	29	20	23	21	19	31	89	32	29	20	18	23	21	21	21	21	74	73	27	24	26	26	26	35	18	28	9	13	27	26	28	26	26	27	27	29	27	33	35	33	28	17	19	18	13	15	14	23	24	24	27	22	29	27	12	11	18	17	18	12	23	23	23	22	37	49	58	35	99	339	19	14	17	23	14	14	14	14	13	14	14	21	23	25	20	23	23	21	24	28	29	20	21	22	15	13	12	15	16	19	26	17	28	57	22	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	735	12	24	13	22	72	17	25	11	19	7	3	39	3	24	22	36	19	21	15	13	26	37	10	55	20	0	101	0	0	0	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	11318	808	514	735	685	777	737	136	385	402	319	117	253	41	737	553	409	129	241	90	322	403	859	185	465	191	39	82	15	200	163	188	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	15	0	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	735	12	24	13	22	72	17	25	11	19	7	3	39	3	24	22	36	19	21	15	13	26	37	10	55	20	0	101	0	0	0	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	30986	1679	1462	1248	1292	1151	1246	837	604	579	474	679	705	706	1239	925	755	850	1138	545	965	1071	1104	305	580	789	251	167	235	1000	932	493	402	26	22	39	22	20	18	14	13	17	22	20	20	20	93	129	108	93	86	88	30	38	109	94	109	30	46	22	30	26	25	94	8	18	29	20	23	21	19	31	89	32	29	20	18	23	21	21	21	21	74	73	27	24	26	26	26	35	18	28	9	13	27	26	28	26	26	27	27	29	27	33	35	33	28	17	19	18	13	15	14	23	24	24	27	22	29	27	12	11	18	17	18	12	23	23	23	22	37	49	58	35	99	339	19	14	17	23	14	14	14	14	13	14	14	21	23	25	20	23	23	21	24	28	29	20	21	22	15	13	12	15	16	19	26	17	28	57	22	62									
9	Число недействительных избирательных бюллетеней	436	22	24	17	13	17	16	5	5	5	4	8	7	8	18	12	7	19	12	7	13	9	10	2	9	15	2	5	3	44	14	20	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	3	4	0	2	12	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	5	0	3									
10	Число действительных избирательных бюллетеней	31285	1669	1462	1244	1301	1206	1247	857	610	593	477	674	737	701	1245	935	784	850	1147	553	965	1088	1131	313	626	794	249	263	232	956	918	541	397	26	22	39	22	19	18	14	13	17	22	19	20	20	93	128	104	93	85	88	30	38	109	94	109	30	45	22	30	26	25	94	8	18	26	20	23	21	19	31	89	32	29	20	18	23	21	21	20	21	74	73	27	24	26	26	26	33	18	27	9	13	26	26	27	26	26	27	27	29	27	33	35	33	28	17	19	17	13	15	14	23	24	24	27	21	29	27	11	11	18	16	18	12	22	23	23	22	37	46	54	35	97	327	19	14	17	23	14	14	14	14	12	14	13	21	23	25	20	23	23	21	24	28	29	20	21	22	13	12	12	14	16	19	26	17	28	52	22	59									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																																																						
