Выборы Президента Российской Федерации																																															
Дата голосования: 18.03.2018																																															
																																															
Наименование Избирательной комиссии:    Михайловская																																															
																																															
Сводная таблица итогов голосования																																															
																																															
	Число участковых избирательных комиссий	36																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																													
																																															
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1780									
1	"Число избирателей, включенных в список избирателей"	26560	1460	1035	1478	1512	981	499	259	350	1328	289	128	605	614	201	1655	1667	1630	1506	866	857	1160	385	460	259	1457	589	506	96	516	149	132	1189	239	361	73	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27270	1450	1080	1500	1550	1000	520	260	360	1400	290	130	600	600	200	1700	1720	1700	1620	900	890	1200	400	380	280	1540	630	490	90	530	150	130	1240	250	350	70	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	287	0	0	0	0	35	0	0	0	50	67	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14028	936	546	867	809	430	241	126	159	559	109	58	330	372	82	641	937	918	860	539	402	546	162	322	127	755	285	294	71	296	77	73	676	97	246	38	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	870	35	22	30	26	12	17	5	8	22	7	1	20	28	15	24	40	40	33	71	83	64	30	2	17	50	18	27	5	27	10	2	22	9	13	13	22									
6	Число погашенных избирательных бюллетеней	12085	479	512	603	715	523	262	129	193	769	107	71	250	200	103	900	743	742	727	290	405	590	208	56	136	735	327	169	14	207	63	55	542	144	91	19	6									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1157	35	22	30	26	47	17	5	8	72	74	1	20	28	15	159	40	40	33	71	83	64	30	2	17	50	18	27	5	27	10	2	22	9	13	13	22									
8	Число бюллетеней в стационарных ящиках для голосования	14027	936	546	867	809	430	241	126	159	559	109	58	330	372	82	641	937	918	860	539	402	546	162	322	127	755	285	294	71	296	77	73	676	97	245	38	42									
9	Число недействительных избирательных бюллетеней	289	12	5	16	19	5	1	1	5	16	1	0	9	6	5	19	32	15	7	9	9	20	2	11	0	16	7	2	0	6	1	2	11	1	18	0	0									
10	Число действительных избирательных бюллетеней	14895	959	563	881	816	472	257	130	162	615	182	59	341	394	92	781	945	943	886	601	476	590	190	313	144	789	296	319	76	317	86	73	687	105	240	51	64									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
13	Бабурин Сергей Николаевич	100	7	2	6	4	3	2	3	3	4	0	0	0	4	0	8	3	10	4	2	3	6	2	0	0	5	2	3	0	1	1	2	8	1	1	0	0									
		0.66%	0.72%	0.35%	0.67%	0.48%	0.63%	0.78%	2.29%	1.80%	0.63%	0.00%	0.00%	0.00%	1.00%	0.00%	1.00%	0.31%	1.04%	0.45%	0.33%	0.62%	0.98%	1.04%	0.00%	0.00%	0.62%	0.66%	0.93%	0.00%	0.31%	1.15%	2.67%	1.15%	0.94%	0.39%	0.00%	0.00%									
14	Грудинин Павел Николаевич	2938	236	144	231	210	62	55	24	28	91	8	5	52	52	8	168	198	215	201	62	93	103	12	69	31	144	73	37	5	38	16	15	201	12	14	14	11									
		19.35%	24.30%	25.35%	25.75%	25.15%	12.99%	21.32%	18.32%	16.77%	14.42%	4.37%	8.47%	14.86%	13.00%	8.25%	21.00%	20.27%	22.44%	22.51%	10.16%	19.18%	16.89%	6.25%	21.30%	21.53%	17.89%	24.09%	11.53%	6.58%	11.76%	18.39%	20.00%	28.80%	11.32%	5.43%	27.45%	17.19%									
15	Жириновский Владимир Вольфович	1125	61	45	62	69	26	14	7	11	29	15	9	37	30	9	76	66	63	65	43	38	54	13	26	12	71	20	42	6	30	4	3	47	5	10	4	3									
		7.41%	6.28%	7.92%	6.91%	8.26%	5.45%	5.43%	5.34%	6.59%	4.60%	8.20%	15.25%	10.57%	7.50%	9.28%	9.50%	6.76%	6.58%	7.28%	7.05%	7.84%	8.85%	6.77%	8.02%	8.33%	8.82%	6.60%	13.08%	7.89%	9.29%	4.60%	4.00%	6.73%	4.72%	3.88%	7.84%	4.69%									
16	Путин Владимир Владимирович	10380	631	361	546	513	374	181	94	113	478	154	45	246	302	74	507	651	635	599	482	334	420	159	206	98	546	195	230	63	243	61	53	409	86	210	33	48									
		68.36%	64.98%	63.56%	60.87%	61.44%	78.41%	70.16%	71.76%	67.66%	75.75%	84.15%	76.27%	70.29%	75.50%	76.29%	63.38%	66.63%	66.28%	67.08%	79.02%	68.87%	68.85%	82.81%	63.58%	68.06%	67.83%	64.36%	71.65%	82.89%	75.23%	70.11%	70.67%	58.60%	81.13%	81.40%	64.71%	75.00%									
17	Собчак Ксения Анатольевна	128	13	4	15	9	2	1	1	6	6	1	0	0	2	0	10	5	4	4	2	4	1	1	6	1	9	3	2	0	5	0	0	7	0	4	0	0									
		0.84%	1.34%	0.70%	1.67%	1.08%	0.42%	0.39%	0.76%	3.59%	0.95%	0.55%	0.00%	0.00%	0.50%	0.00%	1.25%	0.51%	0.42%	0.45%	0.33%	0.82%	0.16%	0.52%	1.85%	0.69%	1.12%	0.99%	0.62%	0.00%	1.55%	0.00%	0.00%	1.00%	0.00%	1.55%	0.00%	0.00%									
18	Сурайкин Максим Александрович	104	5	3	11	7	0	1	1	0	6	3	0	1	1	1	4	11	6	4	6	1	1	2	3	1	11	2	1	2	0	2	0	5	1	1	0	0									
