Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Яковлевская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222					
1	"Число избирателей, внесенных в список"	13977	1957	697	732	602	77	374	325	394	111	163	331	98	101	93	1038	814	177	347	533	751	405	2321	343	174	706	254	59					
2	Число полученных избирательных бюллетеней	12519	1760	636	667	543	77	342	284	355	97	139	300	89	93	78	939	729	159	300	472	658	342	2060	295	147	698	208	52					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9504	1349	622	466	396	57	304	247	284	84	124	236	70	76	69	672	573	103	240	226	379	210	1549	155	121	667	173	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	630	53	0	22	12	16	15	23	16	9	12	22	4	11	4	79	80	26	43	45	28	6	29	43	6	14	12	0					
6	Число погашенных избирательных бюллетеней	2385	358	14	179	135	4	23	14	55	4	3	42	15	6	5	188	76	30	17	201	251	126	482	97	20	17	23	0					
7	Число избирательных бюллетеней в переносных ящиках	630	53	0	22	12	16	15	23	16	9	12	22	4	11	4	79	80	26	43	45	28	6	29	43	6	14	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	9495	1343	622	466	396	57	304	247	282	84	124	236	70	76	69	671	573	103	240	226	379	210	1549	155	121	667	173	52					
9	Число недействительных избирательных бюллетеней	110	9	5	9	7	0	3	2	8	1	0	1	0	1	1	9	4	1	3	13	4	5	9	4	5	5	1	0					
10	Число действительных избирательных бюллетеней	10015	1387	617	479	401	73	316	268	290	92	136	257	74	86	72	741	649	128	280	258	403	211	1569	194	122	676	184	52					
11	Число полученных открепительных  удостоверений	263	24	10	6	6	1	7	2	9	2	2	9	1	5	1	33	10	1	1	6	6	5	78	4	2	24	5	3					
12	Число выданных открепительных удостоверений	199	24	10	4	5	1	6	2	7	1	0	9	1	3	0	24	6	1	0	2	2	3	60	2	1	17	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	11	6	1	2	3	3	6	2	2	5	2	1	6	3	5	6	4	9	3	2	1	12	10	10	6	12	1					
14	Число неиспользованных открепительных удостоверений	64	0	0	2	1	0	1	0	2	1	2	0	0	2	1	9	4	0	1	4	4	2	18	2	1	7	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	480	69	26	29	13	1	17	9	10	10	1	10	3	5	2	39	43	8	10	19	17	11	87	12	5	14	10	0					
		4.74%	4.94%	4.18%	5.94%	3.19%	1.37%	5.33%	3.33%	3.36%	10.75%	0.74%	3.88%	4.05%	5.75%	2.74%	5.20%	6.58%	6.20%	3.53%	7.01%	4.18%	5.09%	5.51%	6.06%	3.94%	2.06%	5.41%	0.00%					
19	. Малышкин Олег Александрович	496	54	23	18	17	1	22	12	29	3	3	15	4	3	12	32	30	10	16	21	20	9	91	13	6	16	14	2					
		4.90%	3.87%	3.70%	3.69%	4.17%	1.37%	6.90%	4.44%	9.73%	3.23%	2.21%	5.81%	5.41%	3.45%	16.44%	4.27%	4.59%	7.75%	5.65%	7.75%	4.91%	4.17%	5.77%	6.57%	4.72%	2.35%	7.57%	3.85%					
20	. Миронов Сергей Михайлович	111	18	7	5	0	2	3	2	4	2	2	2	4	0	4	6	4	2	3	3	3	4	14	4	0	7	4	2					
		1.10%	1.29%	1.13%	1.02%	0.00%	2.74%	0.94%	0.74%	1.34%	2.15%	1.47%	0.78%	5.41%	0.00%	5.48%	0.80%	0.61%	1.55%	1.06%	1.11%	0.74%	1.85%	0.89%	2.02%	0.00%	1.03%	2.16%	3.85%					
21	. Путин Владимир Владимирович	6554	851	477	323	279	55	191	169	166	50	88	167	36	53	32	463	399	90	193	132	259	133	1054	106	63	570	112	43					
		64.73%	60.96%	76.69%	66.19%	68.38%	75.34%	59.87%	62.59%	55.70%	53.76%	64.71%	64.73%	48.65%	60.92%	43.84%	61.73%	61.10%	69.77%	68.20%	48.71%	63.64%	61.57%	66.79%	53.54%	49.61%	83.70%	60.54%	82.69%					
22	. Хакамада Ирина Муцуовна	338	50	14	14	19	0	12	11	14	4	5	11	1	1	6	13	25	1	5	8	9	7	77	4	8	10	8	1					
		3.34%	3.58%	2.25%	2.87%	4.66%	0.00%	3.76%	4.07%	4.70%	4.30%	3.68%	4.26%	1.35%	1.15%	8.22%	1.73%	3.83%	0.78%	1.77%	2.95%	2.21%	3.24%	4.88%	2.02%	6.30%	1.47%	4.32%	1.92%					
23	. Харитонов Николай Михайлович	1713	296	37	82	64	14	63	59	56	21	35	51	21	17	15	173	130	16	42	69	89	39	172	50	37	38	26	1					
		16.92%	21.20%	5.95%	16.80%	15.69%	19.18%	19.75%	21.85%	18.79%	22.58%	25.74%	19.77%	28.38%	19.54%	20.55%	23.07%	19.91%	12.40%	14.84%	25.46%	21.87%	18.06%	10.90%	25.25%	29.13%	5.58%	14.05%	1.92%					
																																		
24	Против всех	323	49	33	8	9	0	8	6	11	2	2	1	5	7	1	15	18	1	11	6	6	8	74	5	3	21	10	3					
