Выборы Президента Российской Федерации																																																						
Дата голосования: 04.03.2012																																																						
																																																						
Наименование Избирательной комиссии:    Великолукская городская																																																						
																																																						
Сводная таблица итогов голосования																																																						
																																																						
	Число участковых избирательных комиссий	43																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	43																																																				
																																																						
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135									
1	Число избирателей, включенных в список избирателей	86136	1492	1567	1500	1475	1035	2317	1476	1720	3118	2456	2200	1373	1862	2370	1454	2083	962	2738	2745	1476	1313	1508	1132	2457	2877	2714	1231	848	2367	2782	703	1515	1694	1247	1844	2853	2925	2555	2923	3621	2398	2914	2296									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	75350	1300	1400	1300	1300	850	1800	1300	1100	2600	2200	2000	1100	1700	2100	1200	1900	850	2500	2300	1200	1100	1400	1000	2200	2600	2500	1100	750	2200	2600	600	1400	1500	1100	1700	2500	2700	2300	2700	2500	2200	2600	2100									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	51909	950	996	951	978	648	1433	716	838	1854	1534	1452	877	1223	1450	983	1385	601	1738	1629	929	799	962	768	1625	1746	1739	753	409	1319	1699	458	873	976	688	1183	1632	1925	1593	1849	1532	1450	1537	1229									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2100	19	31	17	9	24	39	152	97	62	33	71	40	47	54	38	48	25	36	42	23	19	26	25	72	60	51	21	23	299	54	6	39	33	45	34	55	34	29	36	54	35	82	61									
6	Число погашенных избирательных бюллетеней	21341	331	373	332	313	178	328	432	165	684	633	477	183	430	596	179	467	224	726	629	248	282	412	207	503	794	710	326	318	582	847	136	488	491	367	483	813	741	678	815	914	715	981	810									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2100	19	31	17	9	24	39	152	97	62	33	71	40	47	54	38	48	25	36	42	23	19	26	25	72	60	51	21	23	299	54	6	39	33	45	34	55	34	29	36	54	35	82	61									
8	Число бюллетеней в стационарных ящиках для голосования	51821	948	995	948	978	647	1429	716	838	1852	1534	1452	877	1223	1436	983	1383	601	1702	1629	929	798	962	768	1625	1743	1739	752	409	1319	1695	458	872	976	688	1183	1630	1924	1591	1849	1526	1450	1535	1229									
9	Число недействительных избирательных бюллетеней	714	12	11	12	18	4	21	9	12	27	20	13	21	19	19	14	15	13	14	10	18	11	18	13	19	22	34	9	2	28	16	10	18	11	8	12	16	31	14	22	0	53	22	23									
10	Число действительных избирательных бюллетеней	53207	955	1015	953	969	667	1447	859	923	1887	1547	1510	896	1251	1471	1007	1416	613	1724	1661	934	806	970	780	1678	1781	1756	764	430	1590	1733	454	893	998	725	1205	1669	1927	1606	1863	1580	1432	1595	1267									
11	Число полученных открепительных  удостоверений	1310	33	25	23	23	16	32	22	20	44	38	34	19	29	36	22	33	15	43	39	21	19	23	18	38	45	42	19	13	38	44	11	24	26	19	29	43	46	40	45	42	38	45	36									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	530	25	10	7	11	7	13	12	14	22	10	15	12	6	19	16	24	5	14	21	15	9	8	2	21	16	18	4	5	9	15	4	12	8	4	7	23	11	16	15	17	13	7	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	439	6	5	7	4	14	32	38	15	8	2	6	6	7	7	21	6	6	12	9	12	10	8	7	11	9	13	4	6	4	13	6	12	11	6	8	8	3	14	15	10	10	12	16									
14	Число неиспользованных открепительных удостоверений	780	8	15	16	12	9	19	10	6	22	28	19	7	23	17	6	9	10	29	18	6	10	15	16	17	29	24	15	8	29	29	7	12	18	15	22	20	35	24	30	25	25	38	28									
15	Число открепительных удостоверений, выданных избирателям ТИК	41	0	2	0	2	2	2	0	0	2	3	0	0	0	0	1	1	0	0	0	1	1	2	1	1	0	2	0	1	1	4	0	1	0	0	1	2	0	0	2	0	3	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	Жириновский Владимир Вольфович	3689	85	95	77	63	43	112	63	71	149	85	91	51	93	108	70	76	35	115	120	43	60	61	47	82	113	109	42	36	108	123	31	84	71	43	100	111	119	82	154	122	114	116	116									
		6.84%	8.79%	9.26%	7.98%	6.38%	6.41%	7.63%	7.26%	7.59%	7.78%	5.42%	5.98%	5.56%	7.32%	7.25%	6.86%	5.31%	5.59%	6.62%	7.18%	4.52%	7.34%	6.17%	5.93%	4.83%	6.27%	6.09%	5.43%	8.33%	6.67%	7.03%	6.68%	9.22%	7.04%	5.87%	8.22%	6.59%	6.08%	5.06%	8.17%	7.72%	7.68%	7.17%	8.99%									
20	Зюганов Геннадий Андреевич	12065	216	258	228	199	148	326	203	205	398	319	350	207	281	310	236	325	139	339	400	192	138	241	202	365	448	514	210	91	334	372	72	206	199	130	227	343	438	383	454	387	362	362	308									
		22.38%	22.34%	25.15%	23.63%	20.16%	22.06%	22.21%	23.39%	21.93%	20.79%	20.36%	22.98%	22.57%	22.13%	20.81%	23.11%	22.71%	22.20%	19.51%	23.94%	20.17%	16.89%	24.39%	25.47%	21.51%	24.85%	28.72%	27.17%	21.06%	20.64%	21.27%	15.52%	22.61%	19.72%	17.74%	18.65%	20.36%	22.37%	23.64%	24.08%	24.49%	24.38%	22.39%	23.88%									
21	Миронов Сергей Михайлович	2290	46	58	38	40	26	71	28	39	80	64	84	35	39	56	32	65	21	72	94	43	23	33	42	74	108	77	34	18	70	79	22	42	44	21	38	80	88	64	82	64	57	60	39									
		4.25%	4.76%	5.65%	3.94%	4.05%	3.87%	4.84%	3.23%	4.17%	4.18%	4.08%	5.52%	3.82%	3.07%	3.76%	3.13%	4.54%	3.35%	4.14%	5.63%	4.52%	2.82%	3.34%	5.30%	4.36%	5.99%	4.30%	4.40%	4.17%	4.33%	4.52%	4.74%	4.61%	4.36%	2.86%	3.12%	4.75%	4.49%	3.95%	4.35%	4.05%	3.84%	3.71%	3.02%									
22	Прохоров Михаил Дмитриевич	3797	62	68	61	95	42	110	72	87	151	107	98	70	105	102	107	109	49	84	105	68	50	76	64	127	161	144	62	21	113	99	33	51	43	45	70	130	143	106	132	124	96	98	57									
