Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Новосокольническая																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466					
1	"Число избирателей, внесенных в список"	14315	906	532	508	209	397	128	577	100	295	572	440	777	171	280	384	366	372	401	282	1805	1986	1853	974					
2	Число полученных избирательных бюллетеней	13410	850	500	490	200	370	120	560	100	290	560	430	790	170	280	390	370	360	400	280	1600	1700	1700	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6203	422	218	177	92	142	59	249	41	122	261	107	290	92	98	101	130	132	111	103	855	1072	898	431					
5	"Число избирательных бюллетеней, выданных вне помещения"	2622	33	197	246	78	154	35	146	41	88	118	180	183	47	87	192	132	125	165	123	104	62	51	35					
6	Число погашенных избирательных бюллетеней	4585	395	85	67	30	74	26	165	18	80	181	143	317	31	95	97	108	103	124	54	641	566	751	434					
7	Число избирательных бюллетеней в переносных ящиках	2622	33	197	246	78	154	35	146	41	88	118	180	183	47	87	192	132	125	165	123	104	62	51	35					
8	Число бюллетеней в стационарных ящиках для голосования	6203	422	218	177	92	142	59	249	41	122	261	107	290	92	98	101	130	132	111	103	855	1072	898	431					
9	Число недействительных избирательных бюллетеней	40	1	2	2	0	0	0	4	0	0	0	2	1	2	0	1	0	1	2	1	6	7	3	5					
10	Число действительных избирательных бюллетеней	8785	454	413	421	170	296	94	391	82	210	379	285	472	137	185	292	262	256	274	225	953	1127	946	461					
11	Число полученных открепительных  удостоверений	205	10	5	15	5	5	5	15	5	5	10	5	10	5	5	10	10	10	10	5	15	15	15	10					
12	Число выданных открепительных удостоверений	49	3	4	4	0	1	0	5	3	0	0	0	3	0	0	2	0	0	0	2	5	8	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	1	2	1	0	1	2	8	3	2	3	1	1	4	2	1	0	1	1	2	1	4	4	0					
14	Число неиспользованных открепительных удостоверений	156	7	1	11	5	4	5	10	2	5	10	5	7	5	5	8	10	10	10	3	10	7	7	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	183	7	2	7	1	10	0	7	3	1	7	1	6	8	3	4	1	4	1	8	20	39	32	11					
		2.07%	1.54%	0.48%	1.65%	0.59%	3.38%	0.00%	1.77%	3.66%	0.48%	1.85%	0.35%	1.27%	5.76%	1.62%	1.37%	0.38%	1.56%	0.36%	3.54%	2.09%	3.44%	3.37%	2.36%					
19	. Малышкин Олег Александрович	198	19	8	12	3	0	6	7	2	1	8	5	12	4	5	3	6	3	6	3	30	22	20	13					
		2.24%	4.18%	1.93%	2.84%	1.76%	0.00%	6.38%	1.77%	2.44%	0.48%	2.11%	1.74%	2.54%	2.88%	2.70%	1.02%	2.29%	1.17%	2.17%	1.33%	3.13%	1.94%	2.11%	2.79%					
20	. Миронов Сергей Михайлович	164	8	4	7	0	13	6	1	1	4	3	3	6	1	2	4	1	6	1	4	24	31	26	8					
