Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Островская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290					
1	"Число избирателей, внесенных в список"	29985	2006	469	1644	2460	1961	2243	1964	1680	1233	2117	2422	540	248	354	320	478	556	155	159	513	171	607	244	244	314	197	286	242	175	592	339	353	277	352	225	253	1592					
2	Число полученных избирательных бюллетеней	30341	2137	477	1689	2505	1958	2217	1992	1774	1262	2138	2415	552	241	352	325	490	567	158	165	506	176	617	234	246	309	195	286	241	185	589	343	340	271	360	227	245	1557					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15922	1297	213	793	1473	1183	1304	1051	893	693	1310	1279	110	100	81	67	267	265	52	61	261	27	261	136	92	139	104	143	89	97	184	123	130	132	129	95	105	1183					
5	"Число избирательных бюллетеней, выданных вне помещения"	3023	25	14	44	23	41	79	96	59	16	12	115	250	40	142	140	30	81	46	52	82	133	136	44	59	83	72	68	66	62	225	120	108	72	128	81	94	85					
6	Число погашенных избирательных бюллетеней	11396	815	250	852	1009	734	834	845	822	553	816	1021	192	101	129	118	193	221	60	52	163	16	220	54	95	87	19	75	86	26	180	100	102	67	103	51	46	289					
7	Число избирательных бюллетеней в переносных ящиках	3023	25	14	44	23	41	79	96	59	16	12	115	250	40	142	140	30	81	46	52	82	133	136	44	59	83	72	68	66	62	225	120	108	72	128	81	94	85					
8	Число бюллетеней в стационарных ящиках для голосования	15915	1292	213	793	1473	1183	1304	1051	892	693	1310	1279	110	100	81	67	267	265	52	61	261	27	261	136	92	139	104	143	89	97	184	123	130	132	129	95	105	1182					
9	Число недействительных избирательных бюллетеней	109	3	5	6	15	11	9	6	6	4	8	4	2	2	0	2	5	2	0	0	1	0	4	3	0	2	0	1	2	1	2	0	0	0	2	0	0	1					
10	Число действительных избирательных бюллетеней	18829	1314	222	831	1481	1213	1374	1141	945	705	1314	1390	358	138	223	205	292	344	98	113	342	160	393	177	151	220	176	210	153	158	407	243	238	204	255	176	199	1266					
11	Число полученных открепительных  удостоверений	620	40	30	30	30	30	30	30	30	30	30	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30					
12	Число выданных открепительных удостоверений	207	29	0	6	18	14	13	15	3	9	18	13	7	5	1	0	5	2	0	0	4	0	0	0	3	0	0	1	0	0	2	3	5	5	6	2	0	18					
