Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Пустошкинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443					
1	"Число избирателей, внесенных в список"	9417	2184	2200	515	69	199	238	296	288	472	411	206	137	485	392	212	280	257	99	329	148					
2	Число полученных избирательных бюллетеней	8946	2084	2075	494	67	187	226	286	276	437	391	198	130	470	373	198	266	248	94	302	144					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4541	1294	1203	231	18	92	90	125	143	181	150	60	44	214	146	87	103	127	35	135	63					
5	"Число избирательных бюллетеней, выданных вне помещения"	1639	40	64	99	43	57	79	82	49	159	114	89	55	172	80	66	119	70	40	109	53					
6	Число погашенных избирательных бюллетеней	2766	750	808	164	6	38	57	79	84	97	127	49	31	84	147	45	44	51	19	58	28					
7	Число избирательных бюллетеней в переносных ящиках	1639	40	64	99	43	57	79	82	49	159	114	89	55	172	80	66	119	70	40	109	53					
8	Число бюллетеней в стационарных ящиках для голосования	4541	1294	1203	231	18	92	90	125	143	181	150	60	44	214	146	87	103	127	35	135	63					
9	Число недействительных избирательных бюллетеней	25	4	7	3	0	1	1	0	1	0	1	1	0	2	1	1	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	6155	1330	1260	327	61	148	168	207	191	340	263	148	99	384	225	152	221	197	75	243	116					
11	Число полученных открепительных  удостоверений	160	36	35	8	2	3	4	5	5	8	7	4	3	8	7	4	5	5	2	6	3					
12	Число выданных открепительных удостоверений	53	22	10	4	0	0	0	1	2	0	2	0	0	8	0	0	0	3	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	11	9	4	2	2	1	1	1	4	6	0	2	2	1	3	2	3	2	2	2					
14	Число неиспользованных открепительных удостоверений	107	14	25	4	2	3	4	4	3	8	5	4	3	0	7	4	5	2	2	6	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	131	52	29	3	1	0	2	1	3	9	4	1	1	8	1	2	4	3	3	3	1					
		2.12%	3.90%	2.29%	0.91%	1.64%	0.00%	1.18%	0.48%	1.56%	2.65%	1.52%	0.67%	1.01%	2.07%	0.44%	1.31%	1.80%	1.52%	4.00%	1.23%	0.86%					
19	. Малышкин Олег Александрович	135	26	32	11	1	0	5	8	1	8	5	1	3	14	4	2	4	0	1	7	2					
		2.18%	1.95%	2.53%	3.33%	1.64%	0.00%	2.96%	3.86%	0.52%	2.35%	1.89%	0.67%	3.03%	3.63%	1.77%	1.31%	1.80%	0.00%	1.33%	2.87%	1.72%					
20	. Миронов Сергей Михайлович	106	16	21	12	1	1	3	5	4	5	7	0	5	10	1	2	1	1	2	7	2					
		1.72%	1.20%	1.66%	3.64%	1.64%	0.67%	1.78%	2.42%	2.08%	1.47%	2.65%	0.00%	5.05%	2.59%	0.44%	1.31%	0.45%	0.51%	2.67%	2.87%	1.72%					
21	. Путин Владимир Владимирович	3929	805	786	229	47	123	77	120	103	215	172	109	64	256	152	87	158	155	45	146	80					
		63.58%	60.34%	62.04%	69.39%	77.05%	82.55%	45.56%	57.97%	53.65%	63.24%	65.15%	73.15%	64.65%	66.32%	67.26%	56.86%	71.17%	78.68%	60.00%	59.84%	68.97%					
22	. Хакамада Ирина Муцуовна	157	56	33	6	0	1	1	2	5	9	7	2	6	9	2	4	2	3	3	2	4					
		2.54%	4.20%	2.60%	1.82%	0.00%	0.67%	0.59%	0.97%	2.60%	2.65%	2.65%	1.34%	6.06%	2.33%	0.88%	2.61%	0.90%	1.52%	4.00%	0.82%	3.45%					
23	. Харитонов Николай Михайлович	1598	351	342	60	11	22	76	71	71	85	63	34	18	76	61	50	51	34	20	76	26					
		25.86%	26.31%	26.99%	18.18%	18.03%	14.77%	44.97%	34.30%	36.98%	25.00%	23.86%	22.82%	18.18%	19.69%	26.99%	32.68%	22.97%	17.26%	26.67%	31.15%	22.41%					
																											
24	Против всех	99	24	17	6	0	1	4	0	4	9	5	1	2	11	4	5	1	1	1	2	1					
		1.60%	1.80%	1.34%	1.82%	0.00%	0.67%	2.37%	0.00%	2.08%	2.65%	1.89%	0.67%	2.02%	2.85%	1.77%	3.27%	0.45%	0.51%	1.33%	0.82%	0.86%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
