Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Усвятская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712					
1	"Число избирателей, внесенных в список"	4913	2488	190	198	257	243	139	358	297	258	176	309					
2	Число полученных избирательных бюллетеней	4665	2200	185	200	250	240	150	370	300	260	180	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2346	1341	12	97	96	126	72	186	132	94	98	92					
5	"Число избирательных бюллетеней, выданных вне помещения"	1329	335	142	68	91	85	45	112	100	115	49	187					
6	Число погашенных избирательных бюллетеней	990	524	31	35	63	29	33	72	68	51	33	51					
7	Число избирательных бюллетеней в переносных ящиках	1329	335	142	68	91	85	45	112	100	115	49	187					
8	Число бюллетеней в стационарных ящиках для голосования	2345	1340	12	97	96	126	72	186	132	94	98	92					
9	Число недействительных избирательных бюллетеней	7	2	0	1	0	0	0	0	2	1	1	0					
10	Число действительных избирательных бюллетеней	3667	1673	154	164	187	211	117	298	230	208	146	279					
11	Число полученных открепительных  удостоверений	90	35	5	5	5	5	5	10	5	5	5	5					
12	Число выданных открепительных удостоверений	27	17	0	0	0	0	0	0	5	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	6	0	0	0	1	0	4	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	63	18	5	5	5	5	5	10	0	5	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	68	33	2	6	1	5	2	1	4	1	1	12					
		1.85%	1.97%	1.30%	3.64%	0.53%	2.37%	1.71%	0.34%	1.72%	0.48%	0.68%	4.30%					
19	. Малышкин Олег Александрович	67	18	2	10	2	9	1	7	5	3	2	8					
		1.82%	1.07%	1.30%	6.06%	1.07%	4.27%	0.85%	2.35%	2.16%	1.44%	1.36%	2.87%					
20	. Миронов Сергей Михайлович	44	17	2	2	4	3	1	2	3	2	3	5					
		1.20%	1.01%	1.30%	1.21%	2.14%	1.42%	0.85%	0.67%	1.29%	0.96%	2.04%	1.79%					
21	. Путин Владимир Владимирович	2807	1284	111	110	148	159	105	245	147	166	112	220					
		76.40%	76.66%	72.08%	66.67%	79.14%	75.36%	89.74%	82.21%	63.36%	79.43%	76.19%	78.85%					
22	. Хакамада Ирина Муцуовна	49	17	2	6	3	6	1	4	0	6	4	0					
		1.33%	1.01%	1.30%	3.64%	1.60%	2.84%	0.85%	1.34%	0.00%	2.87%	2.72%	0.00%					
23	. Харитонов Николай Михайлович	584	279	33	29	28	27	6	35	68	29	18	32					
		15.90%	16.66%	21.43%	17.58%	14.97%	12.80%	5.13%	11.74%	29.31%	13.88%	12.24%	11.47%					
																		
24	Против всех	48	25	2	1	1	2	1	4	3	1	6	2					
		1.31%	1.49%	1.30%	0.61%	0.53%	0.95%	0.85%	1.34%	1.29%	0.48%	4.08%	0.72%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
