Выборы Президента Российской Федерации																																																														
Дата голосования: 02.03.2008																																																														
																																																														
Наименование Избирательной комиссии:    Бакалинская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
	Число участковых избирательных комиссий	55																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																												
																																																														
		Сумма	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139					
1	"Число избирателей, включенных в списки избирателей"	22076	1040	1192	953	1149	583	1161	1119	405	383	393	397	388	180	257	150	351	357	293	569	130	380	160	339	284	123	193	211	231	209	793	320	317	117	763	396	375	342	321	599	528	190	125	324	317	681	391	158	339	87	381	174	71	107	141	139					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23006	1075	1240	1120	1185	605	1220	1177	450	420	400	403	420	195	260	150	360	375	295	580	132	380	160	340	290	125	195	215	235	215	810	330	320	118	785	413	390	330	325	605	525	193	128	335	355	784	386	163	365	87	402	177	72	108	144	139					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	20628	1012	1175	946	1087	538	1112	1091	390	377	378	391	321	169	235	136	337	357	270	539	126	338	127	330	271	110	188	201	217	163	776	285	289	109	657	263	328	305	293	566	509	164	114	310	303	607	377	158	245	77	365	174	71	107	116	128					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1297	23	17	7	27	34	26	13	12	5	15	6	64	11	22	14	11	0	21	30	3	42	33	5	13	13	5	10	12	46	17	35	28	8	103	130	47	25	28	28	11	26	11	14	14	69	9	0	94	10	14	0	0	0	25	11					
6	Число погашенных избирательных бюллетеней	1081	40	48	167	71	33	82	73	48	38	7	6	35	15	3	0	12	18	4	11	3	0	0	5	6	2	2	4	6	6	17	10	3	1	25	20	15	0	4	11	5	3	3	11	38	108	0	5	26	0	23	3	1	1	3	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1297	23	17	7	27	34	26	13	12	5	15	6	64	11	22	14	11	0	21	30	3	42	33	5	13	13	5	10	12	46	17	35	28	8	103	130	47	25	28	28	11	26	11	14	14	69	9	0	94	10	14	0	0	0	25	11					
8	Число бюллетеней в стационарных ящиках для голосования	20628	1012	1175	946	1087	538	1112	1091	390	377	378	391	321	169	235	136	337	357	270	539	126	338	127	330	271	110	188	201	217	163	776	285	289	109	657	263	328	305	293	566	509	164	114	310	303	607	377	158	245	77	365	174	71	107	116	128					
9	Число недействительных избирательных бюллетеней	67	0	10	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
10	Число действительных избирательных бюллетеней	21858	1035	1182	942	1113	572	1138	1104	402	382	393	397	385	180	257	150	348	357	291	568	129	380	160	335	284	123	193	211	227	205	791	320	317	117	760	393	375	330	321	594	486	190	125	324	317	676	386	158	339	87	379	174	71	105	141	139					
11	Число полученных открепительных  удостоверений	349	11	20	15	20	18	30	13	16	5	3	2	15	0	5	2	12	10	2	7	3	1	2	2	2	0	0	7	0	1	6	6	5	0	18	7	8	1	0	4	3	0	0	5	4	10	2	2	18	2	9	4	2	2	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	274	9	15	12	12	18	29	13	6	5	3	0	15	0	2	1	12	10	0	7	3	1	0	2	0	0	0	6	0	1	6	6	2	0	12	4	6	0	0	4	1	0	0	5	4	10	2	0	18	1	7	3	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	6	1	7	1	2	5	6	2	2	2	2	1	3	3	0	2	3	0	1	1	3	0	2	0	0	2	2	2	3	6	4	1	0	3	2	1	1	6	1	3	0	0	0	2	1	3	0	6	0	0	2	1	1	4	3					
14	Число неиспользованных открепительных удостоверений	75	2	5	3	8	0	1	0	10	0	0	2	0	0	3	1	0	0	2	0	0	0	2	0	2	0	0	1	0	0	0	0	3	0	6	3	2	1	0	0	2	0	0	0	0	0	0	2	0	1	2	1	2	1	2	5					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	39	2	7	4	4	0	4	3	0	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	Богданов Андрей Владимирович	21	0	2	2	2	3	1	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
