Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Зианчуринская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355					
1	"Число избирателей, внесенных в список"	19834	733	119	92	290	281	118	129	87	282	85	139	200	137	920	233	235	70	232	498	174	71	369	44	352	148	303	78	160	394	192	319	318	166	189	186	146	164	110	132	257	1386	1226	831	128	1575	114	448	34	315	142	92	454	589	141	517	532	220	91	624	125	70	93	74	861					
2	Число полученных избирательных бюллетеней	20007	744	122	97	293	286	125	134	91	282	88	142	205	149	925	247	235	71	242	498	175	75	394	44	362	149	315	84	163	395	192	327	314	170	190	185	154	163	118	135	262	1400	1200	842	128	1522	110	457	37	317	147	102	449	608	144	506	534	216	91	628	127	72	93	76	859					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18568	728	116	92	282	273	115	123	81	282	84	136	200	137	915	229	235	70	225	470	174	69	369	44	345	143	289	75	155	386	192	309	298	166	183	179	146	157	107	132	249	1138	1033	728	119	1339	103	431	34	294	142	86	407	532	139	506	519	214	78	608	124	70	93	74	797					
5	"Число избирательных бюллетеней, выданных вне помещения"	513	5	3	0	3	7	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	5	6	0	6	15	0	5	0	0	4	3	0	4	102	41	20	4	59	7	10	0	7	0	6	42	30	0	0	0	0	13	13	0	0	0	0	62					
6	Число погашенных избирательных бюллетеней	926	11	3	5	8	6	7	6	4	0	4	6	5	12	10	18	0	1	17	28	1	6	25	0	17	6	12	6	3	3	0	12	1	4	2	6	8	2	8	3	9	160	126	94	5	124	0	16	3	16	5	10	0	46	5	0	15	2	0	7	3	2	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках	513	5	3	0	3	7	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	5	6	0	6	15	0	5	0	0	4	3	0	4	102	41	20	4	59	7	10	0	7	0	6	42	30	0	0	0	0	13	13	0	0	0	0	62					
8	Число бюллетеней в стационарных ящиках для голосования	18568	728	116	92	282	273	115	123	81	282	84	136	200	137	915	229	235	70	225	470	174	69	369	44	345	143	289	75	155	386	192	309	298	166	183	179	146	157	107	132	249	1138	1033	728	119	1339	103	431	34	294	142	86	407	532	139	506	519	214	78	608	124	70	93	74	797					
9	Число недействительных избирательных бюллетеней	30	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	1	0	0	0	0	0	7	1	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	19051	732	119	92	285	280	118	126	87	282	84	136	200	137	914	229	235	70	225	470	174	69	369	44	345	143	299	78	160	392	192	311	313	166	188	178	146	161	110	132	253	1233	1073	747	123	1391	110	441	34	301	142	92	449	561	139	506	519	214	91	621	124	70	93	74	859					
