Выборы Президента Российской Федерации																																																																															
Дата голосования: 02.03.2008																																																																															
																																																																															
Наименование Избирательной комиссии:    Илишевская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
	Число участковых избирательных комиссий	72																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	72																																																																													
																																																																															
		Сумма	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163					
1	"Число избирателей, включенных в списки избирателей"	23865	372	104	211	545	233	146	528	184	258	165	76	108	114	266	171	241	364	540	76	84	224	216	487	146	89	132	406	245	69	364	209	144	466	299	146	56	527	275	431	202	348	362	235	79	230	342	142	113	211	596	300	139	445	98	76	353	314	446	399	283	579	550	85	251	275	191	1032	1030	934	1324	1254	930					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24859	388	108	216	554	242	150	559	194	265	172	79	115	120	293	177	258	376	575	81	84	234	225	522	156	92	135	420	253	74	374	216	144	485	303	151	58	543	290	457	212	376	374	239	80	236	352	143	117	216	614	313	143	458	103	79	367	354	460	418	298	599	565	85	264	286	196	1074	1040	974	1317	1346	1023					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	22672	348	104	154	525	230	136	521	174	258	165	69	107	114	244	148	222	345	468	71	77	217	196	475	136	82	132	384	230	69	354	199	144	414	291	142	41	517	264	402	174	303	360	227	76	230	342	142	113	211	591	273	134	422	98	76	343	279	427	365	271	554	486	76	249	269	173	980	987	887	1268	1217	900					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1073	24	0	57	20	3	10	7	8	0	0	7	0	0	21	23	19	17	72	5	7	7	20	12	10	7	0	22	15	0	10	10	0	52	8	4	15	10	11	29	28	45	2	6	3	0	0	0	0	0	5	25	5	23	0	0	10	35	19	28	12	25	60	9	2	6	18	52	33	39	14	11	16					
6	Число погашенных избирательных бюллетеней	1114	16	4	5	9	9	4	31	12	7	7	3	8	6	28	6	17	14	35	5	0	10	9	35	10	3	3	14	8	5	10	7	0	19	4	5	2	16	15	26	10	28	12	6	1	6	10	1	4	5	18	15	4	13	5	3	14	40	14	25	15	20	19	0	13	11	5	42	20	48	35	118	107					
