Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ишимбайская городская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928					
1	"Число избирателей, внесенных в список"	67603	1150	1423	1571	1208	1270	1186	837	1598	977	1428	1232	1147	1409	944	1333	1544	1108	2031	1160	1093	195	1277	1171	1741	1247	1608	1785	1474	1433	1495	1217	1602	1322	1432	1392	931	1002	1317	1001	397	471	169	543	655	622	337	800	572	1228	346	216	247	494	344	611	292	694	302	952	675	500	207	1067	299	148	421	593	197	485	685	402	343	335	663					
2	Число полученных избирательных бюллетеней	67850	1150	1490	1600	1250	1310	1150	780	1450	1220	1480	1240	1110	1440	1000	1270	1520	1150	1990	1160	1120	190	1270	1220	1740	1250	1550	1790	1450	1530	1480	1210	1580	1310	1460	1450	920	970	1310	990	395	470	170	550	650	625	335	795	565	1240	343	216	240	499	345	612	290	704	315	949	676	498	210	1061	297	146	420	588	195	483	676	403	350	335	654					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53651	893	1152	1120	964	988	910	656	1248	952	1113	1035	749	1110	691	1046	1260	857	1475	728	667	156	1147	915	1353	975	1243	1353	1123	1015	1205	839	1109	934	929	1081	707	716	918	750	356	388	158	522	620	585	294	750	423	944	328	216	206	449	295	566	270	614	285	912	652	492	186	1008	290	140	388	516	181	379	588	388	289	304	587					
5	"Число избирательных бюллетеней, выданных вне помещения"	3049	45	40	33	9	25	72	30	32	25	45	41	61	32	41	24	30	70	119	84	99	1	21	31	42	47	55	77	63	204	44	89	83	51	27	67	55	16	65	76	16	10	8	11	20	22	11	45	37	44	11	0	34	41	48	39	19	73	12	28	20	4	12	53	7	6	30	39	8	56	87	12	48	22	45					
6	Число погашенных избирательных бюллетеней	11150	212	298	447	277	297	168	94	170	243	322	164	300	298	268	200	230	223	396	348	354	33	102	274	345	228	252	360	264	311	231	282	388	325	504	302	158	238	327	164	23	72	4	17	10	18	30	0	105	252	4	0	0	9	2	7	1	17	18	9	4	2	12	0	0	0	2	33	6	48	1	3	13	9	22					
7	Число избирательных бюллетеней в переносных ящиках	3049	45	40	33	9	25	72	30	32	25	45	41	61	32	41	24	30	70	119	84	99	1	21	31	42	47	55	77	63	204	44	89	83	51	27	67	55	16	65	76	16	10	8	11	20	22	11	45	37	44	11	0	34	41	48	39	19	73	12	28	20	4	12	53	7	6	30	39	8	56	87	12	48	22	45					
8	Число бюллетеней в стационарных ящиках для голосования	53637	893	1152	1120	960	988	910	656	1248	952	1113	1035	749	1110	689	1046	1260	857	1475	728	667	156	1147	915	1353	975	1243	1353	1123	1015	1197	839	1109	934	929	1081	707	716	918	750	356	388	158	522	620	585	294	750	423	944	328	216	206	449	295	566	270	614	285	912	652	492	186	1008	290	140	388	516	181	379	588	388	289	304	587					
9	Число недействительных избирательных бюллетеней	261	3	2	0	1	5	4	2	8	0	5	8	2	5	9	24	3	1	8	4	10	2	0	2	3	4	5	9	12	10	5	4	9	5	2	3	3	3	8	6	1	6	2	5	0	1	0	8	3	10	5	0	1	0	0	3	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	2	0	0	8					
10	Число действительных избирательных бюллетеней	56425	935	1190	1153	968	1008	978	684	1272	977	1153	1068	808	1137	721	1046	1287	926	1586	808	756	155	1168	944	1392	1018	1293	1421	1174	1209	1236	924	1183	980	954	1145	759	729	975	820	371	392	164	528	640	606	305	787	457	978	334	216	239	490	343	602	289	687	297	936	672	493	198	1061	297	146	418	555	189	435	675	398	337	326	624					
