Выборы Президента Российской Федерации																																																								
Дата голосования: 18.03.2018																																																								
																																																								
Наименование Избирательной комиссии:    Мишкинская																																																								
																																																								
Сводная таблица итогов голосования																																																								
																																																								
	Число участковых избирательных комиссий	45																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	45																																																						
																																																								
		Сумма	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688									
1	"Число избирателей, включенных в список избирателей"	18395	290	138	189	200	172	597	269	464	475	843	631	723	1399	1146	555	418	296	285	552	363	421	179	454	147	256	506	355	153	529	379	360	452	747	266	396	340	155	804	231	215	219	130	120	447	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18576	293	138	192	207	176	602	273	466	481	852	630	732	1404	1155	557	430	307	286	554	365	421	180	454	149	258	509	363	155	537	384	366	453	760	267	399	343	156	812	236	215	223	132	120	453	131									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14018	235	115	153	158	141	489	202	336	351	657	573	571	1146	855	413	313	223	264	424	233	261	131	322	107	181	425	256	112	375	289	259	298	530	208	275	294	124	594	182	162	175	100	91	328	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1223	28	9	12	14	19	46	13	41	56	33	19	46	38	32	31	39	8	10	17	39	39	21	42	11	37	21	29	14	47	19	37	40	73	12	29	17	6	74	22	18	10	9	5	35	6									
6	Число погашенных избирательных бюллетеней	3335	30	14	27	35	16	67	58	89	74	162	38	115	220	268	113	78	76	12	113	93	121	28	90	31	40	63	78	29	115	76	70	115	157	47	95	32	26	144	32	35	38	23	24	90	38									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1223	28	9	12	14	19	46	13	41	56	33	19	46	38	32	31	39	8	10	17	39	39	21	42	11	37	21	29	14	47	19	37	40	73	12	29	17	6	74	22	18	10	9	5	35	6									
8	Число бюллетеней в стационарных ящиках для голосования	14018	235	115	153	158	141	489	202	336	351	657	573	571	1146	855	413	313	223	264	424	233	261	131	322	107	181	425	256	112	375	289	259	298	530	208	275	294	124	594	182	162	175	100	91	328	87									
9	Число недействительных избирательных бюллетеней	121	0	0	2	0	6	0	3	6	1	11	4	1	16	10	5	2	2	2	1	2	2	2	2	0	0	4	3	4	7	1	0	4	3	0	2	0	1	9	0	0	0	1	1	0	1									
10	Число действительных избирательных бюллетеней	15120	263	124	163	172	154	535	212	371	406	679	588	616	1168	877	439	350	229	272	440	270	298	150	362	118	218	442	282	122	415	307	296	334	600	220	302	311	129	659	204	180	185	108	95	363	92									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
13	Бабурин Сергей Николаевич	96	4	0	0	5	3	9	0	1	1	1	6	5	5	2	3	1	0	3	6	4	4	1	3	0	1	3	1	1	1	1	0	0	4	2	6	2	0	3	0	1	0	0	0	1	2									
		0.63%	1.52%	0.00%	0.00%	2.91%	1.88%	1.68%	0.00%	0.27%	0.25%	0.14%	1.01%	0.81%	0.42%	0.23%	0.68%	0.28%	0.00%	1.09%	1.36%	1.47%	1.33%	0.66%	0.82%	0.00%	0.46%	0.67%	0.35%	0.79%	0.24%	0.32%	0.00%	0.00%	0.66%	0.91%	1.97%	0.64%	0.00%	0.45%	0.00%	0.56%	0.00%	0.00%	0.00%	0.28%	2.15%									
14	Грудинин Павел Николаевич	1084	9	14	4	5	8	49	10	17	13	96	72	23	100	88	28	21	13	5	26	21	7	7	36	9	5	11	23	14	7	12	12	42	34	7	45	8	15	40	38	7	11	7	6	53	6									
		7.11%	3.42%	11.29%	2.42%	2.91%	5.00%	9.16%	4.65%	4.51%	3.19%	13.91%	12.16%	3.73%	8.45%	9.92%	6.31%	5.97%	5.63%	1.82%	5.90%	7.72%	2.33%	4.61%	9.89%	7.63%	2.29%	2.47%	8.07%	11.11%	1.66%	3.90%	4.05%	12.43%	5.64%	3.18%	14.80%	2.57%	11.54%	5.99%	18.63%	3.89%	5.95%	6.42%	6.25%	14.60%	6.45%									
15	Жириновский Владимир Вольфович	700	7	4	3	8	5	29	9	17	8	54	33	11	53	56	21	23	17	9	15	28	7	2	16	3	8	8	32	6	6	10	4	22	13	7	26	8	14	33	19	6	6	4	3	17	10									
