Выборы Президента Российской Федерации																																																																																										
Дата голосования: 02.03.2008																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Туймазинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
	Число участковых избирательных комиссий	83																																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	83																																																																																								
																																																																																										
		Сумма	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112					
1	"Число избирателей, включенных в списки избирателей"	91098	2812	2446	2612	2222	2227	2278	2244	2284	1012	1382	1801	1666	1015	2006	1213	1313	1948	1856	1100	2261	2296	2477	2120	974	1769	114	2432	1705	1868	1788	1848	1434	2556	2558	2355	1452	1445	423	585	271	658	232	571	346	620	853	1400	309	802	470	698	241	265	325	412	233	334	406	656	434	655	449	346	1226	562	304	246	523	538	752	1272	418	161	218	138	276	152	718	372	201	633	269	236					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89099	2740	2400	2500	2133	2153	2204	2179	2282	990	1314	1746	1585	972	2006	1132	1330	1950	1778	1047	2130	2220	2363	2031	978	1689	110	2380	1642	1853	1773	1831	1424	2574	2454	2375	1439	1430	419	581	266	651	231	565	343	616	836	1391	302	785	466	692	239	263	321	407	231	333	397	649	426	648	451	340	1214	550	300	246	504	533	741	1259	414	161	220	140	269	152	705	378	198	629	266	234					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	84006	2672	2308	2442	2086	2087	2159	2084	2166	782	1260	1670	1566	945	1882	1090	1267	1912	1752	1019	1841	2140	2260	1942	835	1607	107	2278	1545	1829	1750	1808	1380	2253	2405	2333	1384	1388	349	505	229	619	171	508	202	545	739	1349	246	741	422	659	209	228	274	362	199	319	356	640	378	507	415	297	1096	517	291	215	478	478	708	1119	405	153	176	113	258	136	689	335	161	596	181	199					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3697	8	16	40	40	44	5	37	51	124	52	43	17	24	29	37	46	36	13	26	59	42	70	74	139	34	0	102	67	24	23	23	44	25	37	22	50	42	70	75	37	32	60	57	130	71	97	38	56	43	44	33	30	35	47	45	32	11	41	9	48	137	34	43	116	30	9	30	26	55	33	140	9	8	40	25	10	15	16	33	37	25	85	35					
6	Число погашенных избирательных бюллетеней	1393	60	76	18	7	22	40	58	65	81	2	33	2	3	95	5	17	2	13	2	230	38	33	15	4	48	3	0	30	0	0	0	0	296	12	20	5	0	0	1	0	0	0	0	11	0	0	4	0	1	0	0	0	0	0	0	0	3	0	0	0	4	2	0	2	3	0	1	0	0	0	0	0	0	4	2	1	1	0	10	0	8	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3697	8	16	40	40	44	5	37	51	124	52	43	17	24	29	37	46	36	13	26	59	42	70	74	139	34	0	102	67	24	23	23	44	25	37	22	50	42	70	75	37	32	60	57	130	71	97	38	56	43	44	33	30	35	47	45	32	11	41	9	48	137	34	43	116	30	9	30	26	55	33	140	9	8	40	25	10	15	16	33	37	25	85	35					
8	Число бюллетеней в стационарных ящиках для голосования	84006	2672	2308	2442	2086	2087	2159	2084	2166	782	1260	1670	1566	945	1882	1090	1267	1912	1752	1019	1841	2140	2260	1942	835	1607	107	2278	1545	1829	1750	1808	1380	2253	2405	2333	1384	1388	349	505	229	619	171	508	202	545	739	1349	246	741	422	659	209	228	274	362	199	319	356	640	378	507	415	297	1096	517	291	215	478	478	708	1119	405	153	176	113	258	136	689	335	161	596	181	199					
9	Число недействительных избирательных бюллетеней	263	6	0	0	4	0	8	0	6	7	0	0	0	0	0	11	0	12	0	0	31	7	10	5	0	2	1	21	3	0	0	0	2	33	5	6	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	2	0	0	2	0	7	5	0	0	0	1	0	0	0	0	0	37	5	7					
10	Число действительных избирательных бюллетеней	87440	2674	2324	2482	2122	2131	2156	2121	2211	899	1312	1713	1583	969	1911	1116	1313	1936	1765	1045	1869	2175	2320	2011	974	1639	106	2359	1609	1853	1773	1831	1422	2245	2437	2349	1434	1430	418	580	266	651	231	565	332	607	836	1387	302	784	466	692	239	263	321	406	231	325	396	649	426	644	449	340	1212	545	300	245	502	533	734	1254	414	161	216	137	268	151	705	368	198	584	261	227					
11	Число полученных открепительных  удостоверений	1602	40	35	31	30	23	45	30	25	25	25	45	45	20	40	15	50	30	25	25	25	30	34	27	20	30	0	35	26	60	70	40	30	48	65	40	20	10	22	10	10	8	2	10	5	10	13	10	7	10	5	10	5	2	2	7	16	2	6	8	2	15	8	5	19	7	6	5	17	11	10	15	20	5	10	6	5	2	8	4	3	12	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1420	39	35	28	15	21	40	18	22	21	20	42	43	14	30	14	46	30	21	18	25	30	34	27	15	30	0	33	26	60	70	40	30	48	60	40	15	7	19	4	4	8	2	9	5	10	9	8	7	5	5	10	5	2	2	3	14	0	4	8	1	15	8	3	18	6	3	2	12	11	10	15	13	4	6	4	5	0	7	2	0	12	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	645	5	15	18	14	14	44	13	13	1	13	6	10	3	5	12	14	10	9	4	18	8	13	7	8	6	107	17	16	0	0	0	0	13	25	16	3	7	8	5	2	7	1	0	2	6	12	7	3	6	0	0	1	0	1	6	1	3	2	2	8	5	12	5	8	7	0	1	2	1	6	0	0	1	4	2	4	0	5	0	1	5	4	2					
14	Число неиспользованных открепительных удостоверений	182	1	0	3	15	2	5	12	3	4	5	3	2	6	10	1	4	0	4	7	0	0	0	0	5	0	0	2	0	0	0	0	0	0	5	0	5	3	3	6	6	0	0	1	0	0	4	2	0	5	0	0	0	0	0	4	2	2	2	0	1	0	0	2	1	1	3	3	5	0	0	0	7	1	4	2	0	2	1	2	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	111	3	1	3	2	3	1	0	1	0	2	3	5	0	3	0	1	6	1	0	2	3	9	3	1	4	0	0	1	1	2	2	0	14	5	7	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	1					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																										
18	Богданов Андрей Владимирович	551	7	3	10	4	14	5	8	5	10	13	9	12	3	5	6	11	9	9	3	11	39	20	11	8	8	1	19	7	8	9	50	30	41	24	16	5	0	2	7	0	0	0	0	0	0	8	7	0	0	0	2	1	2	0	0	0	2	2	3	7	5	4	4	10	4	0	2	2	1	6	3	2	1	0	0	0	1	1	3	1	2	1	2					
		0.63%	0.26%	0.13%	0.40%	0.19%	0.66%	0.23%	0.38%	0.23%	1.10%	0.99%	0.53%	0.76%	0.31%	0.26%	0.53%	0.84%	0.46%	0.51%	0.29%	0.58%	1.79%	0.86%	0.55%	0.82%	0.49%	0.93%	0.80%	0.43%	0.43%	0.51%	2.73%	2.11%	1.80%	0.98%	0.68%	0.35%	0.00%	0.48%	1.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.50%	0.00%	0.00%	0.00%	0.29%	0.42%	0.76%	0.00%	0.00%	0.00%	0.61%	0.50%	0.46%	1.64%	0.78%	0.89%	1.18%	0.83%	0.73%	0.00%	0.82%	0.40%	0.19%	0.81%	0.24%	0.48%	0.62%	0.00%	0.00%	0.00%	0.66%	0.14%	0.82%	0.51%	0.32%	0.38%	0.85%					
19	Жириновский Владимир Вольфович	2142	68	26	65	49	63	38	59	13	50	39	17	27	9	47	15	61	49	62	42	40	70	41	50	18	71	1	96	30	58	11	57	48	231	49	34	21	31	8	10	0	7	2	8	2	19	15	42	9	3	2	4	1	5	1	1	1	9	4	10	7	10	8	5	44	13	4	7	5	6	28	12	9	2	3	0	3	5	5	4	2	32	3	6					
		2.44%	2.54%	1.12%	2.62%	2.30%	2.96%	1.76%	2.78%	0.59%	5.52%	2.97%	0.99%	1.71%	0.93%	2.46%	1.33%	4.65%	2.52%	3.51%	4.02%	2.11%	3.21%	1.76%	2.48%	1.85%	4.33%	0.93%	4.03%	1.86%	3.13%	0.62%	3.11%	3.37%	10.14%	2.01%	1.44%	1.46%	2.17%	1.91%	1.72%	0.00%	1.08%	0.87%	1.42%	0.60%	3.08%	1.79%	3.03%	2.98%	0.38%	0.43%	0.58%	0.42%	1.90%	0.31%	0.25%	0.43%	2.73%	1.01%	1.54%	1.64%	1.55%	1.78%	1.47%	3.63%	2.38%	1.33%	2.86%	0.99%	1.13%	3.78%	0.95%	2.17%	1.24%	1.39%	0.00%	1.12%	3.31%	0.71%	1.09%	1.01%	5.15%	1.13%	2.56%					
20	Зюганов Геннадий Андреевич	5321	123	93	58	153	90	104	144	191	185	52	145	37	29	85	102	119	123	88	60	105	130	298	127	66	88	23	260	43	105	30	62	61	447	122	93	82	74	20	25	18	25	5	48	8	26	52	56	15	11	14	7	2	6	6	2	6	6	12	39	20	17	13	8	123	69	17	37	17	54	41	105	6	5	7	1	10	1	30	10	2	84	17	21					
		6.07%	4.59%	4.00%	2.34%	7.20%	4.22%	4.81%	6.79%	8.62%	20.42%	3.96%	8.46%	2.34%	2.99%	4.45%	9.05%	9.06%	6.31%	4.99%	5.74%	5.53%	5.96%	12.79%	6.30%	6.78%	5.36%	21.50%	10.92%	2.67%	5.67%	1.69%	3.39%	4.28%	19.62%	4.99%	3.95%	5.72%	5.17%	4.77%	4.31%	6.77%	3.84%	2.16%	8.50%	2.41%	4.22%	6.22%	4.04%	4.97%	1.40%	3.00%	1.01%	0.84%	2.28%	1.87%	0.49%	2.60%	1.82%	3.02%	6.01%	4.69%	2.64%	2.90%	2.35%	10.15%	12.61%	5.67%	15.10%	3.37%	10.13%	5.53%	8.34%	1.45%	3.11%	3.24%	0.72%	3.73%	0.66%	4.26%	2.72%	1.01%	13.53%	6.39%	8.97%					
21	Медведев Дмитрий Анатольевич	79426	2476	2202	2349	1916	1964	2009	1910	2002	654	1208	1542	1507	928	1774	993	1122	1755	1606	940	1713	1936	1961	1823	882	1472	81	1984	1529	1682	1723	1662	1283	1526	2242	2206	1326	1325	388	538	248	619	224	509	322	562	761	1282	278	770	450	679	235	250	314	403	224	308	378	597	392	612	424	323	1035	459	279	199	478	472	659	1134	397	153	206	136	255	144	669	351	193	466	240	198					
		90.56%	92.39%	94.75%	94.64%	90.12%	92.16%	92.84%	90.05%	90.30%	72.19%	92.07%	90.02%	95.20%	95.77%	92.83%	88.11%	85.45%	90.09%	90.99%	89.95%	90.16%	88.73%	84.16%	90.43%	90.55%	89.70%	75.70%	83.36%	94.85%	90.77%	97.18%	90.77%	90.10%	66.99%	91.81%	93.67%	92.47%	92.66%	92.60%	92.76%	93.23%	95.08%	96.97%	90.09%	96.99%	91.23%	91.03%	92.43%	92.05%	98.21%	96.57%	98.12%	98.33%	95.06%	97.82%	99.02%	96.97%	93.33%	95.21%	91.99%	92.02%	95.03%	94.43%	95.00%	85.40%	83.91%	93.00%	81.22%	94.84%	88.56%	88.93%	90.07%	95.89%	95.03%	95.37%	98.55%	95.15%	95.36%	94.89%	95.38%	97.47%	75.04%	90.23%	84.62%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
