Выборы Президента Российской Федерации																																																																																													
Дата голосования: 04.03.2012																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Учалинская																																																																																													
																																																																																													
Сводная таблица итогов голосования																																																																																													
																																																																																													
	Число участковых избирательных комиссий	82																																																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	82																																																																																											
																																																																																													
		Сумма	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204									
1	Число избирателей, включенных в список избирателей	57399	354	520	1227	866	623	548	228	85	81	164	107	947	455	718	295	236	134	379	482	590	540	695	554	602	1560	363	403	236	399	387	576	463	278	1100	143	182	430	406	448	155	253	126	208	164	197	903	253	225	203	1535	248	459	854	515	453	815	513	826	402	269	1513	1495	436	1078	1390	1365	1345	1528	1327	1309	1334	1446	1435	1526	1512	1483	1512	1394	1514	1383	1421	273									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	55244	360	520	1200	850	620	550	232	90	84	170	110	900	450	760	290	245	135	385	530	670	530	700	580	600	1500	370	410	240	405	380	590	450	280	1050	143	180	460	400	450	155	255	130	210	160	195	900	255	210	200	1300	255	450	800	550	450	800	580	800	400	270	1250	1350	430	1050	1350	1270	1150	1400	1250	1250	1250	1350	1350	1350	1350	1350	1400	1400	1450	1350	1400	300									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	47141	321	432	954	666	546	472	193	77	61	142	84	832	375	532	239	185	101	336	345	488	458	553	396	383	1173	268	276	182	334	321	495	390	255	867	105	146	380	380	410	143	227	109	193	152	136	777	210	200	163	1038	220	387	648	389	407	690	452	640	360	267	1168	1163	352	909	1228	1207	935	1292	1142	1041	1080	1275	1284	1277	1269	1242	1095	1313	1289	1219	1373	27									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3963	22	70	107	97	24	38	35	8	18	8	14	50	28	68	30	22	21	40	71	102	72	28	64	141	235	56	41	30	30	43	41	41	23	108	18	23	50	16	6	8	11	17	7	8	35	60	21	10	17	66	7	40	41	60	16	92	37	52	30	2	28	162	50	15	10	45	65	68	103	117	18	41	38	55	39	53	107	8	53	50	27	235									
6	Число погашенных избирательных бюллетеней	4140	17	18	139	87	50	40	4	5	5	20	12	18	47	160	21	38	13	9	114	80	0	119	120	76	92	46	93	28	41	16	54	19	2	75	20	11	30	4	34	4	17	4	10	0	24	63	24	0	20	196	28	23	111	101	27	18	91	108	10	1	54	25	28	126	112	18	150	40	5	92	152	34	28	18	42	55	198	79	108	81	0	38									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3963	22	70	107	97	24	38	35	8	18	8	14	50	28	68	30	22	21	40	71	102	72	28	64	141	235	56	41	30	30	43	41	41	23	108	18	23	50	16	6	8	11	17	7	8	35	60	21	10	17	66	7	40	41	60	16	92	37	52	30	2	28	162	50	15	10	45	65	68	103	117	18	41	38	55	39	53	107	8	53	50	27	235									
8	Число бюллетеней в стационарных ящиках для голосования	47063	321	432	954	665	546	472	193	77	61	142	84	832	375	532	239	185	101	336	345	488	458	551	396	383	1170	268	276	182	334	321	495	390	255	867	105	146	380	380	410	143	227	109	193	152	136	777	210	200	163	1036	220	387	648	389	407	690	452	640	360	267	1168	1163	346	909	1228	1188	935	1292	1142	1037	1080	1250	1284	1277	1269	1242	1095	1301	1285	1219	1373	27									
9	Число недействительных избирательных бюллетеней	619	0	0	2	5	2	1	0	0	0	1	0	2	1	10	10	1	0	0	7	3	0	5	4	0	13	0	1	0	2	1	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	7	2	0	3	7	4	3	8	7	0	0	0	11	3	55	0	30	7	11	129	15	13	42	12	27	90	6	5	0	7	0	36	0									
10	Число действительных избирательных бюллетеней	50407	343	502	1059	757	568	509	228	85	79	149	98	880	402	590	259	206	122	376	409	587	530	574	456	524	1392	324	316	212	362	363	534	431	278	975	121	168	430	396	416	151	238	126	199	160	171	836	230	210	180	1095	225	427	686	442	419	779	481	685	390	269	1196	1314	393	869	1238	1203	993	1349	1116	1139	1085	1249	1310	1305	1218	1289	1197	1309	1331	1269	1364	262									
11	Число полученных открепительных  удостоверений	2165	25	40	100	55	35	60	15	5	2	1	3	10	8	30	9	10	4	20	10	21	20	40	50	55	102	35	35	25	20	20	40	50	30	40	5	2	25	25	7	15	5	7	10	15	10	60	15	5	15	80	10	20	38	15	30	20	17	20	12	10	25	30	11	25	45	41	25	26	25	25	25	25	43	25	25	38	27	45	36	47	33	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	2108	25	40	100	55	35	60	15	5	2	1	3	10	7	30	9	4	4	20	9	21	20	40	50	55	102	35	35	25	20	16	37	50	30	36	5	2	25	25	5	15	5	7	10	15	10	60	15	5	15	75	10	15	38	15	24	20	17	18	12	10	25	30	11	22	45	41	22	26	19	25	25	24	43	25	25	38	27	40	36	47	33	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1070	3	15	15	7	8	7	5	3	4	4	4	8	9	13	3	1	4	12	3	8	9	11	14	14	19	10	3	5	4	11	8	9	9	3	7	4	9	6	7	4	3	10	3	1	4	13	3	5	6	14	2	5	9	8	8	4	12	18	2	3	12	16	11	14	29	37	41	35	29	26	36	66	33	16	38	46	24	21	19	45	14	27									
14	Число неиспользованных открепительных удостоверений	57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	6	0	0	2	0	0	0	0	0	3	0	0	3	0	6	0	0	1	0	0	0	0	0	5	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	135	0	2	0	1	2	3	0	0	0	1	0	0	1	0	0	0	0	1	0	2	3	0	4	0	2	3	0	0	3	1	5	0	0	3	0	0	1	0	1	0	0	1	0	1	1	2	0	0	0	3	0	1	3	2	3	4	2	2	2	0	2	2	0	3	6	4	5	3	1	1	3	1	5	2	1	3	3	5	9	5	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																													
19	Жириновский Владимир Вольфович	644	0	1	5	3	4	1	0	0	0	0	0	12	4	9	2	1	1	4	4	5	1	5	3	1	17	2	4	1	3	2	1	5	0	3	2	1	2	1	9	0	1	1	0	0	3	4	4	2	2	18	4	3	6	10	2	6	9	11	3	2	42	42	4	14	5	25	17	20	17	21	17	15	23	25	34	5	27	14	24	12	23	8									
