Выборы Президента Российской Федерации																																																																
Дата голосования: 18.03.2018																																																																
																																																																
Наименование Избирательной комиссии:    Чишминская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																														
																																																																
		Сумма	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360									
1	"Число избирателей, включенных в список избирателей"	39239	672	730	204	436	426	631	579	665	291	348	217	222	409	173	201	427	221	582	525	304	304	396	350	301	598	480	2074	1261	498	253	356	782	320	1391	619	393	258	347	304	361	334	1260	958	399	960	2138	1179	1167	2210	2106	2151	2465	2003									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38424	673	718	207	444	429	626	595	686	296	358	229	224	436	173	208	416	234	601	555	304	314	406	352	308	605	476	2050	1266	498	242	364	792	319	1447	622	405	263	347	308	370	339	1260	990	397	984	1988	1160	1075	2057	1895	1915	2308	1890									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28969	584	494	176	361	187	467	500	527	205	291	183	200	382	149	181	371	170	430	413	234	251	363	315	241	483	358	1434	929	403	197	278	624	280	1038	450	314	198	292	254	289	212	927	762	361	560	1561	713	831	1769	1567	1399	1562	1249									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2584	60	42	12	68	96	45	47	45	26	38	27	15	20	19	18	31	34	43	68	20	35	29	16	37	58	26	59	21	70	42	60	80	12	107	60	54	40	44	37	52	30	182	79	30	35	63	36	38	33	45	168	81	51									
6	Число погашенных избирательных бюллетеней	6871	29	182	19	15	146	114	48	114	65	29	19	9	34	5	9	14	30	128	74	50	28	14	21	30	64	92	557	316	25	3	26	88	27	302	112	37	25	11	17	29	97	151	149	6	389	364	411	206	255	283	348	665	590									
