Выборы Президента Российской Федерации																																											
Дата голосования: 18.03.2018																																											
																																											
Наименование Избирательной комиссии:    Закаменская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	32																																									
																																											
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238									
1	"Число избирателей, включенных в список избирателей"	18407	236	373	1081	420	309	170	160	535	182	409	434	302	164	408	659	321	484	540	182	687	716	244	589	932	1134	1621	1203	1304	804	487	560	757									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19262	244	392	1112	443	334	172	166	579	199	423	484	328	181	415	736	323	489	538	189	714	768	233	600	970	1160	1700	1380	1270	840	500	620	760									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2114	110	118	253	95	96	23	30	51	35	95	22	136	45	119	45	53	105	141	53	86	145	33	39	113	0	0	0	0	0	0	0	73									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11579	117	228	754	305	167	141	118	454	137	276	325	148	107	261	400	242	301	313	123	519	481	193	345	475	554	1248	519	750	397	244	525	412									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1645	9	27	70	20	46	0	11	30	10	16	36	12	11	20	92	23	64	84	6	55	64	7	62	36	41	132	227	32	59	195	35	113									
6	Число погашенных избирательных бюллетеней	3924	8	19	35	23	25	8	7	44	17	36	101	32	18	15	199	5	19	0	7	54	78	0	154	346	565	320	634	488	384	61	60	162									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3759	119	145	323	115	142	23	41	81	45	111	58	148	56	139	137	76	169	225	59	141	209	40	101	149	41	132	227	32	59	195	35	186									
8	Число бюллетеней в стационарных ящиках для голосования	11577	117	228	754	305	167	141	118	454	137	276	323	148	107	261	400	242	301	313	123	519	481	193	345	475	554	1248	519	750	397	244	525	412									
9	Число недействительных избирательных бюллетеней	116	9	2	3	0	0	1	6	0	0	2	2	0	1	0	5	2	0	0	0	5	2	3	6	10	8	20	6	5	2	5	1	10									
10	Число действительных избирательных бюллетеней	15220	227	371	1074	420	309	163	153	535	182	385	379	296	162	400	532	316	470	538	182	655	688	230	440	614	587	1360	740	777	454	434	559	588									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
13	Бабурин Сергей Николаевич	25	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	1	7	2	1	2	3	2	0	0	0									
		0.16%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.61%	0.00%	0.19%	0.31%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	1.12%	0.34%	0.07%	0.27%	0.38%	0.44%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	1580	0	10	32	20	21	18	2	33	3	8	40	1	11	12	83	9	6	6	10	64	102	7	27	69	81	330	93	234	51	70	48	79									
		10.30%	0.00%	2.68%	2.97%	4.76%	6.80%	10.98%	1.26%	6.17%	1.65%	2.07%	10.50%	0.34%	6.75%	3.00%	15.46%	2.83%	1.28%	1.12%	5.49%	9.70%	14.78%	3.00%	6.05%	11.06%	13.61%	23.91%	12.47%	29.92%	11.18%	15.95%	8.57%	13.21%									
15	Жириновский Владимир Вольфович	518	1	0	5	2	1	0	0	6	0	0	10	4	0	8	36	2	3	0	4	26	6	5	39	42	39	55	54	47	34	24	35	30									
		3.38%	0.42%	0.00%	0.46%	0.48%	0.32%	0.00%	0.00%	1.12%	0.00%	0.00%	2.62%	1.35%	0.00%	2.00%	6.70%	0.63%	0.64%	0.00%	2.20%	3.94%	0.87%	2.15%	8.74%	6.73%	6.55%	3.99%	7.24%	6.01%	7.46%	5.47%	6.25%	5.02%									
16	Путин Владимир Владимирович	12869	225	356	1015	392	283	143	151	484	178	377	320	288	149	377	397	302	456	532	168	555	575	215	368	483	454	964	575	479	359	317	466	466									
		83.91%	95.34%	95.44%	94.24%	93.33%	91.59%	87.20%	94.97%	90.47%	97.80%	97.42%	83.99%	97.30%	91.41%	94.25%	73.93%	94.97%	97.02%	98.88%	92.31%	84.09%	83.33%	92.27%	82.51%	77.40%	76.30%	69.86%	77.08%	61.25%	78.73%	72.21%	83.21%	77.93%									
17	Собчак Ксения Анатольевна	134	0	3	14	3	1	1	0	10	1	0	5	3	0	2	6	2	3	0	0	5	5	2	2	6	6	5	12	6	4	12	7	8									
		0.87%	0.00%	0.80%	1.30%	0.71%	0.32%	0.61%	0.00%	1.87%	0.55%	0.00%	1.31%	1.01%	0.00%	0.50%	1.12%	0.63%	0.64%	0.00%	0.00%	0.76%	0.72%	0.86%	0.45%	0.96%	1.01%	0.36%	1.61%	0.77%	0.88%	2.73%	1.25%	1.34%									
18	Сурайкин Максим Александрович	35	0	1	3	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	4	0	0	1	1	1	2	1	5	1	4	0	5									
		0.23%	0.00%	0.27%	0.28%	0.24%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.22%	0.16%	0.17%	0.14%	0.13%	0.64%	0.22%	0.91%	0.00%	0.84%									
19	Титов Борис Юрьевич	21	0	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	5	0	2	2	1	1	1	1	0									
		0.14%	0.00%	0.00%	0.09%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.80%	0.00%	0.14%	0.27%	0.13%	0.22%	0.23%	0.18%	0.00%									
20	Явлинский Григорий Алексеевич	38	0	1	4	2	1	0	0	2	0	0	2	0	1	0	3	0	0	0	0	1	0	1	1	1	4	1	1	2	2	6	2	0									
		0.25%	0.00%	0.27%	0.37%	0.48%	0.32%	0.00%	0.00%	0.37%	0.00%	0.00%	0.52%	0.00%	0.61%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.43%	0.22%	0.16%	0.67%	0.07%	0.13%	0.26%	0.44%	1.37%	0.36%	0.00%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
