Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Кижингинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в список"	11847	185	321	1319	346	197	393	2791	1720	58	223	333	115	520	151	188	603	489	388	164	740	603					
2	Число полученных избирательных бюллетеней	11800	180	320	1350	370	190	380	2640	1650	55	230	360	100	535	140	190	680	475	420	155	770	610					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9081	151	234	930	266	163	260	2234	1335	50	160	284	92	408	134	172	469	364	311	130	502	432					
5	"Число избирательных бюллетеней, выданных вне помещения"	611	8	43	41	17	14	51	72	88	3	30	14	8	16	2	0	32	14	18	12	69	59					
6	Число погашенных избирательных бюллетеней	2108	21	43	379	87	13	69	334	227	2	40	62	0	111	4	18	179	97	91	13	199	119					
7	Число избирательных бюллетеней в переносных ящиках	611	8	43	41	17	14	51	72	88	3	30	14	8	16	2	0	32	14	18	12	69	59					
8	Число бюллетеней в стационарных ящиках для голосования	9081	151	234	930	266	163	260	2234	1335	50	160	284	92	408	134	172	469	364	311	130	502	432					
9	Число недействительных избирательных бюллетеней	128	4	6	14	6	4	0	19	11	0	5	5	1	10	1	1	1	10	4	4	16	6					
10	Число действительных избирательных бюллетеней	9564	155	271	957	277	173	311	2287	1412	53	185	293	99	414	135	171	500	368	325	138	555	485					
11	Число полученных открепительных  удостоверений	500	5	15	55	20	10	15	85	75	5	10	30	10	20	5	10	20	20	20	10	30	30					
12	Число выданных открепительных удостоверений	207	1	0	41	18	2	5	39	5	2	10	26	10	0	0	2	19	0	19	3	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	3	1	15	3	0	1	18	1	1	4	2	1	2	1	3	1	2	2	3	5	0					
14	Число неиспользованных открепительных удостоверений	293	4	15	14	2	8	10	46	70	3	0	4	0	20	5	8	1	20	1	7	27	28					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	241	22	10	34	13	2	4	52	31	0	4	4	1	9	4	2	16	8	2	3	8	12					
		2.49%	13.84%	3.61%	3.50%	4.59%	1.13%	1.29%	2.25%	2.18%	0.00%	2.11%	1.34%	1.00%	2.12%	2.94%	1.16%	3.19%	2.12%	0.61%	2.11%	1.40%	2.44%					
19	. Малышкин Олег Александрович	111	2	5	23	0	3	4	14	6	0	0	7	0	8	3	0	4	10	4	1	4	13					
		1.15%	1.26%	1.81%	2.37%	0.00%	1.69%	1.29%	0.61%	0.42%	0.00%	0.00%	2.35%	0.00%	1.89%	2.21%	0.00%	0.80%	2.65%	1.22%	0.70%	0.70%	2.65%					
20	. Миронов Сергей Михайлович	58	2	1	9	2	0	0	21	7	0	1	0	0	2	0	1	4	3	1	0	0	4					
		0.60%	1.26%	0.36%	0.93%	0.71%	0.00%	0.00%	0.91%	0.49%	0.00%	0.53%	0.00%	0.00%	0.47%	0.00%	0.58%	0.80%	0.79%	0.30%	0.00%	0.00%	0.81%					
21	. Путин Владимир Владимирович	7547	81	178	686	193	115	232	1902	1186	46	133	250	81	323	111	158	368	274	275	104	475	376					
		77.87%	50.94%	64.26%	70.65%	68.20%	64.97%	74.60%	82.48%	83.35%	86.79%	70.00%	83.89%	81.00%	76.18%	81.62%	91.86%	73.45%	72.49%	83.59%	73.24%	83.19%	76.58%					
22	. Хакамада Ирина Муцуовна	502	19	2	26	33	1	35	157	78	1	17	18	7	9	2	3	30	8	6	8	37	5					
		5.18%	11.95%	0.72%	2.68%	11.66%	0.56%	11.25%	6.81%	5.48%	1.89%	8.95%	6.04%	7.00%	2.12%	1.47%	1.74%	5.99%	2.12%	1.82%	5.63%	6.48%	1.02%					
23	. Харитонов Николай Михайлович	1033	27	74	166	34	51	33	125	96	5	25	10	10	59	15	7	76	64	37	21	30	68					
		10.66%	16.98%	26.71%	17.10%	12.01%	28.81%	10.61%	5.42%	6.75%	9.43%	13.16%	3.36%	10.00%	13.92%	11.03%	4.07%	15.17%	16.93%	11.25%	14.79%	5.25%	13.85%					
																												
24	Против всех	72	2	1	13	2	1	3	16	8	1	5	4	0	4	0	0	2	1	0	1	1	7					
		0.74%	1.26%	0.36%	1.34%	0.71%	0.56%	0.96%	0.69%	0.56%	1.89%	2.63%	1.34%	0.00%	0.94%	0.00%	0.00%	0.40%	0.26%	0.00%	0.70%	0.18%	1.43%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
