Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Тарбагатайская 																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582					
1	"Число избирателей, внесенных в список"	11604	779	731	332	1006	559	203	330	1614	1609	381	743	122	237	309	180	665	1086	367	134	217					
2	Число полученных избирательных бюллетеней	11600	780	727	331	1016	560	206	337	1610	1641	376	734	123	236	310	180	644	1070	371	136	212					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7723	583	492	228	640	420	176	196	924	829	318	471	110	197	233	140	411	861	241	84	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	1018	49	50	40	112	74	9	44	127	131	45	68	5	15	33	20	94	15	40	33	14					
6	Число погашенных избирательных бюллетеней	2859	148	185	63	264	66	21	97	559	681	13	195	8	24	44	20	139	194	90	19	29					
7	Число избирательных бюллетеней в переносных ящиках	1018	49	50	40	112	74	9	44	127	131	45	68	5	15	33	20	94	15	40	33	14					
8	Число бюллетеней в стационарных ящиках для голосования	7721	583	492	228	638	420	176	196	924	829	318	471	110	197	233	140	411	861	241	84	169					
9	Число недействительных избирательных бюллетеней	147	16	22	3	18	4	0	6	7	21	10	5	1	3	6	0	4	15	3	2	1					
10	Число действительных избирательных бюллетеней	8592	616	520	265	732	490	185	234	1044	939	353	534	114	209	260	160	501	861	278	115	182					
11	Число полученных открепительных  удостоверений	400	28	25	15	35	20	15	15	40	40	15	20	8	12	15	10	20	30	15	10	12					
12	Число выданных открепительных удостоверений	55	9	0	0	5	0	0	0	8	13	1	3	0	0	0	0	4	11	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	7	5	2	0	2	0	1	5	2	2	11	0	2	2	1	4	3	3	1	0					
14	Число неиспользованных открепительных удостоверений	345	19	25	15	30	20	15	15	32	27	14	17	8	12	15	10	16	19	14	10	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	184	15	17	3	12	8	21	2	25	19	5	5	2	0	6	1	5	28	8	2	0					
		2.11%	2.37%	3.14%	1.12%	1.60%	1.62%	11.35%	0.83%	2.38%	1.98%	1.38%	0.93%	1.74%	0.00%	2.26%	0.62%	0.99%	3.20%	2.85%	1.71%	0.00%					
19	. Малышкин Олег Александрович	167	27	12	9	16	13	1	2	13	19	4	14	1	3	4	2	3	9	11	2	2					
		1.91%	4.27%	2.21%	3.36%	2.13%	2.63%	0.54%	0.83%	1.24%	1.98%	1.10%	2.60%	0.87%	1.42%	1.50%	1.25%	0.59%	1.03%	3.91%	1.71%	1.09%					
20	. Миронов Сергей Михайлович	71	8	3	3	5	2	2	1	10	14	0	4	0	2	0	1	7	6	1	1	1					
		0.81%	1.27%	0.55%	1.12%	0.67%	0.40%	1.08%	0.42%	0.95%	1.46%	0.00%	0.74%	0.00%	0.94%	0.00%	0.62%	1.39%	0.68%	0.36%	0.85%	0.55%					
21	. Путин Владимир Владимирович	5625	412	249	154	300	299	111	196	712	630	246	395	97	146	121	129	348	670	202	89	119					
		64.37%	65.19%	45.94%	57.46%	40.00%	60.53%	60.00%	81.67%	67.75%	65.62%	67.77%	73.28%	84.35%	68.87%	45.49%	80.62%	68.91%	76.48%	71.89%	76.07%	65.03%					
22	. Хакамада Ирина Муцуовна	190	27	9	8	8	4	0	0	27	22	5	9	1	2	4	0	11	31	11	2	9					
		2.17%	4.27%	1.66%	2.99%	1.07%	0.81%	0.00%	0.00%	2.57%	2.29%	1.38%	1.67%	0.87%	0.94%	1.50%	0.00%	2.18%	3.54%	3.91%	1.71%	4.92%					
23	. Харитонов Николай Михайлович	2218	114	220	83	383	158	48	31	244	211	87	100	13	52	124	26	114	106	41	18	45					
		25.38%	18.04%	40.59%	30.97%	51.07%	31.98%	25.95%	12.92%	23.22%	21.98%	23.97%	18.55%	11.30%	24.53%	46.62%	16.25%	22.57%	12.10%	14.59%	15.38%	24.59%					
																											
24	Против всех	137	13	10	5	8	6	2	2	13	24	6	7	0	4	1	1	13	11	4	1	6					
		1.57%	2.06%	1.85%	1.87%	1.07%	1.21%	1.08%	0.83%	1.24%	2.50%	1.65%	1.30%	0.00%	1.89%	0.38%	0.62%	2.57%	1.26%	1.42%	0.85%	3.28%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
