Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ботлихская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в список"	26482	74	687	300	2040	105	29	700	1919	115	33	223	215	2427	1218	1550	282	44	1359	280	1387	38	44	102	488	230	319	160	33	903	1512	280	38	874	1473	415	135	268	1760	400	360	220	110	776	90	467					
2	Число полученных избирательных бюллетеней	26700	76	690	300	2050	103	30	700	2000	115	33	215	216	2292	1250	1550	270	41	1400	280	1400	40	45	100	500	230	320	160	33	900	1550	280	40	860	1500	410	135	265	1800	400	360	220	110	780	90	561					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24734	72	620	300	1965	101	25	670	1694	108	33	215	200	2244	1206	1456	258	38	1235	280	1138	34	42	97	475	230	295	160	33	900	1451	269	37	698	1421	391	135	241	1643	356	355	220	110	745	89	449					
5	"Число избирательных бюллетеней, выданных вне помещения"	434	0	0	0	30	0	0	18	20	0	0	0	0	5	0	0	0	0	64	0	149	0	0	0	13	0	12	0	0	0	0	4	0	65	18	8	0	10	0	9	0	0	0	9	0	0					
6	Число погашенных избирательных бюллетеней	1532	4	70	0	55	2	5	12	286	7	0	0	16	43	44	94	12	3	101	0	113	6	3	3	12	0	13	0	0	0	99	7	3	97	61	11	0	14	157	35	5	0	0	26	1	112					
7	Число избирательных бюллетеней в переносных ящиках	434	0	0	0	30	0	0	18	20	0	0	0	0	5	0	0	0	0	64	0	149	0	0	0	13	0	12	0	0	0	0	4	0	65	18	8	0	10	0	9	0	0	0	9	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	24723	72	620	300	1965	101	25	670	1694	108	33	215	200	2244	1206	1456	258	38	1235	280	1138	34	42	97	475	230	295	160	33	900	1451	269	37	698	1421	391	135	241	1643	356	355	220	110	734	89	449					
9	Число недействительных избирательных бюллетеней	76	0	0	0	5	0	0	0	11	0	0	0	0	8	1	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	13	1	0	1	3	0	0	0	3	10	0	0	0	0	0	6					
10	Число действительных избирательных бюллетеней	25081	72	620	300	1990	101	25	688	1703	108	33	215	200	2241	1205	1453	258	38	1299	280	1276	34	42	97	488	230	307	160	33	900	1438	272	37	762	1436	399	135	251	1640	355	355	220	110	743	89	443					
11	Число полученных открепительных  удостоверений	499	5	20	5	20	5	4	10	20	5	5	10	5	30	20	20	10	5	15	5	25	5	5	5	10	5	10	10	5	20	20	10	5	15	25	10	5	10	25	10	10	10	5	15	5	0					
12	Число выданных открепительных удостоверений	15	0	0	0	0	1	0	0	0	0	0	0	1	3	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	484	5	20	5	20	4	4	10	20	5	5	10	4	27	19	16	10	5	15	5	24	5	5	5	10	5	10	10	5	20	18	10	5	15	24	10	5	9	25	10	10	10	5	15	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
