Выборы Президента Российской Федерации																																																																			
Дата голосования: 18.03.2018																																																																			
																																																																			
Наименование Избирательной комиссии:    Дахадаевская																																																																			
																																																																			
Сводная таблица итогов голосования																																																																			
																																																																			
	Число участковых избирательных комиссий	56																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	56																																																																	
																																																																			
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436									
1	"Число избирателей, включенных в список избирателей"	25769	1395	1011	1374	743	488	368	76	948	685	646	417	597	249	712	662	245	498	206	214	136	830	1102	1175	1145	7	1063	265	167	425	441	115	253	164	218	247	191	120	63	111	144	59	528	318	161	270	162	487	44	234	1123	1190	206	241	221	380	229									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26681	1440	1040	1410	760	510	385	95	970	700	660	455	610	255	740	700	260	510	210	240	140	830	1140	1200	1160	7	1110	280	170	440	440	115	250	170	225	260	200	121	95	120	160	60	560	345	170	280	165	510	45	245	1188	1210	215	255	230	380	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23061	1274	968	1308	685	444	327	73	871	539	639	414	543	224	613	639	232	457	187	214	123	800	915	1105	1025	7	947	241	151	397	154	28	168	148	135	172	125	55	63	95	131	44	449	295	146	244	145	467	40	217	1091	1085	195	221	213	361	212									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	742	97	32	17	0	29	11	3	50	110	0	3	0	0	25	3	0	1	0	0	0	0	180	0	4	0	30	5	0	11	13	3	11	13	0	1	2	5	0	0	0	3	18	0	0	0	3	10	0	5	20	21	0	0	0	3	0									
6	Число погашенных избирательных бюллетеней	2878	69	40	85	75	37	47	19	49	51	21	38	67	31	102	58	28	52	23	26	17	30	45	95	131	0	133	34	19	32	273	84	71	9	90	87	73	61	32	25	29	13	93	50	24	36	17	33	5	23	77	104	20	34	17	16	28									
7	Число избирательных бюллетеней в переносных ящиках для голосования	742	97	32	17	0	29	11	3	50	110	0	3	0	0	25	3	0	1	0	0	0	0	180	0	4	0	30	5	0	11	13	3	11	13	0	1	2	5	0	0	0	3	18	0	0	0	3	10	0	5	20	21	0	0	0	3	0									
8	Число бюллетеней в стационарных ящиках для голосования	23061	1274	968	1308	685	444	327	73	871	539	639	414	543	224	613	639	232	457	187	214	123	800	915	1105	1025	7	947	241	151	397	154	28	168	148	135	172	125	55	63	95	131	44	449	295	146	244	145	467	40	217	1091	1085	195	221	213	361	212									
9	Число недействительных избирательных бюллетеней	59	1	0	0	2	2	0	0	0	1	0	0	1	2	0	0	0	1	1	5	0	2	0	0	0	0	0	0	0	2	2	1	0	6	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	4	1	0	0	20	0									
10	Число действительных избирательных бюллетеней	23744	1370	1000	1325	683	471	338	76	921	648	639	417	542	222	638	642	232	457	186	209	123	798	1095	1105	1029	7	977	246	151	406	165	30	179	155	135	173	127	60	63	94	131	47	466	295	145	243	148	476	40	222	1111	1102	194	221	213	344	212									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
13	Бабурин Сергей Николаевич	32	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	2	1	1	0	0	2	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	3	2	0	0	0	1	0									
		0.13%	0.07%	0.00%	0.00%	0.15%	0.21%	0.00%	1.32%	0.11%	0.15%	0.16%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.44%	0.53%	0.47%	0.00%	0.00%	0.18%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.25%	0.60%	0.00%	0.00%	0.62%	0.00%	0.00%	0.79%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.34%	0.68%	0.41%	0.00%	0.21%	0.00%	0.45%	0.27%	0.18%	0.00%	0.00%	0.00%	0.27%	0.00%									
14	Грудинин Павел Николаевич	1183	33	48	55	27	17	11	0	42	37	35	13	27	11	34	25	7	21	12	10	7	50	51	64	32	0	56	9	9	21	59	6	7	11	9	40	12	19	13	10	5	1	14	23	7	13	7	23	3	10	54	27	10	4	17	10	5									
		4.97%	2.41%	4.80%	4.15%	3.94%	3.59%	3.25%	0.00%	4.56%	5.70%	5.48%	3.12%	4.97%	4.91%	5.33%	3.89%	3.02%	4.59%	6.42%	4.67%	5.69%	6.25%	4.66%	5.79%	3.11%	0.00%	5.73%	3.66%	5.96%	5.15%	35.33%	19.35%	3.91%	6.83%	6.67%	23.12%	9.45%	31.67%	20.63%	10.53%	3.82%	2.13%	2.99%	7.80%	4.79%	5.33%	4.73%	4.82%	7.50%	4.50%	4.86%	2.44%	5.13%	1.81%	7.98%	2.75%	2.36%									
15	Жириновский Владимир Вольфович	66	2	3	3	0	1	0	0	2	0	2	0	1	1	1	2	1	0	1	1	1	3	3	1	0	0	1	1	1	1	2	0	1	0	1	6	1	3	2	1	0	1	1	0	0	1	1	2	0	1	4	2	1	1	0	0	1									
		0.28%	0.15%	0.30%	0.23%	0.00%	0.21%	0.00%	0.00%	0.22%	0.00%	0.31%	0.00%	0.18%	0.45%	0.16%	0.31%	0.43%	0.00%	0.53%	0.47%	0.81%	0.38%	0.27%	0.09%	0.00%	0.00%	0.10%	0.41%	0.66%	0.25%	1.20%	0.00%	0.56%	0.00%	0.74%	3.47%	0.79%	5.00%	3.17%	1.05%	0.00%	2.13%	0.21%	0.00%	0.00%	0.41%	0.68%	0.42%	0.00%	0.45%	0.36%	0.18%	0.51%	0.45%	0.00%	0.00%	0.47%									
16	Путин Владимир Владимирович	21987	1315	910	1246	642	448	324	75	856	590	582	396	504	202	601	591	218	425	171	195	113	720	1009	1024	993	7	899	231	139	373	98	24	171	138	125	126	109	34	47	83	123	44	450	268	133	221	136	443	36	204	1029	1036	178	210	195	330	197									
		92.37%	95.92%	91.00%	94.04%	93.72%	94.71%	95.86%	98.68%	92.94%	90.91%	91.08%	94.96%	92.82%	90.18%	94.20%	92.06%	93.97%	92.79%	91.44%	91.12%	91.87%	90.00%	92.15%	92.67%	96.50%	100.00%	92.02%	93.90%	92.05%	91.42%	58.68%	77.42%	95.53%	85.71%	92.59%	72.83%	85.83%	56.67%	74.60%	87.37%	93.89%	93.62%	96.36%	90.85%	91.10%	90.57%	91.89%	92.87%	90.00%	91.89%	92.62%	93.67%	91.28%	95.02%	91.55%	90.66%	92.92%									
17	Собчак Ксения Анатольевна	43	0	1	1	1	0	1	0	2	3	2	4	0	0	2	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	1	1	4	0	0	0	1	0	0	1	0	0	0	0	0	3	3	0	1	1	1	0									
		0.18%	0.00%	0.10%	0.08%	0.15%	0.00%	0.30%	0.00%	0.22%	0.46%	0.31%	0.96%	0.00%	0.00%	0.31%	0.31%	0.43%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	1.80%	0.00%	0.00%	0.00%	0.00%	0.58%	0.79%	6.67%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.27%	0.00%	0.45%	0.47%	0.27%	0.00%									
18	Сурайкин Максим Александрович	325	12	25	13	7	2	2	0	15	14	13	3	9	7	0	14	3	6	0	2	2	10	27	15	2	0	19	3	2	8	2	0	0	2	0	0	2	0	0	0	1	0	1	3	2	5	2	6	1	5	14	27	4	5	0	2	6									
		1.37%	0.88%	2.50%	0.98%	1.02%	0.42%	0.59%	0.00%	1.63%	2.16%	2.03%	0.72%	1.66%	3.13%	0.00%	2.18%	1.29%	1.31%	0.00%	0.93%	1.63%	1.25%	2.47%	1.36%	0.19%	0.00%	1.94%	1.22%	1.32%	1.96%	1.20%	0.00%	0.00%	1.24%	0.00%	0.00%	1.57%	0.00%	0.00%	0.00%	0.76%	0.00%	0.21%	1.02%	1.37%	2.05%	1.35%	1.26%	2.50%	2.25%	1.26%	2.44%	2.05%	2.26%	0.00%	0.55%	2.83%									
19	Титов Борис Юрьевич	61	6	9	4	2	2	0	0	2	2	1	1	0	0	0	4	2	1	1	0	0	5	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	2	4	0	0	0	0	2									
		0.26%	0.44%	0.90%	0.30%	0.29%	0.42%	0.00%	0.00%	0.22%	0.31%	0.16%	0.24%	0.00%	0.00%	0.00%	0.62%	0.86%	0.22%	0.53%	0.00%	0.00%	0.63%	0.18%	0.00%	0.00%	0.00%	0.10%	0.41%	0.00%	0.25%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.53%	0.00%	0.00%	0.00%	0.68%	0.41%	0.68%	0.00%	0.00%	0.00%	0.18%	0.36%	0.00%	0.00%	0.00%	0.00%	0.94%									
20	Явлинский Григорий Алексеевич	47	1	4	3	3	0	0	0	1	1	3	0	1	1	0	3	0	1	0	0	0	10	1	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	2	1	1	0	0	0	1									
