Выборы Президента Российской Федерации																																																														
Дата голосования: 02.03.2008																																																														
																																																														
Наименование Избирательной комиссии:    Хунзахская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
	Число участковых избирательных комиссий	55																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	55																																																												
																																																														
		Сумма	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645					
1	"Число избирателей, включенных в списки избирателей"	18301	2310	217	193	215	128	151	129	657	80	748	554	415	194	406	169	810	245	1231	390	427	226	161	393	211	104	319	105	194	267	389	136	47	293	185	45	187	110	152	170	276	211	268	124	788	96	718	79	944	57	300	315	242	180	65	275					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17494	2196	208	180	205	124	142	124	627	76	747	529	394	184	386	161	806	233	1171	372	406	216	153	375	199	99	304	100	184	255	372	131	46	278	178	43	178	105	145	162	264	185	256	118	750	92	686	77	902	54	284	300	231	173	62	266					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	17105	2194	206	178	204	121	141	109	600	75	702	514	380	178	380	160	750	232	1169	370	405	214	152	356	197	96	303	99	180	239	369	129	45	270	158	41	177	104	144	161	262	182	241	117	748	91	682	75	897	53	270	288	204	171	61	261					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	208	0	0	0	0	0	0	13	24	0	9	12	10	5	0	0	20	0	0	0	0	0	0	17	0	0	0	0	0	14	0	0	0	5	18	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12	11	25	0	0	0					
6	Число погашенных избирательных бюллетеней	181	2	2	2	1	3	1	2	3	1	36	3	4	1	6	1	36	1	2	2	1	2	1	2	2	3	1	1	4	2	3	2	1	3	2	2	1	1	1	1	2	3	2	1	2	1	4	2	5	1	2	1	2	2	1	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	208	0	0	0	0	0	0	13	24	0	9	12	10	5	0	0	20	0	0	0	0	0	0	17	0	0	0	0	0	14	0	0	0	5	18	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12	11	25	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	17105	2194	206	178	204	121	141	109	600	75	702	514	380	178	380	160	750	232	1169	370	405	214	152	356	197	96	303	99	180	239	369	129	45	270	158	41	177	104	144	161	262	182	241	117	748	91	682	75	897	53	270	288	204	171	61	261					
9	Число недействительных избирательных бюллетеней	32	4	0	0	0	0	0	0	2	0	2	1	2	3	2	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	1	0	2	1	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17281	2190	206	178	204	121	141	122	622	75	709	525	388	180	378	160	770	232	1169	370	404	213	152	372	197	96	302	99	179	253	369	129	45	273	176	41	177	104	144	161	262	182	254	116	745	91	681	75	895	52	281	299	229	171	61	261					
11	Число полученных открепительных  удостоверений	260	35	3	3	3	2	2	2	10	1	15	8	6	3	6	2	10	4	15	5	4	3	2	5	3	1	4	1	3	4	5	2	1	4	2	1	3	2	2	2	4	3	4	1	12	1	10	1	14	1	4	4	4	3	1	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	15	1	0	0	0	0	1	0	0	0	8	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	245	34	3	3	3	2	1	2	10	1	7	7	6	3	6	2	10	4	14	5	4	2	2	5	3	1	4	1	3	4	5	2	1	4	2	1	3	2	2	2	3	3	4	1	12	1	9	1	14	1	4	4	4	3	1	4					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	Богданов Андрей Владимирович	18	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0					
