Выборы Президента Российской Федерации																																																																					
Дата голосования: 02.03.2008																																																																					
																																																																					
Наименование Избирательной комиссии:    Элистинская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
	Число участковых избирательных комиссий	62																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																			
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, включенных в списки избирателей"	84560	2090	2008	1794	1665	1295	2053	1690	1824	2299	175	1293	1374	1400	1420	1263	1425	1886	1165	898	1270	1624	2015	2279	799	1151	1787	1419	1731	2613	1725	1660	1629	1825	1317	1596	1604	1258	1605	1955	1701	1369	1016	1168	913	1197	1132	1897	1380	1011	1280	1826	213	372	159	1111	1785	299	1534	936	75	35	272					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75584	1898	1775	1605	1460	1145	1770	1480	1595	1970	180	1135	1265	1290	1315	1096	1255	1625	1080	830	1175	1450	1920	1690	705	1040	1625	1340	1515	2280	1595	1540	1440	1670	1235	1420	1390	1116	1505	1825	1521	1270	880	1025	840	1090	1020	1670	1206	950	1285	1685	212	310	145	847	1530	230	1356	885	75	35	272					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	45275	1180	989	1010	932	656	1100	846	826	1165	101	769	778	803	747	696	688	1129	598	487	585	938	1197	1409	345	649	960	747	926	1172	931	931	826	1036	750	991	877	692	906	1005	901	659	528	594	472	829	551	1038	735	518	762	1020	139	173	77	465	917	174	734	473	0	0	143					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2227	43	20	22	40	68	22	34	39	26	74	52	30	32	34	27	32	39	27	36	45	21	61	21	22	37	36	37	31	43	23	20	21	44	20	25	29	18	41	70	46	16	58	15	37	12	24	43	39	59	16	19	5	101	9	18	17	36	37	19	75	35	129					
6	Число погашенных избирательных бюллетеней	28082	675	766	573	488	421	648	600	730	779	5	314	457	455	534	373	535	457	455	307	545	491	662	260	338	354	629	556	558	1065	641	589	593	590	465	404	484	406	558	750	574	595	294	416	331	249	445	589	432	373	507	646	68	36	59	364	596	20	585	393	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2227	43	20	22	40	68	22	34	39	26	74	52	30	32	34	27	32	39	27	36	45	21	61	21	22	37	36	37	31	43	23	20	21	44	20	25	29	18	41	70	46	16	58	15	37	12	24	43	39	59	16	19	5	101	9	18	17	36	37	19	75	35	129					
8	Число бюллетеней в стационарных ящиках для голосования	45245	1180	989	1007	931	656	1098	846	825	1165	101	768	778	803	747	694	688	1129	598	487	584	938	1184	1408	345	649	960	747	925	1172	931	929	826	1036	750	991	876	691	906	1005	901	659	528	594	472	829	551	1038	735	518	762	1020	139	173	77	465	917	174	734	473	0	0	143					
9	Число недействительных избирательных бюллетеней	550	20	24	8	6	8	18	12	11	6	6	12	5	9	7	8	10	12	5	5	6	14	6	6	5	9	17	11	11	15	9	8	9	13	14	11	8	8	10	15	7	3	4	8	8	5	7	6	11	6	6	19	3	10	1	14	12	1	10	10	0	0	2					
10	Число действительных избирательных бюллетеней	46922	1203	985	1021	965	716	1102	868	853	1185	169	808	803	826	774	713	710	1156	620	518	623	945	1239	1423	362	677	979	773	945	1200	945	941	838	1067	756	1005	897	701	937	1060	940	672	582	601	501	836	568	1075	763	571	772	1020	141	264	85	469	922	209	761	482	75	35	270					
11	Число полученных открепительных  удостоверений	1908	50	30	47	40	40	44	35	45	55	0	35	30	30	35	25	30	35	25	20	30	40	55	31	15	25	40	33	40	57	35	40	35	45	35	35	40	30	40	47	41	35	19	25	20	20	25	40	30	25	35	45	8	8	7	20	40	10	31	25	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1248	37	23	30	28	16	44	21	16	31	0	22	20	16	27	13	13	24	15	9	16	25	46	26	12	15	23	26	18	41	17	38	20	33	24	31	34	17	25	38	16	14	9	13	13	7	22	38	18	18	19	29	2	8	1	20	31	6	22	12	0	0	0					
