Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Костомукшская городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575					
1	"Число избирателей, внесенных в список"	24024	2786	2692	2641	2568	2537	2683	2475	2121	1833	1303	385					
2	Число полученных избирательных бюллетеней	23800	2800	2800	2500	2500	2500	2500	2500	2000	1900	1400	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	235	0	0	0	0	0	0	0	0	0	235	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13893	1654	1520	1466	1531	1540	1616	1402	1240	1106	620	198					
5	"Число избирательных бюллетеней, выданных вне помещения"	205	21	36	15	14	18	16	22	14	10	18	21					
6	Число погашенных избирательных бюллетеней	9467	1125	1244	1019	955	942	868	1076	746	784	527	181					
7	Число избирательных бюллетеней в переносных ящиках	439	21	36	15	14	18	16	22	14	10	252	21					
8	Число бюллетеней в стационарных ящиках для голосования	13889	1651	1519	1466	1531	1540	1616	1402	1240	1106	620	198					
9	Число недействительных избирательных бюллетеней	63	6	3	8	8	6	11	1	7	3	7	3					
10	Число действительных избирательных бюллетеней	14265	1666	1552	1473	1537	1552	1621	1423	1247	1113	865	216					
11	Число полученных открепительных  удостоверений	450	40	40	40	40	40	40	40	40	40	40	50					
12	Число выданных открепительных удостоверений	127	13	7	18	8	18	12	15	6	5	17	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	17	3	16	7	3	3	3	2	3	2	4					
14	Число неиспользованных открепительных удостоверений	323	27	33	22	32	22	28	25	34	35	23	42					
15	"Число открепительных удостоверений, выданных в ТИК"	23	4	3	3	1	3	3	1	0	3	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	364	54	38	34	48	40	32	35	34	31	16	2					
		2.54%	3.23%	2.44%	2.30%	3.11%	2.57%	1.96%	2.46%	2.71%	2.78%	1.83%	0.91%					
19	. Малышкин Олег Александрович	364	45	39	44	51	16	42	41	32	31	17	6					
		2.54%	2.69%	2.51%	2.97%	3.30%	1.03%	2.57%	2.88%	2.55%	2.78%	1.95%	2.74%					
20	. Миронов Сергей Михайлович	127	22	11	5	21	19	16	11	10	5	7	0					
		0.89%	1.32%	0.71%	0.34%	1.36%	1.22%	0.98%	0.77%	0.80%	0.45%	0.80%	0.00%					
21	. Путин Владимир Владимирович	11176	1289	1200	1141	1179	1218	1282	1145	968	843	723	188					
		78.00%	77.09%	77.17%	77.04%	76.31%	78.18%	78.55%	80.41%	77.19%	75.54%	82.91%	85.84%					
22	. Хакамада Ирина Муцуовна	756	87	103	83	70	97	76	82	65	63	26	4					
		5.28%	5.20%	6.62%	5.60%	4.53%	6.23%	4.66%	5.76%	5.18%	5.65%	2.98%	1.83%					
23	. Харитонов Николай Михайлович	797	91	97	92	83	94	89	60	67	62	47	15					
		5.56%	5.44%	6.24%	6.21%	5.37%	6.03%	5.45%	4.21%	5.34%	5.56%	5.39%	6.85%					
																		
24	Против всех	681	78	64	74	85	68	84	49	71	78	29	1					
		4.75%	4.67%	4.12%	5.00%	5.50%	4.36%	5.15%	3.44%	5.66%	6.99%	3.33%	0.46%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
