Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Суоярвская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545					
1	"Число избирателей, внесенных в список"	18982	2152	226	2471	2582	831	936	36	70	44	386	282	1256	149	1054	62	527	1017	1140	194	197	500	812	634	505	121	45	753					
2	Число полученных избирательных бюллетеней	17534	1900	200	2220	2540	780	800	30	60	40	360	270	1120	140	950	70	510	1000	1130	190	180	450	720	550	490	120	44	670					
3	"Число избирательных бюллетеней, выданных  досрочно"	264	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10073	909	124	1291	1616	375	464	22	56	28	215	171	588	101	505	35	287	556	611	118	102	305	406	366	324	83	34	381					
5	"Число избирательных бюллетеней, выданных вне помещения"	575	76	4	58	55	7	19	7	0	0	7	4	62	7	26	4	11	40	25	8	20	19	52	21	13	10	0	20					
6	Число погашенных избирательных бюллетеней	6622	915	72	871	605	398	317	1	4	12	138	95	470	32	419	31	212	404	494	64	58	126	262	163	153	27	10	269					
7	Число избирательных бюллетеней в переносных ящиках	839	76	4	58	319	7	19	7	0	0	7	4	62	7	26	4	11	40	25	8	20	19	52	21	13	10	0	20					
8	Число бюллетеней в стационарных ящиках для голосования	10071	909	124	1291	1614	375	464	22	56	28	215	171	588	101	505	35	287	556	611	118	102	305	406	366	324	83	34	381					
9	Число недействительных избирательных бюллетеней	87	1	1	15	9	3	4	0	0	0	2	0	12	0	6	1	4	2	3	1	0	2	5	12	1	0	0	3					
10	Число действительных избирательных бюллетеней	10823	984	127	1334	1924	379	479	29	56	28	220	175	638	108	525	38	294	594	633	125	122	322	453	375	336	93	34	398					
11	Число полученных открепительных  удостоверений	370	20	10	20	50	15	15	10	10	10	10	10	15	10	15	10	10	15	15	10	10	10	15	10	10	10	10	15					
12	Число выданных открепительных удостоверений	132	8	0	10	38	2	1	0	3	0	2	8	12	0	1	0	2	6	5	0	2	3	6	0	10	10	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	7	1	7	15	4	1	3	1	0	4	5	1	2	4	0	4	4	3	2	3	4	3	3	6	0	3	4					
14	Число неиспользованных открепительных удостоверений	238	12	10	10	12	13	14	10	7	10	8	2	3	10	14	10	8	9	10	10	8	7	9	10	0	0	10	12					
15	"Число открепительных удостоверений, выданных в ТИК"	21	2	0	3	9	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	209	21	1	43	38	10	10	0	1	0	4	0	12	0	5	0	4	9	19	1	2	4	3	5	4	0	0	13					
		1.92%	2.13%	0.78%	3.19%	1.97%	2.62%	2.07%	0.00%	1.79%	0.00%	1.80%	0.00%	1.85%	0.00%	0.94%	0.00%	1.34%	1.51%	2.99%	0.79%	1.64%	1.23%	0.66%	1.29%	1.19%	0.00%	0.00%	3.24%					
19	. Малышкин Олег Александрович	280	32	4	32	45	14	15	0	1	0	8	4	34	1	10	0	5	17	13	2	5	4	17	3	6	0	0	8					
		2.57%	3.25%	3.12%	2.37%	2.33%	3.66%	3.11%	0.00%	1.79%	0.00%	3.60%	2.29%	5.23%	0.93%	1.88%	0.00%	1.68%	2.85%	2.04%	1.59%	4.10%	1.23%	3.71%	0.78%	1.78%	0.00%	0.00%	2.00%					
20	. Миронов Сергей Михайлович	93	14	0	8	11	6	5	1	0	0	0	0	8	0	4	0	4	9	7	3	2	4	2	2	1	0	0	2					
		0.85%	1.42%	0.00%	0.59%	0.57%	1.57%	1.04%	3.45%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.75%	0.00%	1.34%	1.51%	1.10%	2.38%	1.64%	1.23%	0.44%	0.52%	0.30%	0.00%	0.00%	0.50%					
21	. Путин Владимир Владимирович	8390	757	101	920	1511	293	375	28	54	25	178	156	448	102	444	33	224	475	462	96	98	275	326	312	281	84	33	299					
		76.90%	76.85%	78.91%	68.20%	78.17%	76.70%	77.64%	96.55%	96.43%	89.29%	80.18%	89.14%	68.92%	94.44%	83.62%	84.62%	75.17%	79.70%	72.64%	76.19%	80.33%	84.88%	71.18%	80.62%	83.38%	90.32%	97.06%	74.56%					
22	. Хакамада Ирина Муцуовна	345	31	3	78	75	14	20	0	0	0	4	1	11	0	11	0	8	20	19	2	3	5	15	7	6	0	0	12					
		3.16%	3.15%	2.34%	5.78%	3.88%	3.66%	4.14%	0.00%	0.00%	0.00%	1.80%	0.57%	1.69%	0.00%	2.07%	0.00%	2.68%	3.36%	2.99%	1.59%	2.46%	1.54%	3.28%	1.81%	1.78%	0.00%	0.00%	2.99%					
23	. Харитонов Николай Михайлович	1232	92	11	205	170	31	44	0	0	3	20	13	115	4	46	4	48	61	94	20	11	26	81	42	30	7	1	53					
		11.29%	9.34%	8.59%	15.20%	8.79%	8.12%	9.11%	0.00%	0.00%	10.71%	9.01%	7.43%	17.69%	3.70%	8.66%	10.26%	16.11%	10.23%	14.78%	15.87%	9.02%	8.02%	17.69%	10.85%	8.90%	7.53%	2.94%	13.22%					
																																		
