Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Воркутинская городская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56					
1	"Число избирателей, внесенных в список"	96934	277	524	541	2392	1862	2017	1747	2051	1824	1957	1774	2213	1769	1840	2416	2110	2083	2058	2196	2381	1779	2321	2274	2133	1920	2165	1972	1645	2053	1812	2030	1747	2185	1623	1800	1756	1213	1872	1803	1868	1932	1719	1909	1959	1636	752	501	1749	2073	2176	1802	1694	741	1870	263	155					
2	Число полученных избирательных бюллетеней	94680	260	500	500	2300	1800	1900	1700	2000	1800	1900	1700	2100	1700	1800	2400	2100	2000	2000	2100	2300	1800	2200	2200	2100	1900	2100	1900	1600	2000	1800	2000	1700	2100	1600	1800	1700	1200	1800	1800	1800	1900	1700	1900	2000	1600	850	500	1700	2000	2100	1800	1700	750	1800	265	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	62	0	44	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47850	130	254	265	1018	700	982	794	1025	854	966	995	1080	894	979	1195	1099	1152	1054	1182	1138	946	1178	1002	1095	1017	1136	1006	835	922	880	889	878	1023	865	881	824	529	967	874	880	967	776	919	973	709	319	202	1024	1052	1219	965	833	297	862	263	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	733	0	1	3	13	9	26	11	13	11	18	27	29	13	7	6	8	7	10	21	11	10	46	15	12	5	5	10	10	10	10	27	13	9	9	19	3	9	4	11	9	4	11	17	8	27	7	3	25	12	9	13	10	16	13	0	68					
6	Число погашенных избирательных бюллетеней	46035	130	201	214	1269	1091	892	895	962	935	916	678	991	793	814	1199	993	841	936	897	1151	844	976	1183	993	878	959	884	755	1068	910	1084	809	1068	726	900	873	662	829	915	911	929	913	964	1019	864	524	295	651	936	872	822	857	437	925	2	0					
7	Число избирательных бюллетеней в переносных ящиках	795	0	45	21	13	9	26	11	13	11	18	27	29	13	7	6	8	7	10	21	11	10	46	15	12	5	5	10	10	10	10	27	13	9	9	19	3	9	4	11	9	4	11	17	8	27	7	3	25	12	9	13	10	16	13	0	68					
8	Число бюллетеней в стационарных ящиках для голосования	47834	130	254	265	1018	700	982	793	1025	854	963	993	1080	894	979	1195	1098	1150	1054	1182	1138	946	1178	1002	1095	1015	1136	1006	833	922	880	889	878	1023	865	881	823	529	965	874	880	967	776	919	973	709	319	202	1024	1052	1219	965	833	297	862	263	87					
9	Число недействительных избирательных бюллетеней	229	3	0	3	7	6	2	6	3	5	2	2	1	6	3	6	1	10	1	4	4	1	3	5	6	3	4	0	5	5	11	8	1	5	7	12	3	2	5	3	6	1	8	5	1	2	1	3	5	4	5	8	6	3	3	3	1					
10	Число действительных избирательных бюллетеней	48400	127	299	283	1024	703	1006	798	1035	860	979	1018	1108	901	983	1195	1105	1147	1063	1199	1145	955	1221	1012	1101	1017	1137	1016	838	927	879	908	890	1027	867	888	823	536	964	882	883	970	779	931	980	734	325	202	1044	1060	1223	970	837	310	872	260	154					
11	Число полученных открепительных  удостоверений	850	10	10	10	15	15	15	15	15	15	15	15	15	15	15	15	25	15	20	25	25	15	20	15	15	15	15	15	15	15	15	15	15	15	15	20	15	25	15	15	15	25	15	15	15	15	10	10	15	15	15	15	15	10	20	0	0					
12	Число выданных открепительных удостоверений	499	4	2	2	12	8	10	10	8	5	12	6	12	6	5	9	18	9	16	22	14	13	14	12	11	11	10	12	9	14	4	6	12	5	11	16	7	19	12	8	5	13	4	7	9	10	3	7	7	6	6	12	4	1	9	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	481	2	1	4	9	1	13	1	2	3	4	18	8	3	22	2	9	6	5	5	1	3	3	3	2	3	4	12	0	1	6	1	7	2	7	8	5	2	2	2	2	2	3	3	0	22	0	0	2	8	3	2	0	1	0	168	73					
14	Число неиспользованных открепительных удостоверений	351	6	8	8	3	7	5	5	7	10	3	9	3	9	10	6	7	6	4	3	11	2	6	3	4	4	5	3	6	1	11	9	3	10	4	4	8	6	3	7	10	12	11	8	6	5	7	3	8	9	9	3	11	9	11	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	207	0	1	1	4	3	5	5	6	5	7	5	5	4	4	6	4	6	2	10	7	4	2	8	3	3	7	5	4	4	2	6	4	5	4	2	3	2	1	2	6	2	2	3	0	1	3	5	1	4	1	3	4	1	10	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
