Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Сыктывдинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533					
1	"Число избирателей, внесенных в список"	17165	295	166	731	265	494	691	1008	273	480	455	784	2400	1640	2148	2423	154	101	549	117	253	634	205	264	74	124	248	189					
2	Число полученных избирательных бюллетеней	16630	296	176	750	260	500	670	990	250	470	440	780	2300	1500	2000	2400	148	98	547	111	244	626	196	250	82	119	240	187					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9391	186	101	430	139	247	303	544	174	221	216	420	1197	845	1211	1343	77	66	291	90	151	368	138	189	74	89	162	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	866	10	6	53	49	46	89	49	22	70	65	32	72	56	18	25	12	12	42	0	40	57	0	0	0	8	7	26					
6	Число погашенных избирательных бюллетеней	6373	100	69	267	72	207	278	397	54	179	159	328	1031	599	771	1032	59	20	214	21	53	201	58	61	8	22	71	42					
7	Число избирательных бюллетеней в переносных ящиках	866	10	6	53	49	46	89	49	22	70	65	32	72	56	18	25	12	12	42	0	40	57	0	0	0	8	7	26					
8	Число бюллетеней в стационарных ящиках для голосования	9391	186	101	430	139	247	303	544	174	221	216	420	1197	845	1211	1343	77	66	291	90	151	368	138	189	74	89	162	119					
9	Число недействительных избирательных бюллетеней	77	0	1	6	2	1	4	5	2	5	3	5	9	6	7	6	1	0	2	1	2	2	1	2	2	0	2	0					
10	Число действительных избирательных бюллетеней	10180	196	106	477	186	292	388	588	194	286	278	447	1260	895	1222	1362	88	78	331	89	189	423	137	187	72	97	167	145					
11	Число полученных открепительных  удостоверений	325	5	10	45	10	10	10	15	10	10	5	10	40	30	15	20	5	5	5	5	5	15	10	10	5	5	5	5					
12	Число выданных открепительных удостоверений	159	0	7	43	6	10	1	14	2	2	1	3	20	10	6	12	2	0	4	0	1	10	1	1	0	1	1	1					
