Выборы Президента Российской Федерации																																	
Дата голосования: 18.03.2018																																	
																																	
Наименование Избирательной комиссии:    Удорская																																	
																																	
Сводная таблица предварительных итогов голосования																																	
																																	
	Число участковых избирательных комиссий	22																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	22																															
																																	
		Сумма	УИК №429	УИК №430	УИК №431	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №451	УИК №677									
1	"Число избирателей, включенных в список избирателей"	13073	405	259	2000	180	281	448	283	253	89	381	181	264	1940	1640	200	104	1949	191	1084	496	389	56									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11770	380	240	1750	170	250	390	260	240	80	360	160	250	1700	1500	170	100	1750	150	970	500	350	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	237	30	0	19	0	24	58	0	2	0	0	14	72	0	0	0	0	0	0	16	0	2	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6917	174	115	1080	95	121	192	166	114	47	227	88	98	1125	916	137	59	974	112	589	208	233	47									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	493	20	7	71	11	12	11	16	16	13	16	15	11	101	46	2	7	62	8	24	18	6	0									
6	Число погашенных избирательных бюллетеней	4123	156	118	580	64	93	129	78	108	20	117	43	69	474	538	31	34	714	30	341	274	109	3									
7	Число избирательных бюллетеней в переносных ящиках для голосования	730	50	7	90	11	36	69	16	18	13	16	29	83	101	46	2	7	62	8	40	18	8	0									
8	Число бюллетеней в стационарных ящиках для голосования	6917	174	115	1080	95	121	192	166	114	47	227	88	98	1125	916	137	59	974	112	589	208	233	47									
9	Число недействительных избирательных бюллетеней	78	1	1	18	1	0	0	4	1	0	1	1	0	12	5	0	1	9	2	17	3	0	1									
10	Число действительных избирательных бюллетеней	7569	223	121	1152	105	157	261	178	131	60	242	116	181	1214	957	139	65	1027	118	612	223	241	46									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
13	Бабурин Сергей Николаевич	52	0	1	6	0	0	4	1	1	0	3	1	1	10	9	1	1	5	2	3	0	3	0									
		0.68%	0.00%	0.82%	0.51%	0.00%	0.00%	1.53%	0.55%	0.76%	0.00%	1.23%	0.85%	0.55%	0.82%	0.94%	0.72%	1.52%	0.48%	1.67%	0.48%	0.00%	1.24%	0.00%									
14	Грудинин Павел Николаевич	906	31	5	162	2	17	22	13	9	8	32	3	7	205	143	9	5	86	11	66	35	29	6									
		11.85%	13.84%	4.10%	13.85%	1.89%	10.83%	8.43%	7.14%	6.82%	13.33%	13.17%	2.56%	3.87%	16.72%	14.86%	6.47%	7.58%	8.30%	9.17%	10.49%	15.49%	12.03%	12.77%									
15	Жириновский Владимир Вольфович	874	20	11	133	11	15	47	24	15	8	36	16	40	132	89	12	9	108	14	91	30	11	2									
		11.43%	8.93%	9.02%	11.37%	10.38%	9.55%	18.01%	13.19%	11.36%	13.33%	14.81%	13.68%	22.10%	10.77%	9.25%	8.63%	13.64%	10.42%	11.67%	14.47%	13.27%	4.56%	4.26%									
16	Путин Владимир Владимирович	5538	167	102	807	92	120	178	135	102	44	165	94	131	828	694	113	48	806	91	435	154	195	37									
		72.42%	74.55%	83.61%	68.97%	86.79%	76.43%	68.20%	74.18%	77.27%	73.33%	67.90%	80.34%	72.38%	67.54%	72.14%	81.29%	72.73%	77.80%	75.83%	69.16%	68.14%	80.91%	78.72%									
17	Собчак Ксения Анатольевна	82	1	1	18	0	3	4	2	1	0	2	1	0	14	6	2	0	11	0	12	2	2	0									
		1.07%	0.45%	0.82%	1.54%	0.00%	1.91%	1.53%	1.10%	0.76%	0.00%	0.82%	0.85%	0.00%	1.14%	0.62%	1.44%	0.00%	1.06%	0.00%	1.91%	0.88%	0.83%	0.00%									
18	Сурайкин Максим Александрович	50	2	1	7	0	1	4	2	1	0	3	0	0	12	6	1	1	4	0	3	1	0	1									
		0.65%	0.89%	0.82%	0.60%	0.00%	0.64%	1.53%	1.10%	0.76%	0.00%	1.23%	0.00%	0.00%	0.98%	0.62%	0.72%	1.52%	0.39%	0.00%	0.48%	0.44%	0.00%	2.13%									
19	Титов Борис Юрьевич	36	1	0	9	0	1	2	1	0	0	1	1	0	6	5	0	1	5	0	1	1	1	0									
		0.47%	0.45%	0.00%	0.77%	0.00%	0.64%	0.77%	0.55%	0.00%	0.00%	0.41%	0.85%	0.00%	0.49%	0.52%	0.00%	1.52%	0.48%	0.00%	0.16%	0.44%	0.41%	0.00%									
20	Явлинский Григорий Алексеевич	31	1	0	10	0	0	0	0	2	0	0	0	2	7	5	1	0	2	0	1	0	0	0									
		0.41%	0.45%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	1.10%	0.57%	0.52%	0.72%	0.00%	0.19%	0.00%	0.16%	0.00%	0.00%	0.00%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
