Выборы Президента Российской Федерации																																								
Дата голосования: 04.03.2012																																								
																																								
Наименование Избирательной комиссии:    Усинская городская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	Число участковых избирательных комиссий, приступивших к передаче сведений	29																																						
																																								
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267									
1	Число избирателей, включенных в список избирателей	37814	1792	1858	1632	1920	1740	1963	1575	1358	1323	1381	1482	1694	1668	1969	1660	1634	1611	2583	1938	1550	328	791	303	254	78	415	307	685	322									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	35300	1400	1700	1550	1700	1600	1700	1400	1350	1200	1250	1350	1500	1500	1750	1600	1450	1500	2600	1900	1500	300	800	400	250	100	450	350	800	350									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027	1307	18	0	0	0	0	21	41	58	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	24794	1068	1256	1109	1233	1139	1285	987	1003	858	980	959	1189	1114	1201	1244	1151	1193	2521	769	176	218	514	207	213	66	268	187	443	243									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	751	156	11	15	17	10	25	12	9	17	18	15	23	25	69	19	13	12	15	23	7	11	48	18	22	6	37	9	62	27									
6	Число погашенных избирательных бюллетеней	7283	176	433	426	450	451	390	401	338	325	252	376	288	361	480	337	286	295	64	81	10	53	238	175	15	28	124	113	237	80									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3223	156	11	15	17	10	25	12	9	17	18	15	23	25	69	19	13	12	15	1050	1314	29	48	18	22	6	58	50	120	27									
8	Число бюллетеней в стационарных ящиках для голосования	24790	1068	1255	1109	1233	1137	1285	987	1003	858	980	959	1189	1114	1201	1244	1151	1193	2520	769	176	218	514	207	213	66	268	187	443	243									
9	Число недействительных избирательных бюллетеней	491	18	11	12	10	21	11	14	12	8	16	10	7	18	22	6	12	15	26	36	163	4	9	7	2	0	6	2	11	2									
10	Число действительных избирательных бюллетеней	27522	1206	1255	1112	1240	1126	1299	985	1000	867	982	964	1205	1121	1248	1257	1152	1190	2509	1783	1327	243	553	218	233	72	320	235	552	268									
11	Число полученных открепительных  удостоверений	1027	20	35	32	40	25	30	30	25	30	25	25	30	35	25	40	25	46	45	13	10	20	50	40	30	10	80	75	100	36									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1027	20	35	32	40	25	30	30	25	30	25	25	30	35	25	40	25	46	45	13	10	20	50	40	30	10	80	75	100	36									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1139	51	28	5	41	14	10	14	21	23	14	5	20	16	47	20	29	0	161	351	218	6	14	10	4	0	6	2	6	3									
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	173	4	5	8	5	12	7	7	6	5	11	12	2	10	8	12	9	9	9	3	0	0	17	5	1	0	3	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	Жириновский Владимир Вольфович	2148	111	89	81	79	103	122	73	85	68	66	73	87	98	128	70	102	85	127	237	60	18	49	20	16	3	28	18	36	16									
		7.67%	9.07%	7.03%	7.21%	6.32%	8.98%	9.31%	7.31%	8.40%	7.77%	6.61%	7.49%	7.18%	8.60%	10.08%	5.54%	8.76%	7.05%	5.01%	13.03%	4.03%	7.29%	8.72%	8.89%	6.81%	4.17%	8.59%	7.59%	6.39%	5.93%									
20	Зюганов Геннадий Андреевич	3226	186	127	122	120	123	122	168	94	82	122	131	189	109	170	120	177	112	206	267	88	23	91	31	18	1	77	20	106	24									
		11.52%	15.20%	10.03%	10.85%	9.60%	10.72%	9.31%	16.82%	9.29%	9.37%	12.22%	13.45%	15.59%	9.57%	13.39%	9.50%	15.21%	9.29%	8.13%	14.68%	5.91%	9.31%	16.19%	13.78%	7.66%	1.39%	23.62%	8.44%	18.83%	8.89%									
21	Миронов Сергей Михайлович	995	31	48	33	49	38	47	37	28	32	36	34	49	29	40	49	48	54	66	66	37	7	43	20	3	0	22	11	30	8									
		3.55%	2.53%	3.79%	2.94%	3.92%	3.31%	3.59%	3.70%	2.77%	3.66%	3.61%	3.49%	4.04%	2.55%	3.15%	3.88%	4.12%	4.48%	2.60%	3.63%	2.48%	2.83%	7.65%	8.89%	1.28%	0.00%	6.75%	4.64%	5.33%	2.96%									
22	Прохоров Михаил Дмитриевич	1896	100	68	89	46	69	105	113	32	84	92	92	83	80	98	81	117	106	120	151	44	20	29	16	4	3	12	4	30	8									
		6.77%	8.17%	5.37%	7.92%	3.68%	6.02%	8.02%	11.31%	3.16%	9.60%	9.22%	9.45%	6.85%	7.02%	7.72%	6.41%	10.05%	8.80%	4.73%	8.30%	2.95%	8.10%	5.16%	7.11%	1.70%	4.17%	3.68%	1.69%	5.33%	2.96%									
23	Путин Владимир Владимирович	19257	778	923	787	946	793	903	594	761	601	666	634	797	805	812	937	708	833	1990	1062	1098	175	341	131	192	65	181	182	350	212									
		68.74%	63.56%	72.91%	70.02%	75.68%	69.14%	68.93%	59.46%	75.20%	68.69%	66.73%	65.09%	65.76%	70.68%	63.94%	74.19%	60.82%	69.13%	78.50%	58.38%	73.69%	70.85%	60.68%	58.22%	81.70%	90.28%	55.52%	76.79%	62.17%	78.52%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
