Выборы Президента Российской Федерации																																																				
Дата голосования: 04.03.2012																																																				
																																																				
Наименование Избирательной комиссии:    Ардатовская																																																				
																																																				
Сводная таблица итогов голосования																																																				
																																																				
	Число участковых избирательных комиссий	41																																																		
	Число участковых избирательных комиссий, приступивших к передаче сведений	41																																																		
																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41									
1	Число избирателей, включенных в список избирателей	22711	1408	1320	1310	2037	1228	741	772	1237	1227	505	1426	299	253	440	280	94	470	141	133	148	164	184	619	310	267	217	121	167	369	538	751	315	795	161	214	211	248	226	116	598	651									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	23445	1422	1381	1290	2127	1266	753	783	1287	1265	515	1478	313	267	452	304	94	494	146	135	153	169	196	643	321	282	227	126	172	380	554	780	324	829	168	218	221	254	234	113	629	680									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	19217	1242	1134	1046	1630	1006	613	653	1053	986	439	1346	265	221	367	240	83	377	114	94	119	136	148	544	245	246	192	109	143	327	471	659	277	592	131	178	186	215	187	95	539	569									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2331	97	96	158	295	129	70	61	97	120	54	29	25	24	65	30	9	80	25	35	26	23	30	60	57	17	25	12	17	37	53	63	30	113	26	30	25	27	34	15	47	65									
6	Число погашенных избирательных бюллетеней	1897	83	151	86	202	131	70	69	137	159	22	103	23	22	20	34	2	37	7	6	8	10	18	39	19	19	10	5	12	16	30	58	17	124	11	10	10	12	13	3	43	46									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2331	97	96	158	295	129	70	61	97	120	54	29	25	24	65	30	9	80	25	35	26	23	30	60	57	17	25	12	17	37	53	63	30	113	26	30	25	27	34	15	47	65									
8	Число бюллетеней в стационарных ящиках для голосования	19213	1242	1134	1043	1630	1006	613	652	1053	986	439	1346	265	221	367	240	83	377	114	94	119	136	148	544	245	246	192	109	143	327	471	659	277	592	131	178	186	215	187	95	539	569									
9	Число недействительных избирательных бюллетеней	41	4	0	11	2	8	0	2	0	0	2	2	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2									
10	Число действительных избирательных бюллетеней	21503	1335	1230	1190	1923	1127	683	711	1150	1106	491	1373	290	245	430	270	92	456	139	127	145	158	178	604	302	263	217	121	160	362	524	722	307	705	157	208	211	242	221	110	586	632									
11	Число полученных открепительных  удостоверений	333	15	29	20	37	15	7	7	12	12	5	14	6	6	4	16	2	7	2	2	2	2	5	11	6	3	4	3	2	3	8	8	3	13	5	2	2	3	5	2	8	15									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	306	15	29	20	37	15	5	7	11	9	5	14	6	6	2	16	0	7	2	0	2	2	5	11	3	3	2	3	2	1	8	8	3	13	5	0	0	1	5	0	8	15									
13	Число избирателей, проголосовавших по открепительным удостоверениям	76	2	1	5	10	5	3	0	2	1	2	3	2	0	1	2	1	1	2	1	2	1	1	4	2	1	1	1	1	1	3	1	2	1	1	1	1	0	2	3	1	1									
14	Число неиспользованных открепительных удостоверений	27	0	0	0	0	0	2	0	1	3	0	0	0	0	2	0	2	0	0	2	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	2	2	2	0	2	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	12	5	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	Жириновский Владимир Вольфович	166	11	16	9	11	7	8	6	5	13	2	5	3	2	9	1	2	3	2	8	2	7	2	2	2	1	1	1	0	2	0	3	2	3	1	4	1	1	1	0	2	5									
		0.77%	0.82%	1.30%	0.75%	0.57%	0.62%	1.17%	0.84%	0.43%	1.18%	0.41%	0.36%	1.03%	0.82%	2.08%	0.37%	2.17%	0.66%	1.44%	6.20%	1.38%	4.40%	1.12%	0.33%	0.66%	0.38%	0.46%	0.83%	0.00%	0.55%	0.00%	0.42%	0.65%	0.43%	0.64%	1.92%	0.47%	0.41%	0.45%	0.00%	0.34%	0.79%									
20	Зюганов Геннадий Андреевич	731	37	31	142	40	30	60	42	80	91	4	15	8	2	5	6	3	13	2	7	3	2	7	5	6	7	3	2	6	3	10	7	4	21	3	5	2	3	3	2	3	6									
