Выборы Президента Российской Федерации																																																												
Дата голосования: 18.03.2018																																																												
																																																												
Наименование Избирательной комиссии:    Зубово-Полянская																																																												
																																																												
Сводная таблица итогов голосования																																																												
																																																												
	Число участковых избирательных комиссий	49																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																										
																																																												
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234									
1	"Число избирателей, включенных в список избирателей"	30421	1544	1788	1354	1627	1261	261	371	339	469	285	355	247	433	405	368	427	142	273	222	84	252	785	678	322	657	348	572	313	433	401	752	1326	70	796	360	372	78	686	383	957	1059	1387	1038	909	904	950	294	449	635									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30083	1476	1743	1311	1491	1236	263	369	341	485	293	362	241	435	407	366	429	143	297	232	93	263	766	675	331	668	343	600	314	450	437	775	1344	65	811	360	385	70	698	381	938	1012	1404	1008	884	875	902	283	434	594									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25106	1230	1425	1101	1335	908	223	306	294	413	238	290	209	371	338	320	377	118	226	187	80	210	713	585	275	562	281	471	272	375	366	580	1218	62	714	310	313	66	534	317	834	920	1032	733	727	793	707	251	413	483									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1768	119	155	35	156	72	10	18	10	0	25	27	10	28	31	12	30	9	15	12	0	17	11	21	13	37	34	35	8	13	30	91	18	3	23	11	27	3	81	26	68	65	219	40	30	26	17	0	0	27									
6	Число погашенных избирательных бюллетеней	3209	127	163	175	0	256	30	45	37	72	30	45	22	36	38	34	22	16	56	33	13	36	42	69	43	69	28	94	34	62	41	104	108	0	74	39	45	1	83	38	36	27	153	235	127	56	178	32	21	84									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1768	119	155	35	156	72	10	18	10	0	25	27	10	28	31	12	30	9	15	12	0	17	11	21	13	37	34	35	8	13	30	91	18	3	23	11	27	3	81	26	68	65	219	40	30	26	17	0	0	27									
8	Число бюллетеней в стационарных ящиках для голосования	25105	1230	1425	1101	1335	908	223	306	294	413	238	290	209	371	338	320	377	118	226	187	80	210	713	585	275	562	281	471	272	375	366	580	1218	62	714	310	313	66	534	317	834	919	1032	733	727	793	707	251	413	483									
9	Число недействительных избирательных бюллетеней	35	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	9	8	0	5	0	0	2									
10	Число действительных избирательных бюллетеней	26838	1349	1580	1133	1491	980	233	324	304	413	263	317	219	399	368	332	407	127	241	199	80	227	724	605	288	598	315	506	280	388	396	671	1236	65	737	321	340	69	615	343	900	981	1251	764	749	819	719	251	413	508									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
13	Бабурин Сергей Николаевич	66	3	0	10	0	1	0	2	0	0	1	1	0	0	1	4	0	0	0	0	0	0	3	1	0	0	0	5	0	3	1	3	4	0	2	0	0	0	1	1	1	4	2	1	2	4	4	0	0	1									
		0.25%	0.22%	0.00%	0.88%	0.00%	0.10%	0.00%	0.62%	0.00%	0.00%	0.38%	0.32%	0.00%	0.00%	0.27%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.17%	0.00%	0.00%	0.00%	0.99%	0.00%	0.77%	0.25%	0.45%	0.32%	0.00%	0.27%	0.00%	0.00%	0.00%	0.16%	0.29%	0.11%	0.41%	0.16%	0.13%	0.26%	0.49%	0.55%	0.00%	0.00%	0.20%									
14	Грудинин Павел Николаевич	807	13	42	11	32	17	8	15	12	11	4	9	5	9	1	7	0	4	5	7	1	7	30	22	8	2	5	5	7	5	2	11	20	3	21	5	12	1	30	4	28	12	34	82	59	17	75	13	18	56									
		3.00%	0.96%	2.66%	0.97%	2.15%	1.73%	3.43%	4.63%	3.95%	2.66%	1.52%	2.84%	2.28%	2.26%	0.27%	2.11%	0.00%	3.15%	2.07%	3.52%	1.25%	3.08%	4.14%	3.63%	2.78%	0.33%	1.59%	0.99%	2.50%	1.29%	0.51%	1.64%	1.62%	4.62%	2.85%	1.56%	3.53%	1.45%	4.88%	1.17%	3.10%	1.22%	2.72%	10.61%	7.79%	2.08%	10.36%	5.18%	4.36%	10.98%									
