Выборы Президента Российской Федерации																																			
Дата голосования: 18.03.2018																																			
																																			
Наименование Избирательной комиссии:    Инсарская																																			
																																			
Сводная таблица итогов голосования																																			
																																			
	Число участковых избирательных комиссий	24																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	24																																	
																																			
		Сумма	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258									
1	"Число избирателей, включенных в список избирателей"	10109	1347	1204	983	1202	822	639	249	350	103	191	325	210	189	199	295	97	363	146	184	184	270	223	179	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10541	1385	1270	996	1248	845	684	261	382	105	204	341	211	208	221	305	98	385	152	191	189	276	232	183	169									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8397	983	962	823	1020	714	439	225	301	97	166	288	174	159	176	278	84	303	133	162	169	247	192	162	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	981	169	92	125	81	81	56	20	39	4	22	33	33	23	21	12	10	51	9	16	12	19	28	14	11									
6	Число погашенных избирательных бюллетеней	1163	233	216	48	147	50	189	16	42	4	16	20	4	26	24	15	4	31	10	13	8	10	12	7	18									
7	Число избирательных бюллетеней в переносных ящиках для голосования	981	169	92	125	81	81	56	20	39	4	22	33	33	23	21	12	10	51	9	16	12	19	28	14	11									
8	Число бюллетеней в стационарных ящиках для голосования	8397	983	962	823	1020	714	439	225	301	97	166	288	174	159	176	278	84	303	133	162	169	247	192	162	140									
9	Число недействительных избирательных бюллетеней	38	3	0	4	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0									
10	Число действительных избирательных бюллетеней	9340	1149	1054	944	1081	795	486	245	340	101	188	321	207	182	197	290	94	354	142	178	181	266	218	176	151									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
13	Бабурин Сергей Николаевич	12	5	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0									
		0.13%	0.43%	0.00%	0.11%	0.09%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.55%	0.00%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	979	182	178	126	223	57	125	2	15	2	2	4	2	5	2	7	3	23	2	5	6	1	3	2	2									
		10.44%	15.80%	16.89%	13.29%	20.25%	7.17%	25.25%	0.82%	4.41%	1.98%	1.06%	1.25%	0.97%	2.75%	1.02%	2.41%	3.19%	6.50%	1.41%	2.81%	3.31%	0.38%	1.36%	1.14%	1.32%									
15	Жириновский Владимир Вольфович	91	29	3	7	2	2	24	2	2	0	0	2	2	1	1	3	1	1	1	1	4	1	0	1	1									
		0.97%	2.52%	0.28%	0.74%	0.18%	0.25%	4.85%	0.82%	0.59%	0.00%	0.00%	0.62%	0.97%	0.55%	0.51%	1.03%	1.06%	0.28%	0.70%	0.56%	2.21%	0.38%	0.00%	0.57%	0.66%									
16	Путин Владимир Владимирович	8228	931	872	797	852	736	331	241	321	99	185	315	203	176	194	280	90	329	139	170	169	263	215	173	147									
		87.74%	80.82%	82.73%	84.07%	77.38%	92.58%	66.87%	98.37%	94.41%	98.02%	98.40%	98.13%	98.07%	96.70%	98.48%	96.55%	95.74%	92.94%	97.89%	95.51%	93.37%	98.87%	97.73%	98.30%	97.35%									
17	Собчак Ксения Анатольевна	13	1	0	6	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0									
		0.14%	0.09%	0.00%	0.63%	0.09%	0.00%	0.20%	0.00%	0.29%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.38%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	10	1	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.11%	0.09%	0.09%	0.63%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%									
19	Титов Борис Юрьевич	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.11%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
