Выборы Президента Российской Федерации																																											
Дата голосования: 18.03.2018																																											
																																											
Наименование Избирательной комиссии:    Краснослободская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	32																																									
																																											
		Сумма	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408									
1	"Число избирателей, включенных в список избирателей"	18477	1081	1037	483	1113	1111	983	493	843	427	552	341	592	511	311	459	315	401	353	718	391	344	330	1062	655	597	402	615	137	300	833	387	300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17690	1020	1000	460	1050	1060	940	470	790	405	530	332	583	500	305	445	300	385	340	690	375	330	315	1010	630	570	390	600	130	285	790	375	285									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15216	827	732	398	952	884	696	377	641	324	499	311	541	452	296	407	266	332	283	631	340	296	299	903	570	525	360	529	120	257	588	341	239									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1484	72	143	37	38	53	87	47	68	49	30	20	40	47	6	37	32	44	24	58	35	34	15	96	55	43	26	69	10	28	76	34	31									
6	Число погашенных избирательных бюллетеней	990	121	125	25	60	123	157	46	81	32	1	1	2	1	3	1	2	9	33	1	0	0	1	11	5	2	4	2	0	0	126	0	15									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1484	72	143	37	38	53	87	47	68	49	30	20	40	47	6	37	32	44	24	58	35	34	15	96	55	43	26	69	10	28	76	34	31									
8	Число бюллетеней в стационарных ящиках для голосования	15216	827	732	398	952	884	696	377	641	324	499	311	541	452	296	407	266	332	283	631	340	296	299	903	570	525	360	529	120	257	588	341	239									
9	Число недействительных избирательных бюллетеней	73	3	2	8	8	8	4	3	9	5	0	0	0	0	1	1	0	1	0	0	0	0	1	2	0	1	1	0	0	0	14	0	1									
10	Число действительных избирательных бюллетеней	16627	896	873	427	982	929	779	421	700	368	529	331	581	499	301	443	298	375	307	689	375	330	313	997	625	567	385	598	130	285	650	375	269									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
13	Бабурин Сергей Николаевич	26	3	0	3	1	2	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	4	0	1									
		0.16%	0.33%	0.00%	0.69%	0.10%	0.21%	0.13%	0.24%	0.14%	0.27%	0.19%	0.30%	0.00%	0.00%	0.33%	0.23%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.18%	0.00%	0.00%	0.77%	0.00%	0.60%	0.00%	0.37%									
14	Грудинин Павел Николаевич	598	72	5	20	57	43	72	46	92	8	8	4	10	8	4	2	7	3	11	9	2	3	4	20	5	13	5	4	2	7	42	4	6									
		3.58%	8.01%	0.57%	4.60%	5.76%	4.59%	9.20%	10.85%	12.98%	2.14%	1.51%	1.21%	1.72%	1.60%	1.32%	0.45%	2.35%	0.80%	3.58%	1.31%	0.53%	0.91%	1.27%	2.00%	0.80%	2.29%	1.30%	0.67%	1.54%	2.46%	6.33%	1.07%	2.22%									
15	Жириновский Владимир Вольфович	335	14	15	11	44	22	40	4	49	7	2	3	2	3	4	1	12	3	3	8	1	2	3	8	4	9	3	4	2	4	36	1	11									
		2.01%	1.56%	1.71%	2.53%	4.44%	2.35%	5.11%	0.94%	6.91%	1.88%	0.38%	0.91%	0.34%	0.60%	1.32%	0.23%	4.03%	0.80%	0.98%	1.16%	0.27%	0.61%	0.96%	0.80%	0.64%	1.58%	0.78%	0.67%	1.54%	1.40%	5.42%	0.27%	4.07%									
16	Путин Владимир Владимирович	15535	794	844	385	865	850	650	367	549	347	514	322	566	488	292	436	275	365	291	669	371	325	306	967	615	539	375	586	125	274	563	370	250									
		93.02%	88.32%	96.46%	88.51%	87.37%	90.72%	83.01%	86.56%	77.43%	93.03%	97.16%	97.28%	97.42%	97.80%	96.69%	98.20%	92.28%	97.07%	94.79%	97.10%	98.93%	98.48%	97.45%	96.80%	98.40%	94.89%	97.15%	97.99%	96.15%	96.14%	84.79%	98.67%	92.59%									
17	Собчак Ксения Анатольевна	40	3	1	2	5	4	6	1	5	1	1	1	1	0	0	1	0	1	0	2	1	0	0	0	1	2	1	0	0	0	0	0	0									
		0.24%	0.33%	0.11%	0.46%	0.51%	0.43%	0.77%	0.24%	0.71%	0.27%	0.19%	0.30%	0.17%	0.00%	0.00%	0.23%	0.00%	0.27%	0.00%	0.29%	0.27%	0.00%	0.00%	0.00%	0.16%	0.35%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	59	8	0	5	8	5	6	1	4	3	1	0	1	0	0	1	1	2	2	1	0	0	0	0	0	2	1	3	0	0	3	0	1									
		0.35%	0.89%	0.00%	1.15%	0.81%	0.53%	0.77%	0.24%	0.56%	0.80%	0.19%	0.00%	0.17%	0.00%	0.00%	0.23%	0.34%	0.53%	0.65%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.26%	0.50%	0.00%	0.00%	0.45%	0.00%	0.37%									
19	Титов Борис Юрьевич	25	1	7	0	2	2	2	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0									
		0.15%	0.11%	0.80%	0.00%	0.20%	0.21%	0.26%	0.24%	0.00%	0.27%	0.19%	0.00%	0.17%	0.00%	0.00%	0.23%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.18%	0.00%	0.17%	0.00%	0.00%	0.30%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	9	1	1	1	0	1	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.11%	0.11%	0.23%	0.00%	0.11%	0.26%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
